Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
1,Which of the following is an example of a network layer (layer 3) protocol in the five-layer TCP/IP model?,"a. TCP
b. Ethernet
c. UDP
d. IP
",,d,d,,"IP (Internet Protocol) is a network layer (layer 3) protocol in the TCP/IP model. It is responsible for addressing, routing, and delivering packets between hosts across network boundaries. TCP and UDP are transport layer (layer 4) protocols, while Ethernet is a data link layer (layer 2) protocol used for local area networking.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'TCP/IP Illustrated, Volume 1: The Protocols by W. Richard Stevens', 'https://www.ietf.org/rfc/rfc791.txt - Internet Protocol (IP) specification']",1,1_basics_computer_networking,0.95,1,1.0
2,Which of these is an example of something that works on the application layer (layer 5 of the five-layer TCP/IP model)?,"a. An ethernet cable
b. A router
c. UDP
d. A browser
",,d,d,,"A web browser operates at the application layer (layer 5) of the TCP/IP model. It interfaces directly with the end user, allowing them to interact with web-based applications. The application layer is where high-level protocols and applications reside, such as HTTP, FTP, SMTP, etc. that web browsers and other applications use to communicate over the network. Ethernet cables work at the physical layer (layer 1), routers at the network layer (layer 3), and UDP at the transport layer (layer 4).","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'TCP/IP Illustrated, Volume 1: The Protocols by Kevin Fall and W. Richard Stevens']",1,1_basics_computer_networking,0.95,1,1.0
3,Which layer of the five layer TCP/IP model deals with cabling and connectors?,"a. The application layer
b. The physical layer
c. The transport layer
d. The network layer
",,b,b,,"The physical layer of the five layer TCP/IP model deals with the physical components of the network, including cabling and connectors. It defines the electrical and physical specifications for devices and the relationship between a device and a physical medium, such as a copper or fiber optic cable.","['TCP/IP Model Layers and Protocols Explained, Guru99, https://www.guru99.com/tcp-ip-model.html', 'The TCP/IP Model and Protocol Suite Explained for Beginners, DNSstuff, https://www.dnsstuff.com/tcp-ip-model-layers']",1,1_basics_computer_networking,0.95,1,1.0
4,Which level of the TCP/IP five-layer model does a router operate on?,"a. The network layer
b. The application layer
c. The transport layer
d. The data link layer
",,a,a,,"A router operates at the network layer of the TCP/IP model. The network layer is responsible for logical addressing and routing of data packets between different networks. Routers use IP addresses to make forwarding decisions and direct packets to their intended destinations based on routing tables and protocols like OSPF, EIGRP, and BGP.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom']",1,1_basics_computer_networking,0.95,1,1.0
5,On which layer are Ethernet standards and some wireless technologies operating?,"a. The network layer
b. The data link layer
c. The physical layer
d. The transport layer
",,b,"b,c",,"Ethernet standards and some wireless technologies operate on both the data link layer and the physical layer. The data link layer is responsible for reliable transfer of data frames between two nodes connected by a physical layer. It defines the format of data frames and provides error checking mechanisms. Ethernet standards like IEEE 802.3 define the frame structure and media access control used on the data link layer. The physical layer is responsible for the physical transmission of raw bits over a communication channel. It defines the electrical, mechanical, and functional specifications for activating, maintaining, and deactivating the physical link. Ethernet physical layer specifications and wireless technologies like IEEE 802.11 Wi-Fi standards define the modulation techniques, frequencies, power levels etc. used for physically transmitting the data.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'Data and Computer Communications, 10th Edition by William Stallings', 'https://en.wikipedia.org/wiki/OSI_model#Layer_2:_Data_link_layer', 'https://en.wikipedia.org/wiki/OSI_model#Layer_1:_Physical_layer']",0,1_basics_computer_networking,0.95,1,0.5
6,Which of these allows connections from many devices and inspects the contents of ethernet protocol data?,"a. A cable
b. A switch
c. A hub
d. A collision domain
",,b,b,,"A switch allows connections from many devices and inspects the contents of Ethernet protocol data. It operates at the data link layer (Layer 2) of the OSI model and uses MAC addresses to forward frames to the appropriate ports. A switch maintains a MAC address table to keep track of which devices are connected to each port, enabling it to intelligently direct traffic. Switches segment collision domains, allowing full-duplex communication and reducing collisions.","['CCNA 200-301 Official Cert Guide, Volume 1 by Wendell Odom (Cisco Press)', 'Computer Networking: A Top-Down Approach by James Kurose and Keith Ross (Pearson)', 'https://www.cisco.com/c/en/us/products/switches/what-is-a-network-switch.html']",1,1_basics_computer_networking,0.95,1,1.0
7,What does LAN stand for?,"a. Locally available network
b. Local area network
c. Little area network
d. Large area network
",,b,b,,"LAN stands for Local Area Network. It refers to a computer network that interconnects computers within a limited area such as a home, school, computer laboratory, office building or group of nearby buildings.","['https://en.wikipedia.org/wiki/Local_area_network', 'https://www.cisco.com/c/en/us/products/switches/what-is-a-lan-local-area-network.html']",1,1_basics_computer_networking,1.0,1,1.0
8,What's a router?,"a. A physical layer device that prevents crosstalk
b. A device that knows how to forward data between independent networks.
c. A more advanced version of a switch
d. A physical layer device that allows connections for many computers at once
",,b,b,,"A router is a network device that forwards data packets between computer networks. Routers operate at the network layer (Layer 3) of the OSI model. They use headers and forwarding tables to determine the best path for forwarding the packets, and they use protocols such as ICMP to communicate with each other and configure the best route between any two hosts.","['https://en.wikipedia.org/wiki/Router_(computing)', 'https://www.cisco.com/c/en/us/products/routers/what-is-a-router.html']",1,1_basics_computer_networking,0.95,1,1.0
9,Which of these is a server?,"a. Something providing data to something requesting the data
b. A device operating on the data link layer that connects many devices together and inspects ethernet protocol data
c. A device that forwards data between multiple networks
d. Something receiving data from something providing data
",,a,a,,"A server is something that provides data or services to clients or other devices that request that data or those services. The other options describe different types of networking devices: (b) refers to a switch, (c) refers to a router, and (d) refers to a client.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'https://www.cloudflare.com/learning/network-layer/what-is-a-server/']",1,1_basics_computer_networking,0.95,1,1.0
10,What kind of wiring is in cables that communicate in voltage changes that are received by the receiving device as ones and zeros?,"a. Aluminum
b. Fiber
c. Copper
d. Gold
",,c,c,,"Copper wiring is used in cables that communicate digital signals represented as voltage changes, which the receiving device interprets as binary ones and zeros. Copper is an excellent electrical conductor and is commonly used in network cables like Ethernet. Fiber optic cables use light pulses instead of electrical signals. Aluminum and gold are not typically used for network cabling.","['https://en.wikipedia.org/wiki/Copper_wire_and_cable', 'https://www.webopedia.com/definitions/ethernet-cable/', 'https://www.pearsonitcertification.com/articles/article.aspx?p=1797888']",1,1_basics_computer_networking,0.95,1,1.0
