Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
46,What transport layer protocol does DNS normally use?,"a. UDP
b. ICMP
c. TCP
d. IP
",,a,a,,"DNS normally uses UDP (User Datagram Protocol) as its transport layer protocol. UDP is a lightweight, connectionless protocol that allows for fast lookups without the overhead of establishing a connection, which is ideal for the typically small DNS queries and responses. DNS can use TCP for zone transfers between servers or for large responses exceeding the UDP size limit, but the vast majority of DNS traffic uses UDP.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'RFC 1035 - Domain Names - Implementation and Specification, https://tools.ietf.org/html/rfc1035']",1,4_networking_serices,0.95,1,1.0
47,A DNS TTL determines what?,"a. How far away a DNS can be from you.
b. How many steps there are in the resolution process.
c. How long a DNS entry is allowed to be cached.
d. How many DNS resolutions can take place before the IP has to change.
",,c,c,,"The DNS TTL (Time to Live) determines how long a DNS resolver is allowed to cache a DNS query before it must discard it and perform a new query. It does not relate to the physical distance of the DNS server, the number of steps in DNS resolution, or the number of resolutions before an IP change.","['https://www.cloudflare.com/learning/dns/what-is-dns/', 'https://en.wikipedia.org/wiki/Time_to_live#DNS_records']",1,4_networking_serices,0.95,1,1.0
48,How many root servers are there?,"a. 13
b. 16
c. 17
d. 8
",,a,a,,"There are 13 root name servers that are authoritative for the root zone of the Domain Name System (DNS). These servers are distributed worldwide and operated by 12 different organizations. The 13 root servers are named from A to M, and each has its own IPv4 and IPv6 addresses.","['IANA Root Servers, https://www.iana.org/domains/root/servers', 'ICANN Root Server System Advisory Committee (RSSAC), https://www.icann.org/groups/rssac']",1,4_networking_serices,0.95,1,1.0
49,Which of the following are benefits of using Domain Name Resolution (DNS)? (Select all that apply.),"a. Small routing tables.
b. Allows administrative changes to happen seamlessly.
c. Easier for humans to remember website names.
d. Easy for the node to find the network ID.
",,"b,c","b,c",,"The main benefits of using DNS are that it allows administrative changes to happen seamlessly and makes it easier for humans to remember website names. With DNS, if a website's IP address changes, the change only needs to be updated in the DNS system rather than having every user update their records. And DNS allows using human-friendly domain names like 'example.com' rather than numeric IP addresses which are harder to remember. DNS does not directly impact routing table size or a node's ability to find network IDs.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross, Chapter 2: Application Layer', 'RFC 1034: Domain Names - Concepts and Facilities, https://tools.ietf.org/html/rfc1034', 'RFC 1035: Domain Names - Implementation and Specification, https://tools.ietf.org/html/rfc1035']",1,4_networking_serices,0.95,1,1.0
50,The process of using DNS to turn a domain name into an IP address is known as_________.,"a. name resolution
b. IP addresses
c. ARP table lookup
d. DNS server
",,a,a,,"The process of using DNS to turn a domain name into an IP address is known as name resolution. When a user enters a domain name into a web browser or other application, the DNS system is queried to resolve that domain name into the corresponding IP address, which is then used to establish the connection to the desired server or device.","['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'https://www.cloudflare.com/learning/dns/what-is-dns/']",1,4_networking_serices,0.95,1,1.0
51,An A Record contains what?,"a. An IPv4 address
b. A CNAME
c. An SOA
d. An IPv6 address
",,a,a,,"An A record (Address record) is used to map a hostname to an IPv4 address in the DNS system. It provides the 32-bit IPv4 address for a given hostname, allowing clients to resolve the IP address associated with a domain name. A records are one of the fundamental DNS record types.","['https://en.wikipedia.org/wiki/List_of_DNS_record_types', 'https://www.cloudflare.com/learning/dns/dns-records/dns-a-record/', 'https://www.iana.org/assignments/dns-parameters/dns-parameters.xhtml#dns-parameters-4']",1,4_networking_serices,0.98,1,1.0
52,MX stands for ________.,"a. Micro exchange
b. Meta exchange
c. Micro extreme
d. Mail exchange
",,d,d,,"MX stands for 'Mail Exchange'. In the Domain Name System (DNS), an MX record specifies the mail server responsible for accepting email messages on behalf of a domain name. It is a resource record that identifies the mail server or servers responsible for handling the email for a specific domain.","['RFC 1035 - Domain Names - Implementation and Specification. https://tools.ietf.org/html/rfc1035', 'Microsoft Documentation - MX record. https://docs.microsoft.com/en-us/microsoft-365/admin/get-help-with-domains/dns-basics?view=o365-worldwide#mx-record-mail-exchange']",1,4_networking_serices,0.95,1,1.0
53,A fully qualified domain name can contain how many characters?,"a. 63
b. 64
c. 255
d. 127
",,c,c,,"A fully qualified domain name (FQDN) can contain a maximum of 255 characters. This includes all labels (parts separated by dots), with each label being limited to 63 characters. The total length of the FQDN, including the dots, cannot exceed 255 characters.","['RFC 1035 - Domain Names - Implementation and Specification: https://tools.ietf.org/html/rfc1035', 'Wikipedia - Domain Name: https://en.wikipedia.org/wiki/Domain_name']",1,4_networking_serices,0.95,1,1.0
54,What technique is used to balance traffic across multiple IPs for the same domain?,"a. Cycling records
b. CNAME
c. Quad A record
d. Round robin
",,d,d,,"Round robin is a technique used to balance traffic across multiple IP addresses for the same domain. It works by configuring multiple A records for a domain that point to different IP addresses. When a client makes a DNS request for the domain, the DNS server will return the list of IP addresses in a rotated order, distributing the traffic across the different servers in a balanced manner.","['https://www.cloudflare.com/learning/dns/glossary/round-robin-dns/', 'https://en.wikipedia.org/wiki/Round-robin_DNS']",1,4_networking_serices,0.95,1,1.0
55,Which of the following are part of a Zone File? (select all that apply),"a. A Record
b. SOA
c. FQDN
d. NS record
",,"a,b,d","a,b,d",,"A zone file contains several types of resource records that define how a domain or zone should be configured. This includes:  A Record (a) - Maps a hostname to an IP address.  SOA or Start of Authority Record (b) - Contains administrative information about the zone, such as the primary name server, email of the domain administrator, domain serial number, and several timers relating to refreshing the zone.  NS or Name Server Record (d) - Specifies the authoritative name servers for the domain.  FQDN (c) stands for Fully Qualified Domain Name, which is the complete domain name including all subdomains and the top-level domain. While FQDNs are used in zone files, they are not a specific resource record type themselves.","[""DNS and BIND, 5th Edition by Cricket Liu and Paul Albitz, O'Reilly Media"", 'RFC 1035 - Domain Names - Implementation and Specification, https://tools.ietf.org/html/rfc1035']",1,4_networking_serices,0.95,1,1.0
