Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
1,Which form of NAT enables a firewall to selectively perform translations based on the destination address? Select one choice.,"a. dynamic PAT
b. dynamic NAT
c. policy NAT
d. static PAT
e. static NAT
",,c,c,,"Policy NAT enables a firewall to selectively perform translations based on the destination address. Unlike other forms of NAT like dynamic PAT (a) or dynamic NAT (b) that do translations based on source addresses or ports, policy NAT (c) allows for more granular control by considering destination addresses or other criteria specified in the policy.",[],1,NetSec,0.9,0.9999493845180067,1.0
2,Which form of NAT uses port addresses to distinguish between translated sessions? Select one choice.,"a. dynamic PAT
b. dynamic NAT
c. static NAT
d. policy NAT
",,a,a,,"The form of NAT that uses port addresses to distinguish between translated sessions is dynamic PAT (Port Address Translation). In dynamic PAT, multiple private IP addresses are mapped to a single public IP address by using different source port numbers. This allows for many internal devices to share a single public IP address.",[],1,NetSec,0.9,0.999997541520822,1.0
3,"In an ACL, if a traffic flow is not explicitly permitted, once it has expired testing all the user-configured control entries in the list, the result will be:","a. The traffic will be implicitly denied.
b. The traffic will be implicitly permitted.
c. The traffic will be explicitly denied.
d. The traffic will be explicitly permitted.
",,a,a,,"In an Access Control List (ACL), if a traffic flow is not explicitly permitted after testing all the user-configured control entries in the list, the default behavior is to implicitly deny the traffic. This means that if a packet does not match any of the permit statements in the ACL, it will be denied by default.",['https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html'],1,NetSec,0.9,0.9970471102805312,1.0
4,Which TCP flag must be set in a packet in order for the packet to match an ACL entry that contains the established keyword? Select one choice.,"a. SYN or ACK
b. ACK or RST
c. ACK only
d. SYN only
e. RST only
",,b,a,,"The correct option is 'a. SYN or ACK'. When an ACL entry contains the established keyword, it is looking for packets that are part of an established connection. In TCP, the establishment of a connection involves the three-way handshake, where the SYN and ACK flags are exchanged between the two parties. Therefore, for a packet to match an ACL entry with the established keyword, it must have either the SYN or ACK flag set. The presence of either of these flags indicates that the packet is part of an established connection.",[],0,NetSec,0.9,0.5123978217715073,0.1999999999999999
5,Which one of the following best describes the limitations of local AAA databases? Select one choice.,"a. Scalability issues force network administrators to enter username credentials into each network device.
b. Usernames, passwords, and credentials must be synchronized with a TACACS+/RADIUS server.
c. Authorization policies that are created with local AAA databases cannot be synchronized and made available to all the devices across the network.
d. While they support accounting, they do not meet the requirements for large persistent storage.
",,a,a,,"The limitation described in option a is accurate. Local AAA databases can present scalability issues as network administrators are required to manually enter username credentials into each network device, which can be cumbersome and inefficient.",[],1,NetSec,0.9,0.9175984796912768,1.0
6,"What benefit does a web application firewall provide, in addition to the benefits provided by a traditional load balancer? Select one choice.","a. Protects the servers behind the WAF from attacks using Layer 3 and 4 firewall rules
b. Protects web applications from common vulnerabilities and DDoS attacks
c. Protects any Layer 7 applications from malware
d. Protects the back-end database by acting as a reverse proxy between the web server and the back-end database
",,b,b,,"A web application firewall (WAF) provides protection for web applications from common vulnerabilities and DDoS attacks, which is a benefit not typically offered by traditional load balancers. While traditional load balancers focus on distributing incoming network or application traffic across multiple servers to ensure efficient use of resources and high availability, a WAF specifically targets web application security by filtering and monitoring HTTP traffic between a web application and the internet.",['https://www.cloudflare.com/learning/security/threats/web-application-firewall-waf/'],1,NetSec,0.9,0.9999982567412194,1.0
7,What are four common algorithms that typical load balancers use to load balance the traffic? (Choose four.),"a. Weighted early random detection
b. Hash
c. Round robin
d. Anomaly based
e. Least time
f. Fewest connections
",,"b,c,e,f","b,c,e,f",,"{'b': 'Hash algorithm is commonly used in load balancers to distribute traffic based on a hash of the source IP address or other factors.', 'c': 'Round robin algorithm distributes traffic equally in a sequential manner among the servers.', 'e': 'Least time algorithm directs traffic to the server with the fastest response time or lowest latency.', 'f': 'Fewest connections algorithm sends traffic to the server with the least number of active connections to distribute the load evenly.'}",[],1,NetSec,0.9,0.9999609171407547,1.0
8,What three elements can be configured in firewall policies to detect network-based malware? (Choose three.),"a. Metadata stored that is within the files
b. Access control lists (ACLs)
c. Commonly used protocols
d. SHA-256 hashes
e. Commonly used rainbow hash tables
",,"a,c,d","a,b,d",,"The correct elements that can be configured in firewall policies to detect network-based malware are:
- Metadata stored within the files: By analyzing the metadata within files, firewalls can detect potential malware based on suspicious patterns or characteristics.
- Access control lists (ACLs): ACLs can be used in firewalls to control and filter network traffic based on defined rules, which can help in detecting and blocking network-based malware.
- SHA-256 hashes: Using cryptographic hashes like SHA-256, firewalls can compare the hash of files or data packets with known malicious hashes to identify malware.",[],0,NetSec,0.9,0.9415603226321904,0.1999999999999999
9,What is the first step in centralized syslog management? Select one choice.,"a. Receive syslog messages from syslog clients that are distributed across the network and store those messages in a flat log file.
b. Present syslog data in the form of automated reports, dashboards, and real-time query responses.
c. Process low-level data in the relational database to produce higher-level information constructs.
d. Move messages from the flat log file to a high-performance relational database.
",,a,a,,The first step in centralized syslog management is to receive syslog messages from syslog clients distributed across the network and store those messages in a flat log file. This step involves the initial collection of syslog data before further processing or analysis.,[],1,NetSec,0.9,0.99999325020878,1.0
10,What must a host on an Ethernet network know about a destination to send an Ethernet frame to that destination? Select one choice.,"a. IP address
b. Window size
c. MAC address
d. Receiving port number
",,c,c,,"To send an Ethernet frame to a destination on an Ethernet network, a host must know the MAC address of the destination. MAC addresses are used at the data link layer (Layer 2) of the OSI model for communication within the same network segment.",['https://www.cloudflare.com/learning/network-layer/what-is-a-mac-address/'],1,NetSec,0.9,0.9999983759447189,1.0
