Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
179,"When APs are placed at different geographic locations, they can all be interconnected by a switched infrastructure. The 802.11 standard calls this an extended service set (ESS).","a. FALSE
b. TRUE
",,b,b,,"The statement is TRUE. When Access Points (APs) are placed in different geographic locations, they can be interconnected by a switched infrastructure, forming what is known in the 802.11 standard as an extended service set (ESS). This allows multiple APs to work together to provide wireless coverage over a larger area.",['https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Mobility/emob41dg/emob41dg-wrapper/ch7SSID.html'],1,chapter10_wireless_networks,0.95,0.9999899125338788,1.0
180,A lightweight access point in which one of the following architectures participate?,"a. Tunnel-MAC
b. Split-MAC
c. Big-MAC
d. Light-MAC
",,b,b,,"The correct option is b. Split-MAC. In a Split-MAC architecture, a lightweight access point participates. This architecture divides the tasks between the lightweight access point and the wireless LAN controller, where the access point handles the lower-layer functions, and the controller manages the higher-layer functions. This setup helps in offloading some processing tasks to the controller, making the access points more lightweight.",[],1,chapter10_wireless_networks,0.9,0.8825293702428804,1.0
181,Which of the following controller ports is used to connect to a peer controller for high availability (HA) operation?,"a. Service port
b. Distribution system port
c. Console port
d. Redundancy port
",,d,d,,"The port used to connect to a peer controller for high availability (HA) operation is the Redundancy port. This port is specifically designed for HA purposes, allowing controllers to communicate and synchronize with each other to provide redundancy and failover capabilities.",[],1,chapter10_wireless_networks,0.9,0.9900568868893068,1.0
182,Which of the following wireless security tools is used to protect the integrity of data in a wireless frame?,"a. EAP
b. MIC
c. WEP
d. WIPS
",,b,b,,"The correct option is 'b. MIC'. MIC stands for Message Integrity Check, which is a security feature used to protect the integrity of data in a wireless frame. It ensures that the data has not been altered or tampered with during transmission.",[],1,chapter10_wireless_networks,0.9,0.9999978991308068,1.0
183,Wi-Fi is based on ________________ IEEE standards.,"a. 802.12
b. 802.11
c. 802.1
d. 802.2
",,b,b,,"Wi-Fi is based on IEEE 802.11 standards. These standards define the specifications for wireless local area networking (WLAN) communication. IEEE 802.11 standards cover various aspects such as frequency bands, data rates, modulation techniques, and security protocols related to Wi-Fi.",['https://www.ieee.org/content/dam/ieee-org/ieee/web/org/pubs/802_11_Tutorial.pdf'],1,chapter10_wireless_networks,0.9,0.9999992103693116,1.0
184,Which of the following bridges can be used to provide wireless connectivity to a non-wireless device?,"a. Transparent bridge
b. Workgroup bridge
c. Wireless repeater
d. Adaptive bridge
",,b,b,,A workgroup bridge is a type of bridge that can be used to provide wireless connectivity to a non-wireless device. It allows non-wireless devices to connect to a wireless network by acting as a bridge between the wired and wireless networks.,[],1,chapter10_wireless_networks,0.9,0.7364582144434196,1.0
185,Which controller interface type maps a WLAN to a VLAN?,"a. Virtual interface
b. Redundancy management
c. Management interface
d. Service port interface
e. Dynamic interface
",,e,a,,"The correct option is 'a. Virtual interface'. Virtual interfaces are used to map WLANs to VLANs in a controller. They allow the controller to have multiple logical interfaces, each associated with a different VLAN. This mapping helps in segregating traffic and applying specific policies to each WLAN.",['https://www.cisco.com/c/en/us/td/docs/wireless/controller/8-10/config-guide/b_cg810/vlans.html'],0,chapter10_wireless_networks,0.9,0.9960033354079336,0.1999999999999999
186,Which is the most preferred and secure way of connecting to a WLC GUI to configure a new WLAN?,"a. FTP
b. SSH
c. HTTP
d. None of the above
e. HTTPS
",,e,e,,"The most preferred and secure way of connecting to a Wireless LAN Controller (WLC) GUI to configure a new WLAN is using HTTPS. HTTPS (Hypertext Transfer Protocol Secure) is a combination of the standard HTTP with an SSL/TLS protocol that provides encrypted communication and secure identification of a network web server. This ensures that the data exchanged between the client and the server is encrypted, making it the most secure option for accessing the WLC GUI. FTP (File Transfer Protocol) and HTTP (Hypertext Transfer Protocol) are not secure protocols for accessing the WLC GUI. SSH (Secure Shell) is a secure protocol but is not typically used for accessing the WLC GUI for WLAN configuration.",['https://www.cisco.com/c/en/us/td/docs/wireless/controller/8-10/config-guide/b_cg810/wireless_lan_controller_configuration_guide_chapter_010010.html'],1,chapter10_wireless_networks,0.95,0.9999709595226828,1.0
187,The maximum configurable number of WLANs on a controller is __________________.,"a. 251
b. 5
c. 512
d. 152
",,c,c,,"The correct option is 'c' - 512. In a Cisco wireless LAN controller (WLC), the maximum configurable number of WLANs is 512. This allows for a large number of separate wireless networks to be managed and configured on the controller.",['https://www.cisco.com/c/en/us/td/docs/wireless/controller/8-5/config-guide/b_cg85/wireless_lan_controller_configuration_guide/b_cg85_chapter_01000010.html'],1,chapter10_wireless_networks,0.9,0.568515023260994,1.0
188,Which of the following IEEE 802.11 Wi-Fi standards use the 5 GHz band? (Choose all that apply),"a. 802.11ax
b. 802.11ac
c. 802.11n
d. 802.11a
e. 802.11g
f. 802.11b
g. 802.11
",,"a,b,c,d","a,b,d",,"Among the given IEEE 802.11 Wi-Fi standards, 802.11ax (Wi-Fi 6), 802.11ac (Wi-Fi 5), and 802.11a operate in the 5 GHz band. 802.11n, 802.11g, and 802.11b operate in the 2.4 GHz band. 802.11 is not a specific standard but a general reference to the family of IEEE 802.11 standards.",['https://www.lifewire.com/802-11-standards-802-11a-802-11b-g-n-and-802-11ac-816553'],0,chapter10_wireless_networks,0.9,0.9999609171420548,0.7142857142857142
