Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
204,"The customer edge device is typically a router, that sits at a customer site on MPLS networks and connects to a provider edge router (PE router) to take communications from a customer site to a provider side.","a. FALSE
b. TRUE
",,b,b,,This statement is true. The customer edge (CE) device is indeed typically a router that is located at a customer site in MPLS (Multiprotocol Label Switching) networks. It connects to a provider edge (PE) router to facilitate communication between the customer site and the service provider network.,[],1,chapter12_network_design_architecture,0.95,0.9999984951481324,1.0
205,____________________ is a network design that connects a link between each pair of nodes.,"a. Partial Mesh
b. Hybrid
c. Full Mesh
d. Star
",,c,c,,"In a full mesh network design, each node is connected to every other node in the network. This type of network provides high redundancy and fault tolerance but can be costly to implement due to the large number of connections required.",['https://www.cisco.com/c/en/us/support/docs/ip/border-gateway-protocol-bgp/13753-25.html'],1,chapter12_network_design_architecture,0.9,0.9999890781166442,1.0
206,"With PoE, a LAN switch can act as the Power Sourcing Equipment (PSE).","a. FALSE
b. TRUE
",,b,b,,"The statement is TRUE. Power over Ethernet (PoE) technology allows a LAN switch to act as the Power Sourcing Equipment (PSE), providing power to connected devices such as IP phones, wireless access points, and IP cameras through the Ethernet cable.",['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst3850/software/release/3se/poe/configuration_guide/b_po_3se_3850_cg/b_po_3se_3850_cg_chapter_01000.html'],1,chapter12_network_design_architecture,0.95,0.9999989719621284,1.0
208,Which of the following roles of campus switches provides a connection point for end-user devices?,"a. Core
b. Campus
c. Access
d. Distribution
",,c,c,,"In a campus network design, the access layer switches provide a connection point for end-user devices such as computers, printers, and IP phones. These switches typically connect directly to end devices and are responsible for user access control, security, and policies.",['https://www.cisco.com/c/en/us/td/docs/solutions/CVD/Campus/CVD-Campus-LAN-WLAN-DesignGuide-2018JAN.pdf'],1,chapter12_network_design_architecture,0.9,0.9999978991308068,1.0
209,Which of the following roles of campus switches provides an aggregation point for access switches?,"a. Access
b. Core
c. Distribution
d. Campus
",,c,c,,The role of campus switches that provides an aggregation point for access switches is the Distribution role. Distribution switches aggregate the traffic from access switches and connect them to the core layer in a hierarchical network design.,['https://www.cisco.com/c/en/us/td/docs/solutions/CVD/Campus/CVD-campus-lan-wlan-designguide-2018JAN.html'],1,chapter12_network_design_architecture,0.9,0.999913864259896,1.0
210,Which of the following roles of campus switches aggregates distribution switches in very large campus LANs?,"a. Access
b. Distribution
c. Core
d. Campus
",,c,b,,"In very large campus LANs, the distribution switches aggregate the access layer switches. The distribution layer is responsible for interconnecting multiple access layer switches and providing routing, filtering, and WAN access. The core layer, on the other hand, is responsible for high-speed backbone connectivity.",['https://www.cisco.com/c/en/us/support/docs/lan-switching/inter-vlan-routing/41860-howtobuildlans.html'],0,chapter12_network_design_architecture,0.9,0.7468247548247962,0.0
211,Your company plans to start using public cloud service and now you are considering different WAN options. Your main concern is security by keeping the data private while also providing good QoS services. Which of the following options are under consideration? (Choose two answers.),"a. Using an intercloud exchange
b. Using an Internet connection without VPN
c. Using private WAN connections directly to the cloud provider
d. Using an Internet connection with VPN
",,"a,c","a,c",,"Option a, using an intercloud exchange, is a secure way to connect to multiple cloud providers while maintaining data privacy and ensuring good QoS services. This option allows for direct connections to various cloud providers through a secure and private network. Option c, using private WAN connections directly to the cloud provider, also ensures data privacy and good QoS by establishing dedicated private connections to the cloud provider, bypassing the public internet.",[],1,chapter12_network_design_architecture,0.9,0.9994473409423068,1.0
212,"One of the differences between Public Cloud and Private Cloud (On-Premise) is that on the Public Cloud solution you are responsible for all management, maintenance, and updating of data centers.","a. FALSE
b. TRUE
",,a,a,,"The statement is false. In a Public Cloud solution, the cloud service provider (CSP) is responsible for managing, maintaining, and updating the data centers. Customers using Public Cloud services do not have to worry about the physical infrastructure but focus on managing their applications and data.",['https://azure.microsoft.com/en-us/overview/what-is-a-public-cloud/'],1,chapter12_network_design_architecture,0.9,0.9994333075908316,1.0
213,"A company uses a Metro Ethernet WAN with an Ethernet LAN (E-LAN) service, with the company headquarters plus 20 remote sites connected to the service. The enterprise uses OSPF at all sites, with one router connected to the service from each site. Which of the following are true about the Layer 3 details most likely used with this service and design? (Choose all that apply)","a. The WAN uses 20 or more IP subnets
b. A remote site router would have 20 OSPF neighbors
c. A remote site router would have one OSPF neighbor
d. The WAN uses one IP subnet
",,"b,d",c,,"In this scenario, with one router connected to the service from each site, each router would have one OSPF neighbor, which is the router connecting to the WAN service. Each router would not have 20 OSPF neighbors as that would be impractical and unnecessary for this setup.",[],0,chapter12_network_design_architecture,0.9,0.9711223495233732,0.0
214,The process of dividing a physical server into multiple unique and isolated virtual servers by means of a software application is called server _________________.,"a. Integration
b. Segmentation
c. Isolation
d. Virtualization
",,d,d,,"The correct term for dividing a physical server into multiple unique and isolated virtual servers using a software application is called server virtualization. This process allows for better resource utilization, improved scalability, and easier management of server resources.",['https://www.redhat.com/en/topics/virtualization/what-is-virtualization'],1,chapter12_network_design_architecture,0.95,0.9999998063873689,1.0
