Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
137,"In a spoofing attack, which of the following parameters are commonly spoofed? (Choose two answers)","a. Routing table
b. MAC address
c. Source IP address
d. ARP address
e. ARP table
f. Destination IP address
",,"b,c","c,f",,"In a spoofing attack, the two parameters commonly spoofed are the Source IP address and the Destination IP address. By spoofing the Source IP address, the attacker can deceive the recipient into thinking the communication is originating from a trusted source. Spoofing the Destination IP address allows the attacker to redirect traffic meant for another destination to themselves.",[],0,chapter8_security_fundamentals,0.9,0.991964637018014,0.3333333333333333
138,AAA servers usually support the protocol TACACS+ and ____________________ to communicate with enterprise resources.,"a. HTTP
b. DHCP
c. RADIUS
d. ARP
",,c,c,,"AAA servers typically support the protocols TACACS+ and RADIUS to communicate with enterprise resources. While TACACS+ is commonly used for device administration, RADIUS is often used for network access control, authorization, and accounting.",['https://www.cisco.com/c/en/us/support/docs/security-vpn/remote-authentication-dial-user-service-radius/12433-32.html'],1,chapter8_security_fundamentals,0.9,0.9999139834496356,1.0
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
",,c,"a,c",,"The correct commands to configure port security on interface FastEthernet0/1 of SW-examsD to accept frames only from the MAC address 0200.1111.2222 are as follows:
- SW-examsD#configure terminal
- SW-examsD(config)#interface FastEthernet0/1
- SW-examsD(config-if)#switchport mode access
- SW-examsD(config-if)#switchport port-security
- SW-examsD(config-if)#switchport port-security mac-address 0200.1111.2222
Option a includes the correct sequence of commands to achieve the required configuration. Option c also includes the necessary commands but specifies the correct MAC address to be allowed.",[],0,chapter8_security_fundamentals,0.9,0.5273892154485609,0.5
140,"_____________________ attacks typically function by overwhelming or flooding a targeted machine with requests until normal traffic is unable to be processed, resulting in denial- of-service to additional users.","a. Phishing
b. DoS
c. Spoofing
d. SQL injection
",,b,b,,"The correct option is 'b. DoS'. A Denial of Service (DoS) attack is designed to overwhelm a system with excessive traffic or requests, making it unable to respond to legitimate users. This attack disrupts the normal functioning of the targeted machine, causing denial of service to legitimate users.",[],1,chapter8_security_fundamentals,0.9,0.999999091165773,1.0
141,A _________________ is malicious software that is hidden and packaged inside other software that looks normal and legitimate.,"a. Trojan
b. Virus
c. Spyware
d. Worm
",,a,a,,"The correct term for malicious software that is hidden and packaged inside other software that looks normal and legitimate is a Trojan. Trojans are designed to deceive users into executing them, often by pretending to be harmless or useful software. Once activated, Trojans can perform various malicious activities on the infected system.",['https://www.cisco.com/c/en/us/about/security-center/virus-differences.html'],1,chapter8_security_fundamentals,0.9,0.9999965878943212,1.0
142,What devices can be used to implement DHCP Snooping? (Choose two answers),"a. End users
b. Layer 3 switches
c. Hub
d. Access Points
e. Routers
f. Layer 2 switches
",,"b,f","b,f",,"DHCP Snooping is a security feature that can be implemented on Layer 2 switches and Layer 3 switches to mitigate DHCP-related attacks. Layer 2 switches are commonly used to enforce DHCP Snooping by filtering DHCP messages on untrusted ports, while Layer 3 switches can also provide DHCP Snooping functionality at the network layer.",['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst3750x_3560x/software/release/12-2_55_se/configuration/guide/3750xscg/swdhcp82.pdf'],1,chapter8_security_fundamentals,0.9,0.9666375758695156,1.0
143,"Which of the following Cisco Firepower NGIPS’s features provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility?","a. Security automation
b. Superior effectiveness
c. Granular application visibility and control
d. Contextual awareness
",,d,c,,"Granular application visibility and control is the feature that provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility. This feature allows for detailed monitoring and management of applications on the network, enhancing security and control.",[],0,chapter8_security_fundamentals,0.9,0.6573346825032771,0.0
144,What can be accomplished with a brute-force attack?,"a. Guess a user’s password
b. Spoof every possible IP address
c. Alter a routing table
d. Make a server unavailable
",,a,a,,A brute-force attack is a trial-and-error method used to obtain information such as a user's password. It systematically checks all possible passwords until the correct one is found.,['https://en.wikipedia.org/wiki/Brute-force_attack'],1,chapter8_security_fundamentals,0.9,0.9999546292272846,1.0
145,Social engineering attack is accomplished through human interactions. It uses psychological manipulation to trick users into making security mistakes or giving away sensitive information.,"a. FALSE
b. TRUE
",,b,b,,The statement is TRUE. Social engineering attacks rely on human interactions and psychological manipulation to deceive individuals into divulging confidential information or performing actions that compromise security.,[],1,chapter8_security_fundamentals,0.95,0.9999982567412194,1.0
146,"Which of the following human security vulnerabilities attacks is a type of attack that targets high-profile employees, such as the CEO or CFO, in order to steal sensitive information from a company?","a. Whaling
b. Pharming
c. Phishing
d. Social engineering
",,a,a,,"Whaling is a type of attack that targets high-profile individuals within an organization, such as the CEO or CFO, to steal sensitive information. This type of attack focuses on individuals with access to valuable company data or funds.",[],1,chapter8_security_fundamentals,0.9,0.9999984951481324,1.0
147,Which of the following human security vulnerabilities attacks is the attempt to obtain sensitive information such as passwords and credit card details by disguising oneself as a trustworthy entity?,"a. Phishing
b. Whaling
c. Social engineering
d. Pharming
",,a,a,,"The correct option is 'Phishing'. Phishing is a type of cyber attack where the attacker disguises themselves as a trustworthy entity to trick individuals into providing sensitive information like passwords, credit card details, etc. This is usually done through emails, messages, or websites that appear legitimate to the victim.",[],1,chapter8_security_fundamentals,0.9,0.9997140335661976,1.0
149,Which of the following security features rejects invalid and malicious ARP packets and prevents a class of man-in-the-middle attacks?,"a. Packet secure
b. ARP protect
c. DAI
d. DoS
",,c,c,,"DAI (Dynamic ARP Inspection) is a security feature that validates ARP packets in a network. It helps prevent ARP spoofing attacks by intercepting and validating ARP packets, ensuring that MAC addresses in the packets are correct and valid. This feature rejects invalid and malicious ARP packets, thereby preventing a class of man-in-the-middle attacks.",['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst4500/12-2/31sg/configuration/guide/conf/dynarp.html'],1,chapter8_security_fundamentals,0.9,0.9999981375378344,1.0
150,"In a reflection attack, the source IP address in the attack packets is spoofed so that it contains the address of the victim.","a. TRUE
b. FALSE
",,a,a,,"True. In a reflection attack, the attacker spoofs the source IP address in the attack packets to make it appear as if the packets are originating from the victim's address. This can overwhelm the victim with responses from the reflected attack traffic.",[],1,chapter8_security_fundamentals,0.9,0.99997393953058,1.0
151,"Type the command that needs to be configured on a switch to automatically recover from the err-disabled state, when caused by port security.","a. recovery cause psecure-violation
b. errdisable recovery psecure-violation
c. errdisable recovery
d. errdisable recovery cause psecure-violation
",,d,b,,The correct command to configure on a switch to automatically recover from the err-disabled state caused by port security violations is 'errdisable recovery psecure-violation'. This command specifically enables the automatic recovery feature for the err-disabled state triggered by port security violations.,[],0,chapter8_security_fundamentals,0.9,0.9934709977642534,0.0
