Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
1,Which of the following is an example of a network layer (layer 3) protocol in the five-layer TCP/IP model?,"a. TCP
b. Ethernet
c. UDP
d. IP
",,d,d,,"In the five-layer TCP/IP model, the network layer (layer 3) is where IP (Internet Protocol) operates. IP is responsible for routing packets across different networks, making it a quintessential network layer protocol.",[],1,1_basics_computer_networking,0.9,0.9999901509395024,1.0
2,Which of these is an example of something that works on the application layer (layer 5 of the five-layer TCP/IP model)?,"a. An ethernet cable
b. A router
c. UDP
d. A browser
",,d,d,,"A browser operates at the application layer (layer 5) of the TCP/IP model. The application layer is responsible for providing network services directly to end-users. Browsers are applications that interact with the user, request web pages from servers, and display the retrieved information to the user.",[],1,1_basics_computer_networking,0.9,0.999999091165773,1.0
3,Which layer of the five layer TCP/IP model deals with cabling and connectors?,"a. The application layer
b. The physical layer
c. The transport layer
d. The network layer
",,b,b,,"The correct layer that deals with cabling and connectors in the TCP/IP model is the physical layer. This layer is responsible for the actual physical connection between devices, including the cabling, connectors, and the transmission of raw data bits over a physical medium.",[],1,1_basics_computer_networking,0.9,0.9999983759447189,1.0
4,Which level of the TCP/IP five-layer model does a router operate on?,"a. The network layer
b. The application layer
c. The transport layer
d. The data link layer
",,a,a,,"A router operates at the network layer of the TCP/IP five-layer model. The network layer is responsible for logical addressing, routing, and determining the best path for data to travel. Routers make forwarding decisions based on IP addresses, which are network layer addresses.",['https://www.geeksforgeeks.org/difference-between-osirm-and-tcpip-model/'],1,1_basics_computer_networking,0.9,0.9999962302846054,1.0
5,On which layer are Ethernet standards and some wireless technologies operating?,"a. The network layer
b. The data link layer
c. The physical layer
d. The transport layer
",,b,"b,c",,Ethernet standards and some wireless technologies operate at the data link layer (Layer 2) and the physical layer (Layer 1). Ethernet specifically functions at both the data link layer for framing and the physical layer for signaling and transmission of data over the network medium.,"['https://www.cloudflare.com/learning/network-layer/what-is-the-data-link-layer/', 'https://www.techopedia.com/definition/4793/ethernet']",0,1_basics_computer_networking,0.9,0.9999286891400904,0.5
6,Which of these allows connections from many devices and inspects the contents of ethernet protocol data?,"a. A cable
b. A switch
c. A hub
d. A collision domain
",,b,b,,"In this case, the device that allows connections from many devices and inspects the contents of Ethernet protocol data is a switch. Switches operate at the data link layer (Layer 2) of the OSI model and can inspect the Ethernet frames to make forwarding decisions based on MAC addresses. Unlike hubs (which simply broadcast data to all connected devices), switches create individual collision domains for each port, which improves network efficiency and security.",['https://www.cisco.com/c/en/us/support/docs/lan-switching/ethernet/19237-144.html'],1,1_basics_computer_networking,0.9,0.999997660724136,1.0
7,What does LAN stand for?,"a. Locally available network
b. Local area network
c. Little area network
d. Large area network
",,b,b,,"LAN stands for Local Area Network. It is a network that interconnects computers within a limited area such as a residence, school, laboratory, university campus, or office building.",[],1,1_basics_computer_networking,0.95,0.9999996871837188,1.0
8,What's a router?,"a. A physical layer device that prevents crosstalk
b. A device that knows how to forward data between independent networks.
c. A more advanced version of a switch
d. A physical layer device that allows connections for many computers at once
",,b,b,,A router is a device that operates at the network layer (Layer 3) of the OSI model and is used to forward data packets between different computer networks. Routers are responsible for determining the best path for data to travel from the source to the destination across multiple networks.,[],1,1_basics_computer_networking,0.9,0.9999996871837188,1.0
9,Which of these is a server?,"a. Something providing data to something requesting the data
b. A device operating on the data link layer that connects many devices together and inspects ethernet protocol data
c. A device that forwards data between multiple networks
d. Something receiving data from something providing data
",,a,"a,c",,"Option a is correct because a server is a computer or software on a computer that provides functionality for other programs or devices, known as clients. Servers typically provide data or services to clients upon request. Option c is also correct because a server can act as a device that forwards data between multiple networks, often referred to as a network server.",[],0,1_basics_computer_networking,0.9,0.9582683178151796,0.5
10,What kind of wiring is in cables that communicate in voltage changes that are received by the receiving device as ones and zeros?,"a. Aluminum
b. Fiber
c. Copper
d. Gold
",,c,c,,"The correct option is 'c. Copper'. Copper wiring is commonly used in cables for networking purposes as it is an excellent conductor of electricity. In networking, voltage changes are used to represent digital signals (ones and zeros), and copper cables facilitate this communication effectively.",[],1,1_basics_computer_networking,0.9,0.9999874092852638,1.0
11,What modulation type is used for computer networks?,"a. Line crimping
b. RJ45
c. Line coding
d. Simplex communication
",,c,c,,The correct modulation type used for computer networks is line coding. Line coding is a technique used in data communication systems for converting digital data to digital signals. It involves encoding the digital data into a waveform suitable for transmission over a communication channel. Line coding is essential for maintaining signal integrity and ensuring reliable data transmission in computer networks.,['https://www.geeksforgeeks.org/line-coding-techniques/'],1,1_basics_computer_networking,0.9,0.999997064707508,1.0
