Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
46,What transport layer protocol does DNS normally use?,"a. UDP
b. ICMP
c. TCP
d. IP
",,a,a,,"DNS (Domain Name System) normally uses UDP (User Datagram Protocol) as its transport layer protocol. UDP is preferred over TCP for DNS due to its lower overhead and faster performance. DNS queries are typically short and can tolerate some degree of packet loss, making UDP a suitable choice for DNS communication.",['https://www.cloudflare.com/learning/dns/what-is-udp/'],1,4_networking_serices,0.95,0.9999908661547138,1.0
47,A DNS TTL determines what?,"a. How far away a DNS can be from you.
b. How many steps there are in the resolution process.
c. How long a DNS entry is allowed to be cached.
d. How many DNS resolutions can take place before the IP has to change.
",,c,c,,The correct option is c. DNS TTL (Time to Live) determines how long a DNS entry is allowed to be cached. It specifies the amount of time that a DNS record can be stored or cached by resolving name servers or applications before it expires and needs to be re-fetched from the authoritative DNS servers. This helps in efficient DNS management and updates across the network.,['https://www.cloudflare.com/learning/dns/dns-records/dns-time-to-live-ttl/'],1,4_networking_serices,0.9,0.9999992103693116,1.0
48,How many root servers are there?,"a. 13
b. 16
c. 17
d. 8
",,a,a,,"There are 13 root DNS servers worldwide. These servers are a crucial part of the Domain Name System (DNS) infrastructure, helping to direct traffic on the internet by mapping domain names to IP addresses.",['https://www.iana.org/domains/root/servers'],1,4_networking_serices,0.95,0.9999931310055916,1.0
49,Which of the following are benefits of using Domain Name Resolution (DNS)? (Select all that apply.),"a. Small routing tables.
b. Allows administrative changes to happen seamlessly.
c. Easier for humans to remember website names.
d. Easy for the node to find the network ID.
",,"b,c","b,c",,"The benefits of using Domain Name Resolution (DNS) include: 
 b. Allows administrative changes to happen seamlessly: DNS allows administrators to update IP addresses and other information easily without affecting end-users. 
 c. Easier for humans to remember website names: DNS provides a human-readable naming system for websites, making it easier for users to remember and access websites.",[],1,4_networking_serices,0.9,0.9999714811160212,1.0
50,The process of using DNS to turn a domain name into an IP address is known as_________.,"a. name resolution
b. IP addresses
c. ARP table lookup
d. DNS server
",,a,a,,The correct term for the process of using DNS to turn a domain name into an IP address is name resolution. DNS (Domain Name System) is responsible for translating domain names into IP addresses to locate resources on the internet.,[],1,4_networking_serices,0.9,0.9999984951481324,1.0
51,An A Record contains what?,"a. An IPv4 address
b. A CNAME
c. An SOA
d. An IPv6 address
",,a,a,,"An A Record in DNS (Domain Name System) is used to map a domain name to an IPv4 address. It does not contain a CNAME (which is used for aliasing), an SOA (Start of Authority record used for administrative purposes), or an IPv6 address.",['https://www.cloudflare.com/learning/dns/dns-records/dns-a-record/'],1,4_networking_serices,0.9,0.9999963494876632,1.0
52,MX stands for ________.,"a. Micro exchange
b. Meta exchange
c. Micro extreme
d. Mail exchange
",,d,d,,"In computer networking, MX stands for Mail Exchange. MX records are DNS (Domain Name System) records that specify the mail servers responsible for receiving email on behalf of a domain. These servers are used to route and deliver email to the correct recipient's mailbox.",[],1,4_networking_serices,0.9,0.9996954469456996,1.0
53,A fully qualified domain name can contain how many characters?,"a. 63
b. 64
c. 255
d. 127
",,c,c,,"A fully qualified domain name (FQDN) can contain up to 255 characters. This limit includes the dots that separate the labels of the domain name. Each label within the FQDN (the parts separated by dots) can be up to 63 characters long. Therefore, the total length of an FQDN can reach 255 characters, considering the maximum label length and the dots between them.",['https://www.ietf.org/rfc/rfc1035.txt'],1,4_networking_serices,0.9,0.9998625005539156,1.0
54,What technique is used to balance traffic across multiple IPs for the same domain?,"a. Cycling records
b. CNAME
c. Quad A record
d. Round robin
",,d,d,,"The correct technique used to balance traffic across multiple IPs for the same domain is Round Robin. Round robin DNS is a technique that distributes the traffic load across multiple servers by rotating a list of IP addresses associated with a single domain name. Each time a DNS request is made, the IP address order is changed, distributing the traffic evenly among the servers.",['https://www.cloudflare.com/learning/dns/glossary/round-robin-load-balancing/'],1,4_networking_serices,0.9,0.9999144602247352,1.0
55,Which of the following are part of a Zone File? (select all that apply),"a. A Record
b. SOA
c. FQDN
d. NS record
",,"a,b,d","a,b,d",,"A Zone File typically includes the following components: 
 a. A Record: It maps a domain name to an IP address. 
 b. SOA (Start of Authority): It contains authoritative information about a DNS zone, including the primary name server, the email of the domain administrator, the domain serial number, etc. 
 d. NS Record: It specifies the name servers for the zone. FQDN (Fully Qualified Domain Name) is not typically part of a Zone File.",[],1,4_networking_serices,0.9,0.99988975787231,1.0
