Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
3,How many bits are used for the header checksum in IPv4 packets? Select one choice.,"a. 8 bits
b. 32 bits
c. 16 bits
d. None of the above
",,c,a,,"In IPv4 packets, 8 bits are used for the header checksum. This checksum is used to detect errors in the header of the IPv4 packet during transmission.",['https://datatracker.ietf.org/doc/html/rfc791'],0,TCP,0.9,0.967312955903348,0.0
4,What is the dotted notation of an IP address of 10000000 10000111 01000100 00000101? Select one choice.,"a. 128.135.68.5
b. 128.135.65.5
c. 128.133.68.5
d. 128.135.65.5
",,a,b,,"To convert the given binary IP address to dotted decimal notation, each octet needs to be converted from binary to decimal. 10000000 in binary is 128 in decimal, 10000111 is 135, 01000100 is 68, and 00000101 is 5. Therefore, the dotted notation of the given binary IP address 10000000 10000111 01000100 00000101 is 128.135.68.5.",[],0,TCP,0.9,0.9061360714300848,0.0
5,"Given a network address 128.100.0.0, what is its network class type? Select one choice.","a. Class A
b. Class B
c. None of the above
d. Class C
",,b,a,,"The network address 128.100.0.0 falls within the range of Class B addresses, which have an initial octet range from 128 to 191. Therefore, the correct class type for the given network address is Class B.",[],0,TCP,0.9,0.9925919181137656,0.0
6,Which of the following is provided at the IP layer? Select one choice.,"a. Both of the above
b. Connectionless
c. None of the above
d. Best effort delivery service
",,a,b,,"The correct option provided at the IP layer is 'Connectionless'. IP (Internet Protocol) operates at the network layer (Layer 3) of the OSI model and is a connectionless protocol. It does not establish a session before sending data and does not guarantee delivery or provide any error checking. Instead, it relies on higher-layer protocols or applications to handle reliable data delivery if needed.",['https://www.cloudflare.com/learning/ddos/glossary/internet-protocol-ip/'],0,TCP,0.9,0.7757112721550562,0.0
8,What is the subnetwork number of a host with an IP address of 172.16.66.0/21? Select one choice.,"a. 172.16.0.0
b. 172.16.48.0
c. 172.16.36.0
d. 172.16.64.0
",,d,b,,"The subnetwork number of a host is obtained by setting all host bits to 0 in the host's IP address. In this case, the given IP address is 172.16.66.0/21, which means the first 21 bits are the network bits. So, the subnetwork number would be 172.16.48.0 because the first 21 bits are fixed from the given IP address, and the next 3 bits (from 22nd to 24th) represent the host bits.",[],0,TCP,0.9,0.9985076766235872,0.0
9,What is the first valid host on the subnetwork that the node 172.30.190.198/24 belongs to? Select one choice.,"a. None of the above
b. 172.30.190.100
c. 172.30.190.0
d. 172.30.190.1
",,d,d,,"The given IP address 172.30.190.198 with a subnet mask /24 indicates that the subnet has 256 IP addresses (2^8 = 256), out of which 1 is used for the network address and 1 for the broadcast address. Therefore, the valid host addresses range from 172.30.190.1 to 172.30.190.254. Hence, the first valid host on this subnet is 172.30.190.1.",[],1,TCP,0.9,0.9993353219963572,1.0
10,"Based on 1.1.1.0/24, the IP address would be: Select one choice.","a. Class A
b. Class B
c. Class D
d. Class C
",,a,d,,"The IP address range 1.1.1.0/24 falls within the Class C range of IP addresses. In Class C addressing, the first 3 octets are used for network identification, and the last octet is used for host identification.",[],0,TCP,0.9,0.9999877668918252,0.0
12,"Using CIDR notation, a prefix 205.100.0.0 of length 22 is written as 205.100.0.0/22. What network mask does the /22 notation indicate? Select one choice.","a. None of the above
b. 205.255.255.0
c. 255.255.252.0
d. 255.255.22.0
",,c,c,,"The /22 in CIDR notation indicates that the first 22 bits of the 32-bit IP address are the network portion, leaving 10 bits for the host portion. To determine the network mask, you need to see how many bits are turned on (set to 1) in the last octet of a 32-bit binary number. In this case, /22 means the first 22 bits are network bits, leaving 10 bits for hosts. The subnet mask would be 255.255.252.0 because in binary, the first 22 bits are 1s, and the remaining 10 bits (from the last octet) are 0s.",[],1,TCP,0.9,0.9994830820981172,1.0
13,"Perform CIDR aggregation on the following /24 IP addresses: 128.58.24.0/24, 128.58.25.0/24, 128.58.26.0/24, 128.58.27.0/24. What is the CIDR outcome? Select one choice.","a. 128.58.28.0/22
b. 128.58.28.0/24
c. 128.58.24.0/22
d. None of the above
",,c,c,,"CIDR aggregation involves combining multiple IP prefixes to create a single, summarized prefix. In this case, the given /24 IP addresses can be aggregated into the range of 128.58.24.0/22. This is because the first 22 bits are common among the given /24 addresses, and by aggregating them, we get the range 128.58.24.0/22.",[],1,TCP,0.9,0.8718998784121302,1.0
14,Which protocol provides conversion from an IP address to a physical address? Select one choice.,"a. ICMP
b. IGRP
c. DNS
d. ARP
",,d,d,,"The correct protocol that provides conversion from an IP address to a physical address is ARP (Address Resolution Protocol). ARP is used to map an IP address to a MAC address (physical address) in a local network. ICMP (Internet Control Message Protocol) is used for diagnostic functions and reporting errors but does not provide IP to physical address resolution. IGRP (Interior Gateway Routing Protocol) is a routing protocol, not related to address resolution. DNS (Domain Name System) is used for domain name to IP address resolution, not for IP to physical address resolution.",[],1,TCP,0.9,0.999998733555102,1.0
15,Which protocol is used to assign temporary IP addresses to hosts? Select one choice.,"a. ICMP
b. DHCP
c. ARP
d. None of the above
",,b,b,,"The correct protocol used to assign temporary IP addresses to hosts is DHCP (Dynamic Host Configuration Protocol). DHCP allows a server to dynamically assign IP addresses to hosts on the network, providing them with necessary network configuration information. ICMP (Internet Control Message Protocol) is used for diagnostic functions and reporting errors but not for assigning IP addresses. ARP (Address Resolution Protocol) is used to map IP addresses to MAC addresses in a local network but does not assign IP addresses. Therefore, DHCP is the appropriate protocol for assigning temporary IP addresses to hosts.",['https://www.cloudflare.com/learning/network-layer/what-is-dhcp/'],1,TCP,0.95,0.9999989719621284,1.0
17,The internet protocol allows IP fragmentation so that datagrams can be fragmented into pieces small enough to pass over a link with a smaller MTU than the original datagram size. Select one choice.,"a. False
b. True
",,b,b,,The statement is true. IP fragmentation is a process where an IP datagram is divided into smaller fragments to traverse networks with different Maximum Transmission Units (MTUs). This allows the datagram to reach its destination even if some network segments have lower MTUs than the original datagram size.,[],1,TCP,0.9,0.9999978991308068,1.0
18,Which of the following statement is correct for IPv6. Select one choice.,"a. Addresses are not hierarchical and are randomly assigned
b. There are 2.7 billion available addresses
c. Does not support multiple IPv6 address per interface
d. Broadcast in IPv4 have been replaced with multicast in IPv6
",,d,d,,"The statement 'Broadcast in IPv4 have been replaced with multicast in IPv6' is correct. In IPv6, the concept of broadcasting has been eliminated, and multicast is used instead to communicate with multiple hosts simultaneously. The other options are incorrect: a) IPv6 addresses are hierarchical and follow a specific structure, b) IPv6 provides a significantly larger address space with 340 undecillion addresses, and c) IPv6 does support multiple addresses per interface.",['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/ipaddr_ipv6/configuration/xe-16/ipaddr-ipv6-xe-16-book/ip6-addressing.html'],1,TCP,0.9,0.9999599931652948,1.0
19,Bootstrap Protocol (BOOTP) allows a diskless workstation to be remotely booted up in a network with TCP port designation for both client and server. Select one choice.,"a. False
b. True
",,a,b,,"The statement is true. Bootstrap Protocol (BOOTP) is used to allow diskless workstations to be remotely booted up in a network. It uses UDP ports 67 and 68 for communication between the client and server, not TCP ports.",['https://tools.ietf.org/html/rfc951'],0,TCP,0.9,0.9924861100803304,0.0
