Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
1,"Which layer of the OSI model is responsible for establishing, managing, and terminating connections between devices? Choose only one.","a. Session layer
b. Presentation layer
c. Transport layer
d. Data link layer
",,a,a,,"The Session layer of the OSI model, which is Layer 5, is responsible for establishing, managing, and terminating connections between applications on different devices. This layer sets up, coordinates, and terminates conversations, exchanges, and dialogues between the applications at each end. It deals with session and connection coordination.","['https://www.techtarget.com/searchnetworking/definition/session-layer', 'https://en.wikipedia.org/wiki/OSI_model']",1,Computer_Networking,1.0,1.0,1.0
2,Which model defines seven layers of networking protocols? Choose only one.,"a. TCP/IP model
b. OSI model
c. Ethernet model
d. DoD model
",,b,b,,"The OSI (Open Systems Interconnection) model is the one that defines seven layers of networking protocols. These layers are: Physical, Data Link, Network, Transport, Session, Presentation, and Application. The TCP/IP model, on the other hand, has four layers: Link, Internet, Transport, and Application. The Ethernet model refers to a family of computer networking technologies for local area networks (LANs) and is not a layered model. The DoD (Department of Defense) model is essentially the same as the TCP/IP model, sometimes considered to have five layers when the Physical and Data Link layers are separated.","['https://en.wikipedia.org/wiki/OSI_model', 'https://en.wikipedia.org/wiki/Internet_protocol_suite', 'https://en.wikipedia.org/wiki/Ethernet', 'https://en.wikipedia.org/wiki/Internet_protocol_suite#Layer_names_and_number_of_layers_in_the_literature']",1,Computer_Networking,1.0,1.0,1.0
3,Which device is used to enforce security policies by controlling the incoming and outgoing network traffic? Choose only one.,"a. Firewall
b. Router
c. Modem
d. Network switch
",,a,a,,"A firewall is a network security device that monitors and filters incoming and outgoing network traffic based on an organization's previously established security policies. At its most basic, a firewall is essentially a barrier between a private internal network and the public Internet. The primary purpose of a firewall is to control the flow of traffic and to protect the network from unauthorized access and various types of attacks. Routers, modems, and network switches have different primary functions. A router is used to connect multiple networks and route network traffic between them. A modem modulates and demodulates signals for communication over telephone lines. A network switch connects devices within a single network to enable communication between them.","['https://en.wikipedia.org/wiki/Firewall_(computing)', 'https://www.cisco.com/c/en/us/products/security/firewalls/what-is-a-firewall.html']",1,Computer_Networking,1.0,0.999999448776502,1.0
4,Which device is responsible for determining the best path for data packets to travel across multiple networks? Choose only one.,"a. Router
b. Network switch
c. Bridge
d. Modem
",,a,a,,"A router is a networking device that forwards data packets between computer networks. Routers perform the traffic directing functions on the Internet by analyzing the destination IP address of a data packet, determining the best path for it to take to reach its destination, and then forwarding it accordingly. A network switch, on the other hand, operates at the data link layer to connect devices within the same network and forwards packets based on MAC addresses. A bridge is also a data link layer device that is used to connect two separate networks into one aggregate network, but it does not determine the best path across multiple networks. A modem modulates and demodulates signals for communication over telephone lines and does not involve path determination. Therefore, the correct answer is the router.","['https://en.wikipedia.org/wiki/Router_(computing)', 'https://en.wikipedia.org/wiki/Network_switch', 'https://en.wikipedia.org/wiki/Bridge_(networking)', 'https://en.wikipedia.org/wiki/Modem']",1,Computer_Networking,1.0,0.9999958726752174,1.0
5,Which network topology consists of a single shared communication line to which all devices are connected? Choose only one.,"a. Bus topology
b. Ring topology
c. Mesh topology
d. Star topology
",,a,a,,"A bus topology consists of a single communication line, often referred to as a backbone, to which all devices on the network are connected. This topology allows all devices to communicate with each other by sending broadcast messages, which are received by all devices on the network. The bus topology was common in the early days of computing but has largely been replaced by more advanced topologies due to its limitations, such as difficult troubleshooting and the entire network going down if the main cable fails.

In contrast, a ring topology connects devices in a circular fashion, with each device connected to two other devices, forming a ring. A mesh topology is characterized by a network where devices are interconnected with many redundant interconnections between network nodes. A star topology features a central hub to which all devices are connected, and the hub acts as a repeater for data flow.","['https://en.wikipedia.org/wiki/Bus_network', 'https://en.wikipedia.org/wiki/Network_topology']",1,Computer_Networking,1.0,0.9999998063873689,1.0
6,"Which network topology requires the least amount of cabling and is easy to set up, but if the central device fails, the entire network becomes inaccessible? Choose only one.","a. Ring topology
b. Bus topology
c. Mesh topology
d. Star topology
",,d,d,,"The star topology connects all devices to a central hub or switch. It uses less cable than a mesh topology, which requires every device to be interconnected, and is easier to set up than a ring topology, which connects devices in a closed loop. The bus topology uses a single backbone to connect all devices, but it generally requires more cabling than a star topology when connecting multiple devices. The main disadvantage of a star topology is that if the central hub or switch fails, the entire network becomes inaccessible, as all communications must pass through this central point.","['https://www.computerhope.com/jargon/s/star-topo.htm', 'https://www.lifewire.com/star-topology-817884']",1,Computer_Networking,0.95,0.9696307461806806,1.0
8,Which device can be used to create logical network segments and improve network performance by reducing network congestion? Choose only one.,"a. Network switch
b. Modem
c. Router
d. Repeater
",,a,a,,"A network switch is a device that connects devices together on a computer network by using packet switching to receive, process, and forward data to the destination device. A switch operates at the data link layer (Layer 2) of the OSI model and can create separate collision domains for each connected device which helps in reducing network congestion. It can also create VLANs (Virtual Local Area Networks) to create logical segments within the network, further improving performance by reducing broadcast traffic.","['https://en.wikipedia.org/wiki/Network_switch', 'https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/network-switch-vs-router.html']",1,Computer_Networking,1.0,0.9999876476902904,1.0
9,The DoD model is commonly known as the:,"a. Five-layer model
b. Seven-layer model
c. Six-layer model
d. Four-layer model
",,d,d,,"The Department of Defense (DoD) model, also known as the TCP/IP model, traditionally has four layers. These layers are the Process/Application Layer, Host-to-Host/Transport Layer, Internet Layer, and Network Access/Link Layer. This model was created before the OSI model, which has seven layers.","['https://www.lifewire.com/tcp-ip-model-817944', 'https://en.wikipedia.org/wiki/Internet_protocol_suite']",1,Computer_Networking,1.0,0.9998175716220804,1.0
10,Which layer of the OSI model is responsible for addressing and routing packets? Choose only one.,"a. Transport layer
b. Data link layer
c. Physical layer
d. Network layer
",,d,d,,"The Network layer of the OSI model, which is Layer 3, is responsible for addressing and routing packets across different networks. It determines the best physical path for the data to travel from the source to the destination, using logical addressing (IP addresses) to identify different devices on the network.","['https://www.cisco.com/c/en/us/solutions/enterprise-networks/what-is-the-osi-model.html', 'https://en.wikipedia.org/wiki/OSI_model']",1,Computer_Networking,1.0,0.9999982567412194,1.0
11,Which layer of the OSI model provides encryption and decryption of data for secure communication? Choose only one.,"a. Physical layer
b. Session layer
c. Application layer
d. Presentation layer
",,d,d,,"The Presentation layer of the OSI model, which is Layer 6, is responsible for the translation, encryption, and compression of data. When the goal is to secure communication by encrypting data, it is the Presentation layer that typically provides these services. The other layers mentioned have different responsibilities: the Physical layer (Layer 1) deals with the transmission of raw bitstreams over a physical medium, the Session layer (Layer 5) manages sessions between applications, and the Application layer (Layer 7) supports application services for file transfers, email, and other network software services.","['https://www.cloudflare.com/learning/ddos/glossary/open-systems-interconnection-model-osi/', 'https://en.wikipedia.org/wiki/OSI_model#Layer_6:_Presentation_layer']",1,Computer_Networking,1.0,0.9999996871837188,1.0
12,Which device can be used to connect two or more network segments together and extend the reach of a network? Choose only one.,"a. Bridge
b. Modem
c. Network switch
d. Router
",,a,a,,"A bridge is a network device that is used to connect two or more network segments, making them act as a single network. It operates at the data link layer (Layer 2) of the OSI model, which allows it to filter traffic and forward frames based on MAC addresses. A bridge can also help in reducing network traffic on a segment by dividing it into two segments. A network switch is similar to a bridge but typically has more ports and is more advanced with additional features. A modem (modulator-demodulator) is used for modulating one or more carrier wave signals to encode digital information for transmission and to demodulate signals to decode the transmitted information. A router is used to connect multiple networks together, such as connecting a home network to the internet, and operates at the network layer (Layer 3) of the OSI model. Out of the given options, the bridge is the most fitting answer for the purpose of connecting network segments together.","['https://en.wikipedia.org/wiki/Network_bridge', 'https://en.wikipedia.org/wiki/Network_switch', 'https://en.wikipedia.org/wiki/Modem', 'https://en.wikipedia.org/wiki/Router_(computing)']",1,Computer_Networking,0.95,0.9975781696745696,1.0
