Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
204,"The customer edge device is typically a router, that sits at a customer site on MPLS networks and connects to a provider edge router (PE router) to take communications from a customer site to a provider side.","a. FALSE
b. TRUE
",,b,b,,"In MPLS (Multiprotocol Label Switching) networks, the customer edge (CE) device is indeed typically a router that resides at the customer's premises. The CE router interfaces with the provider edge (PE) router, which is part of the service provider's network. The CE router's role is to connect to the PE router and facilitate the transfer of the customer's data into the provider's MPLS network. Therefore, the statement is true.","['https://www.cisco.com/c/en/us/td/docs/net_mgmt/ip_solution_center/5-2/mpls_vpn/user/guide/mpls52book/concepts.html', 'https://en.wikipedia.org/wiki/Multiprotocol_Label_Switching']",1,chapter12_network_design_architecture,1.0,0.9999989719621284,1.0
205,____________________ is a network design that connects a link between each pair of nodes.,"a. Partial Mesh
b. Hybrid
c. Full Mesh
d. Star
",,c,c,,"A full mesh network design is one where each node in the network has a direct link to every other node. This means that in a full mesh, there is a unique dedicated point-to-point link between every pair of nodes. This is in contrast to a partial mesh, where some nodes are connected to all others, but some are only connected to a few. A hybrid network combines elements of different topologies, which might include mesh elements, but not exclusively. A star topology, on the other hand, connects all nodes to a central hub, not directly to each other.","['https://www.cisco.com/c/en/us/support/docs/cloud-systems-management/network-automation-and-management/200933-Network-Design-Considerations-for-Enterp.html', 'https://en.wikipedia.org/wiki/Network_topology#Mesh']",1,chapter12_network_design_architecture,1.0,1.0,1.0
206,"With PoE, a LAN switch can act as the Power Sourcing Equipment (PSE).","a. FALSE
b. TRUE
",,b,b,,"Power over Ethernet (PoE) is a technology that allows network cables to carry electrical power in addition to data. In a PoE-capable network, the LAN switch (or any other network device like an injector) can function as the Power Sourcing Equipment (PSE). The PSE is the device that supplies power to the network over the Ethernet cabling. This allows for devices such as IP phones, wireless access points, and surveillance cameras to receive power as well as data over the same cable, eliminating the need for separate power supplies or electrical outlets near the powered device.","['https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/poe-switch.html', 'https://en.wikipedia.org/wiki/Power_over_Ethernet']",1,chapter12_network_design_architecture,1.0,1.0,1.0
208,Which of the following roles of campus switches provides a connection point for end-user devices?,"a. Core
b. Campus
c. Access
d. Distribution
",,c,c,,"In a hierarchical network design, campus switches have different roles based on the layer they are in. The access layer is where end-user devices connect to the network. Access switches provide the connection points for devices such as computers, phones, and printers. The core layer is designed for high-speed backbone connectivity and does not directly connect to end-user devices. The distribution layer aggregates the data from access switches and routes it to the core layer but also does not directly connect to end-user devices. Therefore, the correct answer is the access layer.","['https://www.cisco.com/c/en/us/solutions/enterprise-networks/what-is-a-network-switch.html', 'https://www.cisco.com/c/en/us/support/docs/lan-switching/ethernet/17056-ethernet-design.html']",1,chapter12_network_design_architecture,1.0,0.9999998063873689,1.0
209,Which of the following roles of campus switches provides an aggregation point for access switches?,"a. Access
b. Core
c. Distribution
d. Campus
",,c,c,,"In a hierarchical network design, the distribution layer serves as the aggregation point for access switches. The distribution layer switches aggregate the data received from the access layer switches before it is transmitted to the core layer for routing to its final destination. The distribution layer often implements policy-based connectivity, quality of service (QoS), and security controls. The other options do not fit the role described: Access layer switches connect end devices to the network, the core layer is responsible for fast and reliable transportation of data across the network, and 'campus' is not a specific role of a switch but rather refers to the entire network of a campus.","['https://www.cisco.com/c/en/us/solutions/enterprise-networks/campus-lan/index.html', 'https://www.ciscopress.com/articles/article.asp?p=2202410']",1,chapter12_network_design_architecture,1.0,0.9999977799274644,1.0
210,Which of the following roles of campus switches aggregates distribution switches in very large campus LANs?,"a. Access
b. Distribution
c. Core
d. Campus
",,c,c,,"In a hierarchical campus network design, the core layer is responsible for aggregating the traffic from all the distribution switches. The core layer is the backbone of the network and is designed to be highly reliable and fast to handle large amounts of traffic efficiently. The access layer is where end devices connect to the network, the distribution layer aggregates the access layers and implements policies, and the term 'campus' is generally used to refer to the entire LAN of a campus but is not a specific role of campus switches.","['https://www.cisco.com/c/en/us/solutions/enterprise-networks/enterprise-campus-design.html', 'https://www.cisco.com/c/en/us/support/docs/lan-switching/lan-switching-architecture/21349-campus-lan-wp-21349.html']",1,chapter12_network_design_architecture,1.0,0.9999942038320978,1.0
211,Your company plans to start using public cloud service and now you are considering different WAN options. Your main concern is security by keeping the data private while also providing good QoS services. Which of the following options are under consideration? (Choose two answers.),"a. Using an intercloud exchange
b. Using an Internet connection without VPN
c. Using private WAN connections directly to the cloud provider
d. Using an Internet connection with VPN
",,"a,c","c,d",,"When considering WAN options for connecting to a public cloud service with a focus on maintaining data privacy and ensuring good Quality of Service (QoS), the following options are viable: 

- Using private WAN connections directly to the cloud provider (Option c): This approach involves setting up a dedicated, private connection between the company's network and the cloud provider. This ensures that data is not transmitted over the public internet, thereby maintaining privacy and potentially providing better QoS by having a dedicated line.

- Using an Internet connection with VPN (Option d): A VPN (Virtual Private Network) creates a secure, encrypted tunnel over the public internet, which can help to keep data private even when using an internet connection. Additionally, VPNs can offer some level of QoS by prioritizing certain types of traffic.

Option a, 'Using an intercloud exchange,' might be considered for different reasons, such as improving connectivity between different cloud providers, but it does not inherently address the privacy concern. Option b, 'Using an Internet connection without VPN,' does not provide the necessary privacy as the data would be transmitted over the public internet without encryption.","['https://www.cisco.com/c/en/us/solutions/enterprise-networks/what-is-a-vpn.html', 'https://www.cisco.com/c/en/us/solutions/enterprise-networks/private-wan/index.html']",0,chapter12_network_design_architecture,0.95,0.999807251325763,0.0
212,"One of the differences between Public Cloud and Private Cloud (On-Premise) is that on the Public Cloud solution you are responsible for all management, maintenance, and updating of data centers.","a. FALSE
b. TRUE
",,a,a,,"The statement is incorrect. In a Public Cloud model, the cloud service provider is responsible for the management, maintenance, and updating of data centers. Customers using public cloud services typically manage their data and applications, but not the underlying infrastructure. In contrast, with a Private Cloud (On-Premise), the organization is responsible for the management, maintenance, and updating of their own data centers.","['https://azure.microsoft.com/en-us/overview/what-is-a-public-cloud/', 'https://www.ibm.com/cloud/learn/private-cloud']",1,chapter12_network_design_architecture,1.0,0.9999996871837188,1.0
213,"A company uses a Metro Ethernet WAN with an Ethernet LAN (E-LAN) service, with the company headquarters plus 20 remote sites connected to the service. The enterprise uses OSPF at all sites, with one router connected to the service from each site. Which of the following are true about the Layer 3 details most likely used with this service and design? (Choose all that apply)","a. The WAN uses 20 or more IP subnets
b. A remote site router would have 20 OSPF neighbors
c. A remote site router would have one OSPF neighbor
d. The WAN uses one IP subnet
",,"b,d","a,c",,"In a Metro Ethernet E-LAN service, all sites are connected in a mesh topology, which makes it appear as though they are all on the same Ethernet LAN. This allows all the sites to communicate with each other directly. However, from a Layer 3 perspective, each site would typically be on a different subnet to allow for proper IP routing and management. Hence, the WAN would use 20 or more IP subnets, one for each remote site plus the headquarters, making option (a) correct.

As for OSPF neighbors, each router at a remote site would only form an OSPF adjacency with the headquarters router if OSPF is configured to operate over a single broadcast domain, such as with a hub-and-spoke topology using a single E-LAN service. The routers would not form OSPF adjacencies directly with each other because OSPF treats the entire E-LAN service as a single broadcast domain. Therefore, a remote site router would have one OSPF neighbor, making option (c) correct.

Option (b) is incorrect because in an E-LAN service, each site does not form individual OSPF adjacencies with every other site. Option (d) is incorrect because while the E-LAN service emulates a single Ethernet network, the use of multiple IP subnets is still a common and likely practice for separating traffic between different sites.","['https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/WAN_and_MAN/EME.html', 'https://www.ciscopress.com/articles/article.asp?p=680824&seqNum=2', 'https://www.ietf.org/rfc/rfc2328.txt']",0,chapter12_network_design_architecture,0.95,0.6734001900706535,0.0
214,The process of dividing a physical server into multiple unique and isolated virtual servers by means of a software application is called server _________________.,"a. Integration
b. Segmentation
c. Isolation
d. Virtualization
",,d,d,,"Server virtualization is the process of dividing a physical server into multiple unique and isolated virtual servers using software. This is achieved by using a virtualization program like VMware, Hyper-V, or others, which allows multiple operating systems to run concurrently on a single physical server. Each virtual server acts as a unique physical device, capable of running its own operating system (OS). The options 'Integration', 'Segmentation', and 'Isolation' do not accurately describe this process.","['https://www.vmware.com/topics/glossary/content/server-virtualization.html', 'https://searchservervirtualization.techtarget.com/definition/server-virtualization']",1,chapter12_network_design_architecture,1.0,1.0,1.0
