Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
21,Which of the following commands checks the status of the interfaces?,"a. show status
b. show interface
c. show status interface
d. show interface status
",,d,"b,d",,"The commands 'show interface' and 'show interface status' are both valid Cisco IOS commands used to check the status of interfaces on a Cisco device. The 'show interface' command provides detailed information about the interface, including its physical status, protocol status, and various protocol-specific statistics. The 'show interface status' command provides a summary of the status of interfaces, showing whether they are connected, their VLAN assignments, duplex and speed settings, and other key details. The 'show status' and 'show status interface' commands are not recognized as standard Cisco IOS commands for checking interface status.","['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/interface/command/interface-cr-book/ir-s1.html#wp4059605021', 'https://www.cisco.com/c/m/en_us/techdoc/dc/reference/cli/nxos/commands/int/show-interface-status.html']",0,chapter2_ethernet_lans,0.95,0.735241766384293,0.5
22,You are in console line configuration mode. Which of the following commands would place you in enable mode?,"a. back
b. enable
c. change
d. end
",,d,d,,"When you are in console line configuration mode (or any other specific configuration mode), the 'end' command is used to return to privileged EXEC mode, which is commonly referred to as enable mode. The other commands listed do not perform this function in Cisco IOS.","['https://www.cisco.com/c/en/us/td/docs/ios/12_2/configfun/command/reference/ffun_r/frf014.html', 'https://www.cisco.com/c/en/us/support/docs/security-vpn/secure-shell-ssh/4145-ssh.html#anc13']",1,chapter2_ethernet_lans,1.0,0.9993466315381913,1.0
23,Which of the following commands copies the configuration from RAM into NVRAM,"a. copy running-config startup-config
b. copy nvram ram
c. copy ram nvram
d. copy startup-config running-config
",,a,a,,"In Cisco devices, the running configuration is stored in RAM (Random Access Memory) and reflects the current configuration of the device. The startup configuration is stored in NVRAM (Non-Volatile RAM) and is what the device loads upon bootup. To save the current running configuration so that it persists after a reboot, you need to copy it to the startup configuration. The command 'copy running-config startup-config' performs this action.","['https://www.cisco.com/c/en/us/td/docs/ios/fundamentals/command/reference/cf_book/cf_r1.html', 'https://www.cisco.com/c/en/us/support/docs/smb/routers/cisco-rv-series-small-business-routers/smb5534-copy-the-running-configuration-to-startup-configuration-on-the-rv34x-series-router.html']",1,chapter2_ethernet_lans,1.0,1.0,1.0
24,"The command that configures the switch as a DHCP client to discover its IPv4 address, mask, and default gateway is ip address dhcp.","a. FALSE
b. TRUE
",,b,b,,"The command 'ip address dhcp' is used in Cisco IOS on an interface to configure the device to obtain its IPv4 address, subnet mask, and default gateway from a DHCP server. This command effectively makes the interface a DHCP client.",['https://www.cisco.com/c/en/us/support/docs/ip/dynamic-address-allocation-resolution/27470-100.html'],1,chapter2_ethernet_lans,1.0,0.9395677499085336,1.0
25,In which of the following modes of the CLI could you configure the duplex setting for interface Fast Ethernet 0/2?,"a. Enable mode
b. Global configuration mode
c. VLAN mode
d. Interface configuration mode
",,d,d,,"To configure the duplex setting for an interface on a Cisco device, you must be in the interface configuration mode. This mode allows you to make changes to the specific interface settings such as speed, duplex, and other interface-specific commands. Enable mode (a) is the privileged exec mode which allows you to view more detailed status information and issue certain privileged commands but not to configure interface settings. Global configuration mode (b) allows you to make changes that affect the system as a whole but you need to navigate further into interface configuration mode to configure individual interfaces. VLAN mode (c) is used to configure VLAN settings specifically and is not where you would set duplex settings for an interface.",['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst2960x/software/15-0_2_EX1/ol-29034-01/b_c2960x_15_0_2_EX1_ol_29034_01_chapter_010.html#concept_22DDF2B4F7A44B2ABE6F8DAD8A465F69'],1,chapter2_ethernet_lans,1.0,0.9999808531883024,1.0
26,Which of the following commands administratively enables an interface,"a. enable interface
b. shutdown
c. no shutdown
d. interface enable
",,c,c,,The 'no shutdown' command is used in Cisco IOS to bring an interface up (administratively enable it). This command is typically used in the interface configuration mode. The 'shutdown' command is used to administratively disable an interface. The 'enable interface' and 'interface enable' commands are not standard Cisco IOS commands for controlling interface status.,"['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/interface/command/interface-cr-book/if-a1.html', 'https://www.ciscopress.com/articles/article.asp?p=2180210&seqNum=6']",1,chapter2_ethernet_lans,0.99,0.9999998063873689,1.0
27,"Switches use STP to prevent loops by causing some interfaces to block, meaning that they do not send or receive frames.","a. TRUE
b. FALSE
",,a,a,,"The Spanning Tree Protocol (STP) is a network protocol that ensures a loop-free topology for any bridged Ethernet local area network. STP works by designating the least cost paths in a network and blocking all other redundant paths that could potentially create a loop. When STP decides that a path could cause a loop, it transitions the port into a Blocking state, where the interface does not send or receive frames (except for STP frames). Therefore, the statement is true.","['https://en.wikipedia.org/wiki/Spanning_Tree_Protocol', 'https://www.cisco.com/c/en/us/support/docs/lan-switching/spanning-tree-protocol/5234-5.html']",1,chapter2_ethernet_lans,1.0,0.9999982567412194,1.0
28,A Layer 2 switch configuration places all its physical ports into VLAN 2. The IP addressing plan shows that address 175.28.1.150 (with mask 255.255.255.0) is reserved for use by this new LAN switch and that 175.28.1.254 is already configured on the router connected to that same VLAN. The switch needs to support SSH connections into the switch from any subnet in the network. Which of the following commands are part of the required configuration in this case? (Choose two answers.),"a. The ip default-gateway 175.28.1.254 command in global configuration mode.
b. The ip address 175.28.1.150 255.255.255.0 command in interface vlan 2 configuration mode.
c. The ip address 172.16.2.250 255.255.255.0 command in interface vlan 1 configuration mode.
d. The ip default-gateway 175.28.1.150 command in global configuration mode.
e. The switch cannot support SSH because all its ports connect to VLAN 2, and the IP address must be configured on interface VLAN 1.
",,"a,b","a,b",,"To enable SSH access to a Layer 2 switch from any subnet in the network, the switch must have an IP address assigned to it and a default gateway set. The IP address should be configured on a VLAN interface that corresponds to the VLAN where the switch's ports are assigned. Since all ports are in VLAN 2, the switch's VLAN 2 interface should be assigned the IP address. The IP address 175.28.1.150 with the subnet mask 255.255.255.0 is reserved for the switch, so it should be configured on the VLAN 2 interface. The default gateway should be set to the IP address of the router's interface that is connected to VLAN 2, which is 175.28.1.254. This allows the switch to route traffic to other subnets via the router. Option e is incorrect because there is no requirement that the IP address must be on interface VLAN 1. Layer 2 switches can have IP addresses on any VLAN interface for management purposes. Option c is incorrect because the IP address specified does not match the VLAN 2 IP addressing scheme. Option d is incorrect because it sets the default gateway to the switch's own IP address, which is not how routing works.","['https://www.cisco.com/c/en/us/support/docs/smb/switches/cisco-small-business-300-series-managed-switches/smb5043-how-to-configure-a-management-ip-address-on-a-sg300-s.html', 'https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/16448-default-gateway.html']",1,chapter2_ethernet_lans,1.0,0.9999991359603932,1.0
29,Which of the following commands lists the content of the startup-config (initial config) file.,"a. show startup-config
b. show file-config
c. show content-config
d. show initial-config
",,a,a,,"The 'show startup-config' command is used in Cisco devices to display the contents of the startup configuration file, which is stored in NVRAM. This file is used to configure the device upon startup. The other options provided are not standard Cisco IOS commands for displaying the startup configuration file.","['https://www.cisco.com/c/en/us/td/docs/ios/fundamentals/command/reference/cf_book/cf_s1.html', 'https://www.cisco.com/c/en/us/support/docs/smb/routers/cisco-rv-series-small-business-routers/smb5686-view-the-startup-configuration-file-on-rv34x-series-router.html']",1,chapter2_ethernet_lans,1.0,0.999999091165773,1.0
30,You want to configure the console password with password examsdigest. Which of the following commands will you type to meet the requirement?,"a. Examsdigest#(config)# enable secret examsdigest
b. Examsdigest#(config)# live vty 0 15
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# end
c. Examsdigest#(config)# enable console examsdigest
d. Examsdigest#(config)# line console 0
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# exit
",,d,d,,"To configure the console password, you need to access the line console configuration mode and then set the password and enable login. The correct sequence of commands is as follows: first, you enter line configuration mode with 'line console 0', then you set the password with 'password examsdigest', and finally, you enable the login process with 'login'. The 'exit' command takes you back to the global configuration mode. Option 'a' is incorrect because 'enable secret' sets the encrypted password for privileged EXEC mode, not for console access. Option 'b' is incorrect because 'live vty 0 15' seems to be a mistyped command and should be 'line vty 0 15', which is used for configuring Telnet or SSH access, not console access. Option 'c' is incorrect because 'enable console' is not a valid Cisco IOS command.","['https://www.cisco.com/c/en/us/td/docs/routers/access/800/819/software/configuration/Guide/819_SCG/6ser_conf.html#pgfId-1073734', 'https://www.cisco.com/c/en/us/support/docs/security-vpn/secure-shell-ssh/4145-ssh.html']",1,chapter2_ethernet_lans,1.0,0.9999753699393248,1.0
