Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
137,"In a spoofing attack, which of the following parameters are commonly spoofed? (Choose two answers)","a. Routing table
b. MAC address
c. Source IP address
d. ARP address
e. ARP table
f. Destination IP address
",,"b,c","b,c",,"In a spoofing attack, an attacker commonly falsifies information to masquerade as another device or user. Two common parameters that are spoofed in these types of attacks are the MAC address and the Source IP address. Spoofing the MAC address (b) allows an attacker to impersonate another device within the local network segment. Spoofing the Source IP address (c) enables an attacker to send packets that appear to originate from a different IP address, which can be used for various malicious activities, including but not limited to, bypassing access controls and engaging in DoS attacks. The other options, such as the routing table (a), ARP address (d), and ARP table (e), are not typically 'spoofed' but can be manipulated or poisoned in other types of attacks (e.g., ARP poisoning). The Destination IP address (f) is not usually spoofed by an attacker as this would cause the response from the attacked system to be sent to a different destination, thus not reaching the attacker.","['https://en.wikipedia.org/wiki/MAC_spoofing', 'https://en.wikipedia.org/wiki/IP_address_spoofing', 'https://en.wikipedia.org/wiki/ARP_spoofing']",1,chapter8_security_fundamentals,0.95,0.9999680987188568,1.0
138,AAA servers usually support the protocol TACACS+ and ____________________ to communicate with enterprise resources.,"a. HTTP
b. DHCP
c. RADIUS
d. ARP
",,c,c,,"AAA (Authentication, Authorization, and Accounting) servers typically support two main protocols to communicate with enterprise resources: TACACS+ (Terminal Access Controller Access-Control System Plus) and RADIUS (Remote Authentication Dial-In User Service). TACACS+ is a Cisco proprietary protocol, while RADIUS is an open standard. Both are used for network access authentication and authorization. HTTP is a protocol for web communication, DHCP is used for network client IP address assignment, and ARP is used for IP address to physical address resolution in local networks. These protocols are not primarily used for AAA purposes.","['https://www.cisco.com/c/en/us/support/docs/security-vpn/remote-authentication-dial-user-service-radius/13838-10.html', 'https://en.wikipedia.org/wiki/TACACS', 'https://en.wikipedia.org/wiki/RADIUS']",1,chapter8_security_fundamentals,1.0,0.9999998063873689,1.0
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
",,c,c,,"The given task requires three specific actions to be taken on the switch port FastEthernet0/1. Option 'c' correctly outlines the steps to configure the switch port as an access port, enable port security, and define the specific MAC address that should be allowed to access the port. Here's the breakdown of the commands:

1. Enter global configuration mode with 'configure terminal'.
2. Select the interface with 'interface FastEthernet0/1'.
3. Set the port to access mode with 'switchport mode access'. This command ensures that the interface will carry traffic for one VLAN only.
4. Enable port security with 'switchport port-security'. This command turns on port security on the interface.
5. Specify the allowed MAC address with 'switchport port-security macaddress 0200.1111.2222'. This command sets the exact MAC address that is allowed to connect to the port.

Option 'a' does not include the step to set the MAC address. Option 'b' includes the wrong MAC address. Option 'd' is incorrect as it configures the wrong interface (FastEthernet0/2).","['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst2960/software/release/12-2_55_se/configuration/guide/scg_2960/swtrafc.html#wp1038541', 'https://www.cisco.com/c/en/us/support/docs/switches/catalyst-6500-series-switches/10537-78.html']",1,chapter8_security_fundamentals,1.0,0.9999518876724351,1.0
140,"_____________________ attacks typically function by overwhelming or flooding a targeted machine with requests until normal traffic is unable to be processed, resulting in denial- of-service to additional users.","a. Phishing
b. DoS
c. Spoofing
d. SQL injection
",,b,b,,"A Denial-of-Service (DoS) attack is characterized by an explicit attempt by attackers to prevent legitimate users of a service from using that service. This is typically done by flooding the target with superfluous requests in an attempt to overload systems and thus prevent some or all legitimate requests from being fulfilled. The other options represent different types of security threats: Phishing (a) is a technique of fraudulently obtaining private information, Spoofing (c) involves impersonating something or someone else, and SQL Injection (d) is a type of attack that exploits vulnerabilities in a database-driven application to execute malicious SQL statements.","['https://www.cisco.com/c/en/us/about/security-center/ddos-q-and-a.html', 'https://www.kaspersky.com/resource-center/definitions/denial-of-service', 'https://www.imperva.com/learn/application-security/sql-injection-sqli/', 'https://www.phishing.org/what-is-phishing']",1,chapter8_security_fundamentals,1.0,1.0,1.0
141,A _________________ is malicious software that is hidden and packaged inside other software that looks normal and legitimate.,"a. Trojan
b. Virus
c. Spyware
d. Worm
",,a,a,,"A Trojan, or Trojan horse, is a type of malware that is disguised as legitimate software. Cyber-thieves and hackers can use Trojans to gain access to users' systems. Users are typically tricked by some form of social engineering into loading and executing Trojans on their systems. Once activated, Trojans can enable cyber-criminals to spy on you, steal your sensitive data, and gain backdoor access to your system. While viruses and worms are also types of malware, they replicate and spread themselves, which is not a characteristic of Trojans. Spyware, on the other hand, is designed to spy on the user's activities but is not necessarily hidden within other software.","['https://www.cisco.com/c/en/us/about/security-center/virus-differences.html', 'https://us.norton.com/internetsecurity-malware-what-is-a-trojan.html']",1,chapter8_security_fundamentals,0.95,0.9999998063873689,1.0
142,What devices can be used to implement DHCP Snooping? (Choose two answers),"a. End users
b. Layer 3 switches
c. Hub
d. Access Points
e. Routers
f. Layer 2 switches
",,"b,f","b,f",,"DHCP Snooping is a security feature that acts as a firewall between untrusted hosts and trusted DHCP servers. It is implemented on network switches to prevent DHCP spoofing attacks. DHCP Snooping can be enabled on both Layer 2 and Layer 3 switches, as they have the intelligence and capability to inspect DHCP traffic and filter out malicious or invalid DHCP messages. End users (a) are not devices and thus cannot implement DHCP Snooping. Hubs (c) are simple devices that do not have the capability to inspect or filter traffic at the packet level. Access points (d) generally do not have the functionality to implement DHCP Snooping, as they are primarily focused on providing wireless connectivity, although some high-end managed access points might have such features. Routers (e) can be used to relay DHCP messages between clients and servers, but DHCP Snooping as a specific feature is typically associated with switches.","['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst6500/ios/12-2SX/configuration/guide/book/snoodhcp.html', 'https://www.networkstraining.com/dhcp-snooping/']",1,chapter8_security_fundamentals,0.95,0.998552151850922,1.0
143,"Which of the following Cisco Firepower NGIPS’s features provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility?","a. Security automation
b. Superior effectiveness
c. Granular application visibility and control
d. Contextual awareness
",,d,d,,"Cisco Firepower Next-Generation Intrusion Prevention System (NGIPS) is designed to provide detailed insights into the activity on a network. Contextual awareness is a feature that gives administrators the ability to see the users, applications, devices, threats, and vulnerabilities in their network in real-time. This visibility allows for a better understanding of the network environment, which is crucial for effective security management. Security automation (a) refers to the use of technology to automate security tasks, while superior effectiveness (b) is a general term that could apply to the overall performance of a security solution. Granular application visibility and control (c) is more specific to monitoring and managing application use but does not necessarily provide the broad insights into users, devices, threats, and vulnerabilities that contextual awareness does.","['https://www.cisco.com/c/en/us/products/security/firepower-ngips/index.html', 'https://www.cisco.com/c/en/us/td/docs/security/firepower/60/configuration/guide/fpmc-config-guide-v60/Intrusion_Detection_and_Prevention.html']",1,chapter8_security_fundamentals,0.95,0.7465921178133427,1.0
144,What can be accomplished with a brute-force attack?,"a. Guess a user’s password
b. Spoof every possible IP address
c. Alter a routing table
d. Make a server unavailable
",,a,a,,"A brute-force attack is a trial-and-error method used to obtain information such as a user password or personal identification number (PIN). In this attack, automated software is used to generate a large number of consecutive guesses as to the value of the desired data. Brute-force attacks can be used to guess passwords effectively if there are no proper lockout or rate-limiting mechanisms in place. The other options are not typically associated with brute-force attacks. Spoofing every possible IP address would be related to IP spoofing or certain types of denial-of-service attacks. Altering a routing table would involve a different type of network attack, possibly leveraging routing protocols vulnerabilities or unauthorized access to network devices. Making a server unavailable is generally the goal of a denial-of-service (DoS) attack, not a brute-force attack.","['https://www.imperva.com/learn/application-security/brute-force-attack/', 'https://us-cert.cisa.gov/ncas/tips/ST04-002', 'https://en.wikipedia.org/wiki/Brute-force_attack']",1,chapter8_security_fundamentals,1.0,1.0,1.0
145,Social engineering attack is accomplished through human interactions. It uses psychological manipulation to trick users into making security mistakes or giving away sensitive information.,"a. FALSE
b. TRUE
",,b,b,,"Social engineering attacks indeed leverage human interactions and use psychological manipulation to trick individuals into divulging sensitive information or making security-related mistakes. These types of attacks exploit human psychology rather than technical hacking techniques to gain access to systems, data, or networks.","['https://www.cisa.gov/uscert/ncas/tips/ST04-014', 'https://en.wikipedia.org/wiki/Social_engineering_(security)']",1,chapter8_security_fundamentals,1.0,1.0,1.0
146,"Which of the following human security vulnerabilities attacks is a type of attack that targets high-profile employees, such as the CEO or CFO, in order to steal sensitive information from a company?","a. Whaling
b. Pharming
c. Phishing
d. Social engineering
",,a,a,,"The correct answer is 'Whaling'. This type of attack specifically targets high-ranking individuals within an organization, such as the CEO or CFO. These attacks are often more sophisticated and tailored to the individuals being targeted, with the goal of stealing sensitive information or gaining access to secure systems. 'Pharming' involves redirecting website traffic to a fraudulent website without the user's knowledge, which is not specifically targeted at high-profile employees. 'Phishing' is a broader term for any attempt to obtain sensitive information by pretending to be a trustworthy entity in electronic communication, which can target any user, not necessarily high-profile ones. 'Social engineering' is a term that encompasses a broad range of malicious activities accomplished through human interactions; it involves tricking people into breaking normal security procedures. While social engineering could be used to target high-profile employees, it is not the specific term for attacks targeting high-profile employees.","['https://www.phishingbox.com/news/whaling-attacks', 'https://www.techtarget.com/searchsecurity/definition/pharming', 'https://www.cisa.gov/uscert/ncas/tips/ST04-014', 'https://www.social-engineer.com/what-is-social-engineering/']",1,chapter8_security_fundamentals,1.0,0.9999998063873689,1.0
