Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
1,Which of the following is an example of a network layer (layer 3) protocol in the five-layer TCP/IP model?,"a. TCP
b. Ethernet
c. UDP
d. IP
",,d,d,,"In the five-layer TCP/IP model, the network layer, also known as layer 3, is responsible for packet forwarding including routing through intermediate routers. The correct option among the provided choices is 'd. IP' (Internet Protocol), which is a fundamental protocol that operates at the network layer. It is responsible for addressing and routing packets of data so that they can travel across networks and arrive at the correct destination. The other options are not network layer protocols: 'a. TCP' (Transmission Control Protocol) and 'c. UDP' (User Datagram Protocol) are transport layer (layer 4) protocols, while 'b. Ethernet' is a technology that operates at the data link layer (layer 2) and physical layer (layer 1).","['https://en.wikipedia.org/wiki/Internet_protocol_suite', 'https://en.wikipedia.org/wiki/Internet_Protocol', 'https://en.wikipedia.org/wiki/Transmission_Control_Protocol', 'https://en.wikipedia.org/wiki/User_Datagram_Protocol', 'https://en.wikipedia.org/wiki/Ethernet']",1,1_basics_computer_networking,1.0,1.0,1.0
2,Which of these is an example of something that works on the application layer (layer 5 of the five-layer TCP/IP model)?,"a. An ethernet cable
b. A router
c. UDP
d. A browser
",,d,d,,"In the five-layer TCP/IP model, the application layer is the topmost layer, which provides protocols that applications use to communicate over the network. A browser is an application that allows users to access and interact with websites on the internet, thus it operates at the application layer. Let's evaluate each choice:

a. An ethernet cable is a physical layer component used to connect devices on a network, not an application layer element.
b. A router operates at the network layer, which is responsible for routing packets across different networks.
c. UDP (User Datagram Protocol) is a transport layer protocol, which is below the application layer in the TCP/IP model.
d. A browser, as explained, works at the application layer, interacting with web protocols like HTTP and HTTPS to display web content to users.","['https://www.ietf.org/', 'https://en.wikipedia.org/wiki/TCP/IP_model', 'https://en.wikipedia.org/wiki/Web_browser']",1,1_basics_computer_networking,1.0,0.9999992103693116,1.0
3,Which layer of the five layer TCP/IP model deals with cabling and connectors?,"a. The application layer
b. The physical layer
c. The transport layer
d. The network layer
",,b,b,,"In the five-layer TCP/IP model (also applicable to the seven-layer OSI model), the physical layer is responsible for the transmission and reception of unstructured raw data between a device and a physical transmission medium. It includes the layout of pins, voltages, cable specifications, hubs, repeaters, network adapters, host bus adapters (HBA used in storage area networks) and more. It deals with cabling, connectors, and the electrical or optical signaling techniques, including the physical network topology. The other layers mentioned do not deal directly with physical connectivity.","['https://en.wikipedia.org/wiki/Internet_protocol_suite', 'https://en.wikipedia.org/wiki/Physical_layer', 'https://en.wikipedia.org/wiki/OSI_model']",1,1_basics_computer_networking,1.0,0.9999995679800934,1.0
4,Which level of the TCP/IP five-layer model does a router operate on?,"a. The network layer
b. The application layer
c. The transport layer
d. The data link layer
",,a,a,,"A router functions at the network layer of the TCP/IP model. The network layer is responsible for determining the path that data packets should take based on logical addressing (IP addresses). Routers use this information to forward packets between different networks. The application layer is where network applications operate, the transport layer handles end-to-end communication, and the data link layer is responsible for node-to-node communication and physical addressing (MAC addresses).","['https://www.cisco.com/c/en/us/solutions/enterprise/design-zone-networking/index.html', 'https://www.ietf.org/rfc/rfc1122.txt']",1,1_basics_computer_networking,1.0,0.9999995679800934,1.0
5,On which layer are Ethernet standards and some wireless technologies operating?,"a. The network layer
b. The data link layer
c. The physical layer
d. The transport layer
",,b,"b,c",,"Ethernet standards operate primarily on two layers of the OSI model: the data link layer and the physical layer. The data link layer (Layer 2) is responsible for node-to-node data transfer and error detection and handling. It includes the Ethernet protocol, which defines how network devices can format data for transmission to other network devices on the same network segment. The physical layer (Layer 1) defines the electrical, optical, or wireless transmission of raw bits over a physical medium. It includes specifications for cables, switches, and other hardware. Wireless technologies also operate at these two layers, with the physical layer defining the radio frequency transmission and the data link layer handling communication between devices. The network layer (Layer 3) is responsible for logical addressing and routing, while the transport layer (Layer 4) is responsible for end-to-end communication and reliability, neither of which are directly related to Ethernet or the physical aspects of wireless technologies.","['https://en.wikipedia.org/wiki/Ethernet', 'https://en.wikipedia.org/wiki/Physical_layer', 'https://en.wikipedia.org/wiki/Data_link_layer']",0,1_basics_computer_networking,1.0,0.9999962302846054,0.5
6,Which of these allows connections from many devices and inspects the contents of ethernet protocol data?,"a. A cable
b. A switch
c. A hub
d. A collision domain
",,b,b,,"A switch is a networking device that connects multiple devices together on a computer network. Switches operate at the data link layer (Layer 2) of the OSI model and use MAC addresses to forward Ethernet frames. Unlike a hub, which simply repeats the signals to all ports, a switch inspects the contents of the Ethernet frames, which includes the MAC addresses, to determine which port to send the frame to. This allows for more efficient use of bandwidth and reduces collisions. A cable is simply a medium for transmitting data and does not inspect the contents. A hub also does not inspect the contents; it broadcasts the data to all connected devices. A collision domain is a network segment where data packets can 'collide' with one another when being sent on a shared medium, which is a characteristic of networks with hubs, not a device that inspects Ethernet protocol data.","['https://en.wikipedia.org/wiki/Network_switch', 'https://www.cisco.com/c/en/us/support/docs/smb/switches/cisco-small-business-200-series-smart-switches/smb5534-how-do-switches-manage-collisions-and-broadcast-or-multicast-tr.html']",1,1_basics_computer_networking,1.0,0.9999981375378344,1.0
7,What does LAN stand for?,"a. Locally available network
b. Local area network
c. Little area network
d. Large area network
",,b,b,,"LAN stands for Local Area Network. It is a computer network that interconnects computers within a limited area such as a residence, school, laboratory, university campus, or office building. The other options are not commonly recognized acronyms in computer networking.",['https://en.wikipedia.org/wiki/Local_area_network'],1,1_basics_computer_networking,1.0,1.0,1.0
8,What's a router?,"a. A physical layer device that prevents crosstalk
b. A device that knows how to forward data between independent networks.
c. A more advanced version of a switch
d. A physical layer device that allows connections for many computers at once
",,b,b,,"A router is a device used in networking to forward data packets between computer networks. Routers perform the traffic directing functions on the Internet. Data sent through the internet, such as a web page or email, is in the form of data packets. A router is connected to at least two networks and decides which way to send each data packet based on its current understanding of the state of the networks it is connected to. Option 'b' is the correct choice because it accurately describes the primary function of a router. Options 'a' and 'd' are incorrect because they describe functions related to the physical layer, which is not the layer at which routers operate; routers work at the network layer. Option 'c' is incorrect because a router and a switch operate at different layers of the OSI model, with switches typically working at the data link layer and routers at the network layer. Routers are not simply 'more advanced switches'; they have different functions.",['https://en.wikipedia.org/wiki/Router_(computing)'],1,1_basics_computer_networking,1.0,0.9999996871837188,1.0
9,Which of these is a server?,"a. Something providing data to something requesting the data
b. A device operating on the data link layer that connects many devices together and inspects ethernet protocol data
c. A device that forwards data between multiple networks
d. Something receiving data from something providing data
",,a,a,,"A server is generally any system or process that provides data, services, or resources to other systems or processes, known as clients. This fits the description of choice (a), which defines a server as something providing data to something requesting the data. Choices (b) and (c) describe a network switch and a router, respectively, which operate at the data link layer and network layer to connect devices and forward data across networks, but they are not servers in the traditional sense. Choice (d) describes a client, which is the recipient of the server's data.","['https://en.wikipedia.org/wiki/Server_(computing)', 'https://en.wikipedia.org/wiki/Network_switch', 'https://en.wikipedia.org/wiki/Router_(computing)']",1,1_basics_computer_networking,1.0,0.999997541520822,1.0
10,What kind of wiring is in cables that communicate in voltage changes that are received by the receiving device as ones and zeros?,"a. Aluminum
b. Fiber
c. Copper
d. Gold
",,c,c,,"Copper wiring in cables is commonly used for electrical signal transmission, where voltage changes are interpreted as binary data (ones and zeros) by the receiving device. This is the principle behind traditional Ethernet cables (such as Cat5, Cat6), which use copper wires to transmit data. Aluminum and gold are also conductive materials, but they are less commonly used for standard data transmission cables; aluminum is less conductive than copper and is more prone to oxidation, while gold is often used for plating connectors due to its resistance to corrosion but not typically for the actual wires inside the cable. Fiber cables, on the other hand, use light to transmit data and do not rely on voltage changes; they are made of glass or plastic fibers.","['https://en.wikipedia.org/wiki/Copper_conductor', 'https://en.wikipedia.org/wiki/Optical_fiber', 'https://en.wikipedia.org/wiki/Electrical_cable']",1,1_basics_computer_networking,0.95,0.9999957534720164,1.0
