Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
46,What transport layer protocol does DNS normally use?,"a. UDP
b. ICMP
c. TCP
d. IP
",,a,"a,c",,"The Domain Name System (DNS) primarily uses two transport layer protocols: UDP (User Datagram Protocol) and TCP (Transmission Control Protocol). By default, DNS queries are usually sent using UDP on port 53 because it is faster and requires no connection setup. However, if the response data size exceeds 512 bytes or for tasks such as zone transfers (AXFR), DNS will use TCP, which provides reliable data transmission.","['https://www.rfc-editor.org/rfc/rfc1035', 'https://www.ietf.org/rfc/rfc5966.txt']",0,4_networking_serices,0.95,0.999999448776502,0.5
47,A DNS TTL determines what?,"a. How far away a DNS can be from you.
b. How many steps there are in the resolution process.
c. How long a DNS entry is allowed to be cached.
d. How many DNS resolutions can take place before the IP has to change.
",,c,c,,"The DNS TTL (Time to Live) is a setting in the DNS record that specifies the duration for which a DNS entry can be cached by a DNS resolver or client device before it must be discarded or refreshed. It does not relate to the physical distance of a DNS server (a), the number of steps in the resolution process (b), or the number of resolutions before an IP has to change (d).","['https://www.cloudflare.com/learning/dns/what-is-dns-ttl/', 'https://en.wikipedia.org/wiki/Time_to_live#DNS_records']",1,4_networking_serices,1.0,1.0,1.0
48,How many root servers are there?,"a. 13
b. 16
c. 17
d. 8
",,a,a,,"There are 13 root servers in the Domain Name System (DNS), identified by the letters A through M. These root servers are a critical part of the internet infrastructure, as they are the first step in translating human-readable domain names into IP addresses that computers use to identify each other on the network. Despite there being 13 root servers, there are many more physical servers, as each root server identifier (A-M) corresponds to a network of replicated servers around the world using anycast addressing to provide a distributed service.","['https://www.iana.org/domains/root/servers', 'https://en.wikipedia.org/wiki/Root_name_server']",1,4_networking_serices,1.0,0.9999998063873689,1.0
49,Which of the following are benefits of using Domain Name Resolution (DNS)? (Select all that apply.),"a. Small routing tables.
b. Allows administrative changes to happen seamlessly.
c. Easier for humans to remember website names.
d. Easy for the node to find the network ID.
",,"b,c","b,c",,"Domain Name System (DNS) is the hierarchical and decentralized naming system used to identify computers, services, and other resources reachable through the Internet or other IP networks. It translates more readily memorized domain names to the numerical IP addresses needed for locating and identifying computer services and devices with the underlying network protocols. Here are the evaluations for each choice provided:

a. Small routing tables - DNS does not directly affect the size of routing tables. Routing tables are used by routers to make forwarding decisions and are related to the network layer, while DNS operates at the application layer.

b. Allows administrative changes to happen seamlessly - DNS allows administrators to change the IP addresses of servers without affecting the end-users who use domain names. Users continue to use the same domain names they always have, and DNS resolves these to the new IP addresses.

c. Easier for humans to remember website names - DNS translates numerical IP addresses into human-readable domain names, which are indeed easier for humans to remember.

d. Easy for the node to find the network ID - DNS does not involve finding the network ID. It resolves domain names to IP addresses. Network IDs are part of subnetting and are related to the network layer of the OSI model.","['https://en.wikipedia.org/wiki/Domain_Name_System', 'https://www.cloudflare.com/learning/dns/what-is-dns/', 'https://www.cisco.com/c/en/us/support/docs/ip/domain-name-system-dns/24182-revdom.html']",1,4_networking_serices,0.95,0.9999971839107652,1.0
50,The process of using DNS to turn a domain name into an IP address is known as_________.,"a. name resolution
b. IP addresses
c. ARP table lookup
d. DNS server
",,a,a,,"The process of converting a domain name into its corresponding IP address is known as name resolution. This is typically done using the Domain Name System (DNS), which acts like a phonebook for the internet. When you type a domain name into your browser, DNS servers take that domain name and translate it into an IP address so your browser can load the appropriate website. Choices 'b' and 'd' are related to DNS but do not describe the process of converting a domain name to an IP address. An ARP table lookup, choice 'c', is used to map IP addresses to MAC addresses within a local network, which is a different process.","['https://www.cloudflare.com/learning/dns/what-is-dns/', 'https://www.cisco.com/c/en/us/support/docs/ip/domain-name-system-dns/24182-reversedns.html']",1,4_networking_serices,1.0,1.0,1.0
51,An A Record contains what?,"a. An IPv4 address
b. A CNAME
c. An SOA
d. An IPv6 address
",,a,a,,"An A Record (Address Record) in DNS (Domain Name System) maps a domain name to an IPv4 address of the computer hosting the domain. It is used for translating human-friendly domain names into IP addresses which computers use to identify each other on the network. Here's the evaluation of each choice:

a. An IPv4 address - Correct. This is what an A Record contains.
b. A CNAME - Incorrect. A CNAME (Canonical Name) record maps an alias name to a true or canonical domain name.
c. An SOA - Incorrect. An SOA (Start of Authority) record provides information about a DNS zone and other DNS records.
d. An IPv6 address - Incorrect. An IPv6 address is stored in a AAAA Record, not an A Record.","['https://www.cloudflare.com/learning/dns/dns-records/dns-a-record/', 'https://en.wikipedia.org/wiki/List_of_DNS_record_types']",1,4_networking_serices,1.0,1.0,1.0
52,MX stands for ________.,"a. Micro exchange
b. Meta exchange
c. Micro extreme
d. Mail exchange
",,d,d,,MX stands for Mail Exchange. MX records are DNS records that are necessary for delivering email to your address. They specify the mail server responsible for accepting email messages on behalf of a domain name.,['https://en.wikipedia.org/wiki/MX_record'],1,4_networking_serices,1.0,1.0,1.0
53,A fully qualified domain name can contain how many characters?,"a. 63
b. 64
c. 255
d. 127
",,c,c,,"A fully qualified domain name (FQDN) can contain up to 255 characters. This includes the domain name, subdomains, and a trailing dot that represents the root level of the DNS hierarchy. Each label (the part between the dots) can be up to 63 characters long, but the full domain name, including all labels and separators, should not exceed 255 characters.",['https://www.rfc-editor.org/rfc/rfc1035'],1,4_networking_serices,1.0,0.999961661949922,1.0
54,What technique is used to balance traffic across multiple IPs for the same domain?,"a. Cycling records
b. CNAME
c. Quad A record
d. Round robin
",,d,d,,"Round robin is a simple load balancing technique used by DNS servers to share and distribute network traffic across multiple servers. When a DNS server uses round robin, it rotates the order of IP addresses in the DNS response for each new request. This means that if there are multiple IP addresses associated with a single domain name, the DNS server will alternate which IP address it provides to clients, effectively distributing the incoming requests among the different servers. This can help balance the load and improve the overall responsiveness of a system. Options 'a', 'b', and 'c' do not describe techniques for balancing traffic across multiple IPs for the same domain. 'Cycling records' is not a standard term in DNS, 'CNAME' is an alias for a domain, not a load balancing technique, and 'Quad A record' (AAAA) is simply an IPv6 address record, not a load balancing technique.","['https://en.wikipedia.org/wiki/Round-robin_DNS', 'https://www.cloudflare.com/learning/dns/glossary/round-robin-dns/']",1,4_networking_serices,0.95,0.9959824085021024,1.0
55,Which of the following are part of a Zone File? (select all that apply),"a. A Record
b. SOA
c. FQDN
d. NS record
",,"a,b,d","a,b,d",,"A Zone File is a file that contains mappings between domain names and IP addresses and is a critical component of the Domain Name System (DNS). An A Record (a) maps a domain name to its corresponding IPv4 address. The SOA (Start of Authority) record (b) contains administrative information about the zone, such as the primary name server, email of the domain administrator, domain serial number, and other important data. The NS record (d) specifies the name servers for the domain, which are authoritative for the zone. The FQDN (Fully Qualified Domain Name) (c) is the complete domain name for a specific computer, or host, on the Internet, but it is not a part of the zone file itself; rather, it is the type of name that is used within zone file records.","['https://www.iana.org/help/naming-authority', 'https://en.wikipedia.org/wiki/Zone_file', 'https://en.wikipedia.org/wiki/List_of_DNS_record_types']",1,4_networking_serices,1.0,0.9922779031069524,1.0
