Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
71,"Another term for POTS, or Plain Old Telephone Service, is _______________.","a. Public Available Telephone Exchange
b. Phone Switched Transport Network
c. Public Available Telephone Network
d. Public Switched Telephone Network
e. Public Switched Telephone Exchange
",,d,d,,"POTS stands for Plain Old Telephone Service, which is the voice-grade telephone service that remains the basic form of residential and small business service connection to the telephone network in most parts of the world. The correct term that is synonymous with POTS is 'Public Switched Telephone Network' (PSTN). PSTN refers to the international telephone system based on copper wires carrying analog voice data. This is the system that has been in use in various forms since the late 1800s, making it 'plain' or 'old.' The other options do not accurately represent the term POTS.","['https://en.wikipedia.org/wiki/Plain_old_telephone_service', 'https://en.wikipedia.org/wiki/Public_switched_telephone_network']",1,5_connecting_to_the_internet,1.0,0.9999957534720164,1.0
72,A baud rate is a measurement of the number of ______________________.,"a. bytes that can be sent across a telephone line every minute
b. bytes that can be sent across a telephone line every second
c. bits that can be sent across a telephone line every second
d. bits that can be sent across a telephone line every minute
",,c,c,,"Baud rate is a measure of how many signal changes or symbols are transmitted per second. It is often used interchangeably with bits per second (bps), although they are not always the same. One baud represents one signal change per second, and if each signal change can carry one bit of information, then the baud rate and bit rate are equivalent. Therefore, the correct answer is the number of bits that can be sent across a telephone line every second.","['https://en.wikipedia.org/wiki/Baud', 'https://www.britannica.com/technology/baud']",1,5_connecting_to_the_internet,0.95,0.9999993295729248,1.0
73,What system did Duke grads build that is still in use today?,"a. PSTN
b. POTS
c. DSL
d. USENET
",,d,d,,"USENET, which stands for Users Network, is a system that Duke University graduates Tom Truscott and Jim Ellis conceived in 1979. It was established as a bulletin board system that allowed users to read and post messages to various newsgroups. Although it has been largely superseded by modern internet forums, web-based services, and social media, USENET is still in use today as a part of the Internet for discussion and file sharing. The other options, PSTN (Public Switched Telephone Network), POTS (Plain Old Telephone Service), and DSL (Digital Subscriber Line), are all telecommunications technologies that were not specifically developed by Duke University graduates.","['https://en.wikipedia.org/wiki/Usenet', 'https://en.wikipedia.org/wiki/Tom_Truscott', 'https://en.wikipedia.org/wiki/Jim_Ellis_(Usenet)']",1,5_connecting_to_the_internet,0.95,0.9999998063873689,1.0
74,Which device is used to transfer data across a dial-up connection?,"a. USENET
b. Modem
c. Ethernet cables
d. ATM
",,b,b,,"A modem (short for modulator-demodulator) is a hardware device that converts data into a format suitable for a transmission medium so that it can be transmitted from one computer to another. For dial-up connections, a modem converts the digital data from a computer into analog signals that can be transmitted over telephone lines and then converts incoming analog signals back into digital data for the computer. The other options provided do not serve this purpose: USENET is a distributed discussion system; Ethernet cables are used for local area networking and are not used to modulate or demodulate signals for dial-up connections; ATM (Asynchronous Transfer Mode) is a telecommunications standard for data transmission and does not directly pertain to the transferring of data across a dial-up connection.","['https://en.wikipedia.org/wiki/Modem', 'https://en.wikipedia.org/wiki/Dial-up_Internet_access', 'https://en.wikipedia.org/wiki/USENET', 'https://en.wikipedia.org/wiki/Ethernet_physical_layer', 'https://en.wikipedia.org/wiki/Asynchronous_Transfer_Mode']",1,5_connecting_to_the_internet,1.0,1.0,1.0
75,Modems take data that computers can understand and turn them into _____ that can be transmitted over POTS.,"a. Modulating electrical charges
b. PSTN
c. Audible wavelengths
d. Baud rates
",,c,c,,"Modems (modulator-demodulator) convert digital data from a computer into an analog signal that can be transmitted over traditional phone lines, known as Plain Old Telephone Service (POTS). This analog signal is often in the form of audible tones or wavelengths that can travel through the voice-grade telephone lines. Option 'a' is incorrect because it's not specific to the transmission form over POTS. 'b' refers to the Public Switched Telephone Network, which is the network of the world's public circuit-switched telephone networks, not the form of the signal. 'd' refers to baud rates, which are units of signaling speed in symbols per second, not the form of the data transmission.","['https://en.wikipedia.org/wiki/Modem', 'https://en.wikipedia.org/wiki/Plain_old_telephone_service']",1,5_connecting_to_the_internet,1.0,0.9735888711426722,1.0
76,T1 is short for __________.,"a. Transportation System 1
b. Transmission 1
c. Transmission System 1
d. Transportation 1
",,c,c,,"T1 stands for Transmission System 1, which is a standard for digital transmission in North America. T1 lines are a popular leased line option for businesses connecting to the Internet and for Internet Service Providers (ISPs) connecting to the Internet backbone. It has a data rate of 1.544 Mbps.","['https://searchnetworking.techtarget.com/definition/T-carrier-system', 'https://en.wikipedia.org/wiki/T-carrier']",1,5_connecting_to_the_internet,1.0,0.9986020484458872,1.0
77,How fast is a T1 line?,"a. 44.763 Mb/sec
b. 128 Mb/sec
c. 1 Mb/sec
d. 1.544 Mb/sec
",,d,d,,A T1 line is a type of data transmission service that can carry data at a rate of 1.544 megabits per second (Mb/sec). It is a standard for telecommunications in North America and is widely used for Internet access or private data networks. The other options listed do not correspond to the speed of a T1 line.,"['https://en.wikipedia.org/wiki/T-carrier', 'https://www.techtarget.com/searchnetworking/definition/T1-carrier']",1,5_connecting_to_the_internet,1.0,1.0,1.0
78,Select all statements that are true of cable internet connections.,"a. They're shared bandwidth connections
b. They're dial-up connections
c. They're broadband connections
d. They're wireless connections
",,"a,c","a,c",,"Cable Internet connections are a type of broadband Internet service which use the same infrastructure as cable television. They provide high-speed Internet access and are indeed considered broadband due to their high data transmission speeds. Cable connections are known for being shared bandwidth connections, meaning that the bandwidth is shared among users in a locality, which can lead to congestion and reduced speeds during peak usage times. They are not dial-up connections, which are an older technology that uses telephone lines for Internet connectivity and offers much lower speeds. Cable Internet is also not inherently wireless; it requires a physical coaxial cable to connect to the network, although a wireless router can be connected to a cable modem to provide wireless access within a home or business.","['https://en.wikipedia.org/wiki/Cable_Internet_access', 'https://www.fcc.gov/consumers/guides/broadband-speed-guide']",1,5_connecting_to_the_internet,1.0,1.0,1.0
79,What are the subprotocols for PPP (Point to Point Protocol)? Select all that apply.,"a. LCP
b. Compression
c. FCS
d. NCP
",,"a,d","a,d",,"PPP (Point-to-Point Protocol) is a data link layer communication protocol used to establish a direct connection between two nodes. It can provide connection authentication, transmission encryption (using ECP, RFC 1968), and compression. PPP is composed of three main components: LCP (Link Control Protocol), NCP (Network Control Protocols), and a family of Network Protocols. LCP is used to establish, configure, and test the data-link connection. NCP is used to allow multiple network layer protocols to be used on the PPP link. 'Compression' is not a subprotocol but a feature that can be negotiated by PPP using its control protocols. FCS (Frame Check Sequence) is part of the PPP frame structure for error checking, not a subprotocol.","['https://www.rfc-editor.org/rfc/rfc1661', 'https://en.wikipedia.org/wiki/Point-to-Point_Protocol']",1,5_connecting_to_the_internet,0.95,0.6148419967732468,1.0
80,What do you call the demarcation point for fiber technologies?,"a. ONT
b. FTTN
c. DSLAM
d. FTTX
",,a,a,,"The demarcation point for fiber technologies is known as the Optical Network Terminal (ONT). The ONT is a device typically located at the customer's premises that converts the optical signal transmitted via fiber into electrical signals that can be used by the end user's equipment. FTTN (Fiber to the Node) and FTTX (Fiber to the X) are terms used to describe the extent of fiber optic reach in a network, not the demarcation point. DSLAM (Digital Subscriber Line Access Multiplexer) is a device used in copper-line (DSL) networks to multiplex multiple subscriber lines onto a single high-capacity link, and is not specifically related to fiber technologies.","['https://en.wikipedia.org/wiki/Optical_Network_Terminal', 'https://en.wikipedia.org/wiki/Fiber_to_the_x', 'https://en.wikipedia.org/wiki/Digital_subscriber_line_access_multiplexer']",1,5_connecting_to_the_internet,0.95,0.9999645227323332,1.0
