Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
28,A Layer 2 switch configuration places all its physical ports into VLAN 2. The IP addressing plan shows that address 175.28.1.150 (with mask 255.255.255.0) is reserved for use by this new LAN switch and that 175.28.1.254 is already configured on the router connected to that same VLAN. The switch needs to support SSH connections into the switch from any subnet in the network. Which of the following commands are part of the required configuration in this case? (Choose two answers.),"a. The ip default-gateway 175.28.1.254 command in global configuration mode.
b. The ip address 175.28.1.150 255.255.255.0 command in interface vlan 2 configuration mode.
c. The ip address 172.16.2.250 255.255.255.0 command in interface vlan 1 configuration mode.
d. The ip default-gateway 175.28.1.150 command in global configuration mode.
e. The switch cannot support SSH because all its ports connect to VLAN 2, and the IP address must be configured on interface VLAN 1.
",,"a,b","a,b",,"The correct commands for this scenario are:

a. The ip default-gateway 175.28.1.254 command in global configuration mode: This command sets the default gateway for the switch to be the router's IP address, allowing the switch to reach devices in other subnets.

b. The ip address 175.28.1.150 255.255.255.0 command in interface vlan 2 configuration mode: This command assigns the IP address and subnet mask to the VLAN 2 interface, enabling the switch to be reachable within the network for SSH connections.",[],1,chapter2_ethernet_lans,0.9,0.8883965711600667,1.0
33,"You have been tasked to configure the IPv4 address on the switch only on the VLAN 1 following the details below.
Configuration details:
IP address: 199.255.240.100
Subnet mask: 255.255.255.0
Default gateway: 199.255.240.1
Which of the following commands will you type to complete the task?","a. Examsdigest#(config)# interface vlan 1
Examsdigest#(config-line)# ip address 199.255.241.100 255.255.255.0
Examsdigest#(config-line)# no shutdown
Examsdigest#(config-line)# end
Examsdigest#(config)# ip default-gateway 199.255.240.1
b. Examsdigest#(config)# interface vlan 1
Examsdigest#(config-line)# ip address 199.255.240.100 255.255.0.0
Examsdigest#(config-line)# no shutdown
Examsdigest#(config-line)# end
Examsdigest#(config)# ip default-gateway 199.255.240.1
c. Examsdigest#(config)# interface vlan 11
Examsdigest#(config-line)# ip address 199.255.240.100 255.255.255.0
Examsdigest#(config-line)# no shutdown
Examsdigest#(config-line)# end
Examsdigest#(config)# ip default-gateway 199.255.240.1
d. Examsdigest#(config)# interface vlan 1
Examsdigest#(config-line)# ip address 199.255.240.100 255.255.255.0
Examsdigest#(config-line)# no shutdown
Examsdigest#(config-line)# end
Examsdigest#(config)# ip default-gateway 199.255.240.1
",,d,d,,"The correct command sequence to configure the IPv4 address on the switch for VLAN 1 is to enter interface configuration mode for VLAN 1 using the 'interface vlan 1' command, set the IP address and subnet mask using the 'ip address 199.255.240.100 255.255.255.0' command, ensure the interface is not shut down with the 'no shutdown' command, exit to global configuration mode, and finally set the default gateway using the 'ip default-gateway 199.255.240.1' command. Option 'd' correctly follows this sequence.",[],1,chapter2_ethernet_lans,0.95,0.8605953085187027,1.0
35,"Which of the following command will you type to produce the output below?
""Vlan1 is up, line protocol is up
Hardware is EtherSVI, address is 0023.e21b.4cc0 (bia 0023.e21b.4cc0)
Internet address is 192.168.1.101/24
MTU 1500 bytes, BW 1000000 Kbit, DLY 10 usec, reliability 255/255, txload 1/255, rxload 1/255""","a. show vlan 1
b. show interfaces vlans
c. show interfaces
d. show interfaces vlan 1
",,d,d,,"The correct command to produce the given output is 'show interfaces vlan 1'. This command specifically displays information about VLAN interfaces. Option a ('show vlan 1') is used to display information about VLANs configured on the switch. Option b ('show interfaces vlans') is not a valid command. Option c ('show interfaces') displays information about all interfaces on the switch, but to get details about a specific VLAN interface, the correct syntax includes specifying the VLAN number as in option d.",[],1,chapter2_ethernet_lans,0.9,0.9969399921967962,1.0
91,Which of the following have examples of parallel composition? Select all that apply.,"a. Load balance traffic across multiple destination IP addresses and perform routing to the resulting destination IP addresses.
b. Count all port 80 traffic.
c. Perform MAC learning on all traffic that is not blocked by a firewall rule.
d. Perform load balancing on any traffic that arrives from prefix 130.207.0.0/16 or is destined to port 80.
e. Block all traffic whose source IP address is contained in a list of blocked IP addresses.
",,"b,d,e","a,d",,Parallel composition involves splitting traffic and handling it independently before merging it back together. Options a and d both describe scenarios where traffic is split based on certain criteria (destination IP addresses in option a and traffic from specific prefixes or destined to specific ports in option d) and then processed independently (load balancing) before being routed or forwarded accordingly. These examples demonstrate parallel composition.,[],0,12_programming_SDNs,0.9,0.9996405424203618,0.0
92,Which of the following is the appropriate Pyretic rule for matching traffic that sends packets from either 10.0.0.1 or 10.0.0.2 to IP address 1.2.3.4?,"a. (match(srcip=10.0.0.1) + match(srcip=10.0.0.2)) >> mod(dstip=1.2.3.4)
b. (match(srcip=10.0.0.1) >> (match(srcip=10.0.0.2) >> mod(dstip=1.2.3.4))
c. (match(srcip=10.0.0.1) >> match(srcip=10.0.0.2)) >> mod(dstip=1.2.3.4)
d. (match(srcip=10.0.0.1) + match(srcip=10.0.0.2)) + mod(dstip=1.2.3.4)
e. (match(srcip=10.0.0.1) >> match(srcip=10.0.0.2)) + mod(dstip=1.2.3.4)
",,a,a,,"The correct Pyretic rule for matching traffic that sends packets from either 10.0.0.1 or 10.0.0.2 to IP address 1.2.3.4 is to use the logical OR operation with the '+' operator to match either of the source IP addresses, followed by the '>>' operator to modify the destination IP address. Option 'a' correctly follows this logic by combining two match conditions for source IP addresses (10.0.0.1 and 10.0.0.2) using the '+' operator and then applying the modification of the destination IP address using the '>>' operator.",[],1,12_programming_SDNs,0.95,0.6624379605231749,1.0
93,Which of the following is the appropiate Pyretic rule for sending traffic from source IP address 10.0.0.1 to destination IP address 10.1.2.3 and traffic from source IP address 10.0.0.2 to destination IP address 10.2.3.4?,"a. (match(srcip=10.0.0.1) >> mod(dstip=10.1.2.3)) & (match(srcip=10.0.0.2)  >> mod(dstip=10.2.3.4))
b. (match(srcip=10.0.0.1) >> mod(dstip=10.1.2.3)) >> (match(srcip=10.0.0.2) >>mod(dstip=10.2.3.4))
c. (match(srcip=10.0.0.1) + mod(dstip=10.1.2.3)) >> (match(srcip=10.0.0.2) + mod(dstip=10.2.3.4))
d. (match(srcip=10.0.0.1) >> mod(dstip=10.1.2.3)) + (match(srcip=10.0.0.2) >> mod(dstip=10.2.3.4))
e. (match(srcip=10.0.0.1) + mod(dstip=10.1.2.3)) + (match(srcip=10.0.0.2)  + mod(dstip=10.2.3.4))
",,d,a,,The appropriate Pyretic rule for sending traffic from source IP address 10.0.0.1 to destination IP address 10.1.2.3 and traffic from source IP address 10.0.0.2 to destination IP address 10.2.3.4 should be structured as separate match and modify operations for each pair of IP addresses. Option 'a' correctly matches the source IP addresses and modifies the destination IP addresses for both cases individually.,[],0,12_programming_SDNs,0.9,0.9991555885861422,0.1999999999999999
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
",,c,"a,c",,"The correct commands to configure port security on interface FastEthernet0/1 of SW-examsD to accept frames only from the MAC address 0200.1111.2222 are as follows:
- SW-examsD#configure terminal
- SW-examsD(config)#interface FastEthernet0/1
- SW-examsD(config-if)#switchport mode access
- SW-examsD(config-if)#switchport port-security
- SW-examsD(config-if)#switchport port-security mac-address 0200.1111.2222
Option a includes the correct sequence of commands to achieve the required configuration. Option c also includes the necessary commands but specifies the correct MAC address to be allowed.",[],0,chapter8_security_fundamentals,0.9,0.5273892154485609,0.5
64,Given the following IP address - 20.54.23.3 and subnet mask - 255.255.255.0 choose the subnet ID and the broadcast address from that particular IP.,"a. Subnet ID: 20.54.0.0
Broadcast Address: 20.54.0.255
b. Subnet ID: 20.54.0.0
Broadcast Address: 20.54.255.255
c. Subnet ID: 20.54.23.0
Broadcast Address: 20.54.23.255
d. Subnet ID: 20.54.23.1
Broadcast Address: 20.54.23.255
",,c,"a,b",,"The given IP address is 20.54.23.3 with a subnet mask of 255.255.255.0. To find the subnet ID, you perform a bitwise AND operation between the IP address and the subnet mask. Subnet ID is calculated as (IP address) AND (Subnet mask). Subnet ID = 20.54.23.0. To find the broadcast address, you invert the subnet mask and perform a bitwise OR operation with the subnet ID. Broadcast Address = (Subnet ID) OR (inverse of Subnet mask). Broadcast Address = 20.54.0.255. Therefore, the correct options are a and b.",[],0,chapter4_advanced_ipv4_addressing,0.9,0.374168147633925,0.0
65,The converted binary mask 11111111.11111111.11000000.00000000 to decimal is _______________.,"a. 255.255.192.0
b. 255.192.0.0
c. 255.255.64.0
d. 255.255.255.192
",,a,a,,"The converted binary mask 11111111.11111111.11000000.00000000 to decimal is 255.255.192.0. In this binary mask, the first 16 bits are all set to 1, representing 255 in decimal for each octet. The next 6 bits are set to 0, representing 192 in decimal. The remaining 10 bits are all 0s, representing 0 in decimal. Therefore, the correct decimal conversion is 255.255.192.0.",[],1,chapter4_advanced_ipv4_addressing,0.9,0.9994446182815526,1.0
66,The converted binary mask 11111111.11100000.00000000.00000000 to decimal is _______________.,"a. 255.255.255.224
b. 255.224.0.0
c. 255.64.0.0
d. 255.255.224.0
",,b,a,,"The converted binary mask 11111111.11100000.00000000.00000000 to decimal is 255.255.255.224. In this binary mask, the first 24 bits are all ones, representing 255.255.255 in the decimal format. The next 5 bits are zeros, representing 224 in the decimal format.",[],0,chapter4_advanced_ipv4_addressing,0.9,0.9995925283091476,0.0
