Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
1,Which form of NAT enables a firewall to selectively perform translations based on the destination address? Select one choice.,"a. static NAT
b. dynamic PAT
c. static PAT
d. policy NAT
e. dynamic NAT
",,d,d,,"Policy NAT allows a firewall to selectively perform translations based on various criteria such as source and destination addresses, ports, and protocols. It provides more flexibility in defining translation rules compared to other forms of NAT like static NAT, dynamic PAT, static PAT, or dynamic NAT.",['https://www.cisco.com/c/en/us/td/docs/security/asa/asa90/configuration/guide/asa_90_cli_config/nat_overview.html'],1,NetSec,0.95,0.9999992103693116,1.0
2,Which form of NAT uses port addresses to distinguish between translated sessions? Select one choice.,"a. static NAT
b. policy NAT
c. dynamic PAT
d. dynamic NAT
",,c,c,,Dynamic PAT (Port Address Translation) is a form of NAT (Network Address Translation) that maps multiple private IP addresses to a single public IP address by using different ports. It allows multiple devices on a local network to share a single public IP address while using unique port numbers to distinguish between the sessions. This method is commonly used to conserve public IP addresses.,['https://www.cisco.com/c/en/us/support/docs/ip/network-address-translation-nat/26704-nat-faq-00.html'],1,NetSec,1.0,0.999975250738268,1.0
3,"In an ACL, if a traffic flow is not explicitly permitted, once it has expired testing all the user-configured control entries in the list, the result will be:","a. The traffic will be implicitly permitted.
b. The traffic will be explicitly permitted.
c. The traffic will be explicitly denied.
d. The traffic will be implicitly denied.
",,d,d,,"If a traffic flow is not explicitly permitted or denied by any of the user-configured control entries in an Access Control List (ACL), the default behavior is to implicitly deny the traffic. This means that if the traffic does not match any permit statement in the ACL, it will be denied by default.",['https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html'],1,NetSec,1.0,0.9999907469518096,1.0
4,Which TCP flag must be set in a packet in order for the packet to match an ACL entry that contains the established keyword? Select one choice.,"a. SYN only
b. ACK only
c. RST only
d. SYN or ACK
e. ACK or RST
",,e,e,,"The 'established' option allows TCP traffic to pass if the packet is a reply to an outbound-initiated session. This option is specifically for inbound TCP traffic only. When the Access Control List (ACL) is applied, it checks the established flag to determine if a connection is already established. The router examines the flags in the packets that indicate established connections. Since both the ACK and RST flags indicate an established connection, the router can check for both flags. Thus, option e is correct.","['https://networklessons.com/uncategorized/extended-access-list-established', 'https://www.cisco.com/c/en/us/support/docs/ip/access-lists/26448-ACLsamples.html']",1,NetSec,1.0,0.9999776347571058,1.0
5,Which one of the following best describes the limitations of local AAA databases? Select one choice.,"a. Usernames, passwords, and credentials must be synchronized with a TACACS+/RADIUS server.
b. Scalability issues force network administrators to enter username credentials into each network device.
c. While they support accounting, they do not meet the requirements for large persistent storage.
d. Authorization policies that are created with local AAA databases cannot be synchronized and made available to all the devices across the network.
",,b,b,,"Option b is correct. Local AAA databases have limitations related to scalability, which can force network administrators to manually enter username credentials into each network device. This manual process can be cumbersome and inefficient, especially in large networks with many devices.",['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_usr_aaa/configuration/xe-16-6/sec-usr-aaa-xe-16-6-book/sec-local-aaa.html'],1,NetSec,0.9,0.9999893165220688,1.0
6,"What benefit does a web application firewall provide, in addition to the benefits provided by a traditional load balancer? Select one choice.","a. Protects any Layer 7 applications from malware
b. Protects web applications from common vulnerabilities and DDoS attacks
c. Protects the back-end database by acting as a reverse proxy between the web server and the back-end database
d. Protects the servers behind the WAF from attacks using Layer 3 and 4 firewall rules
",,b,b,,"A web application firewall (WAF) provides protection for web applications from common vulnerabilities and DDoS (Distributed Denial of Service) attacks by filtering and monitoring HTTP traffic between a web application and the Internet. It helps to identify and block malicious traffic that a traditional load balancer might not catch. While load balancers distribute incoming network traffic across multiple servers to prevent overload and ensure high availability, a WAF specifically focuses on protecting web applications from various cyber threats.","['https://www.cloudflare.com/learning/security/threats/web-application-firewall-waf/', 'https://www.imperva.com/learn/application-security/web-application-firewall-waf/']",1,NetSec,0.9,0.9999318626214566,1.0
7,What are four common algorithms that typical load balancers use to load balance the traffic? (Choose four.),"a. Round robin
b. Fewest connections
c. Least time
d. Weighted early random detection
e. Anomaly based
f. Hash
",,"a,b,c,f","a,b,c,f",,"The four common algorithms that typical load balancers use to load balance the traffic are: 
 a. Round robin - distributes traffic evenly in a cyclic manner to each server in the pool. 
 b. Fewest connections - directs traffic to the server with the fewest active connections. 
 c. Least time - sends traffic to the server with the least response time or latency. 
 f. Hash - uses a hash function to determine which server in the pool should receive the traffic based on specific criteria like source IP address or URL.",['https://avinetworks.com/glossary/load-balancing-algorithms/'],1,NetSec,1.0,0.9494382929326064,1.0
8,What three elements can be configured in firewall policies to detect network-based malware? (Choose three.),"a. Commonly used protocols
b. SHA-256 hashes
c. Metadata stored that is within the files
d. Commonly used rainbow hash tables
e. Access control lists (ACLs)
",,"a,b,c","a,b,c",,"The three elements that can be configured in firewall policies to detect network-based malware are: a. Commonly used protocols - to identify suspicious traffic patterns, b. SHA-256 hashes - to detect known malware signatures, and c. Metadata stored that is within the files - to analyze file characteristics for potential threats. Options d and e are not typically used for detecting network-based malware in firewall policies.",['https://www.paloaltonetworks.com/cyberpedia/what-is-a-firewall/firewall-policy'],1,NetSec,0.95,0.9954342394957352,1.0
9,What is the first step in centralized syslog management? Select one choice.,"a. Receive syslog messages from syslog clients that are distributed across the network and store those messages in a flat log file.
b. Present syslog data in the form of automated reports, dashboards, and real-time query responses.
c. Move messages from the flat log file to a high-performance relational database.
d. Process low-level data in the relational database to produce higher-level information constructs.
",,a,a,,The first step in centralized syslog management is to receive syslog messages from syslog clients distributed across the network and store those messages in a flat log file. This step involves collecting logs from various sources into a central location for easier management and analysis.,['https://www.solarwinds.com/topics/syslog-management'],1,NetSec,1.0,0.999944974213974,1.0
10,What must a host on an Ethernet network know about a destination to send an Ethernet frame to that destination? Select one choice.,"a. Receiving port number
b. IP address
c. MAC address
d. Window size
",,c,c,,A host on an Ethernet network must know the MAC address of the destination to send an Ethernet frame to that destination. MAC addresses are used in Ethernet networks to uniquely identify devices on the network. The MAC address is essential for the Ethernet frame to reach the correct destination device.,['https://www.geeksforgeeks.org/ethernet-frame-format/'],1,NetSec,1.0,0.9999946806438478,1.0
11,On which OSI layer or layers does ARP operate? Select one choice.,"a. Between Layer 2 and Layer 3
b. At Layer 2
c. At Layer 3
d. Between Layer 1 and Layer 2
",,a,b,,"ARP (Address Resolution Protocol) operates at Layer 2 of the OSI model. It is used to map an IP address to a MAC address within a local network. ARP requests and responses are encapsulated directly within the data link layer frames, making it a Layer 2 protocol.",['https://www.geeksforgeeks.org/address-resolution-protocol-arp/'],0,NetSec,1.0,0.9999907469518096,0.0
12,ARP messages are sent using which Ethertype designation in the frame header? Select one choice.,"a. 0x2100
b. 0x0800
c. 0x8100
d. 0x0806
",,d,d,,ARP (Address Resolution Protocol) messages are encapsulated within Ethernet frames and use an Ethertype value of 0x0806 in the frame header. This Ethertype value indicates that the payload of the frame is an ARP message.,['https://en.wikipedia.org/wiki/EtherType'],1,NetSec,1.0,0.9999634499379698,1.0
13,Which two higher-level protocols rely on TCP/IP and are susceptible to attacks such as session hijacking? (Choose two.),"a. ARP
b. HTTP
c. UDP
d. Telnet
e. ICMP
",,"b,d","b,d",,HTTP and Telnet are higher-level protocols that rely on TCP/IP and are susceptible to attacks such as session hijacking. Session hijacking involves taking over a user's session by stealing the session ID or other credentials to impersonate the user. Both HTTP and Telnet sessions can be hijacked if proper security measures are not in place.,['https://www.cloudflare.com/learning/security/threats/session-hijacking/'],1,NetSec,0.9,0.9966199976883982,1.0
