Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
179,"When APs are placed at different geographic locations, they can all be interconnected by a switched infrastructure. The 802.11 standard calls this an extended service set (ESS).","a. TRUE
b. FALSE
",,a,a,,"The statement is TRUE. When Access Points (APs) are placed at different geographic locations, they can be interconnected by a switched infrastructure, and this setup is referred to as an extended service set (ESS) in the 802.11 standard.",['https://www.cisco.com/c/en/us/td/docs/wireless/controller/technotes/8-6/b_Extended_Service_Set_Identifier.html'],1,chapter10_wireless_networks,0.9,0.9897575993256128,1.0
180,A lightweight access point in which one of the following architectures participate?,"a. Light-MAC
b. Tunnel-MAC
c. Big-MAC
d. Split-MAC
",,d,d,,"A lightweight access point participates in the Split-MAC architecture. In this architecture, the lightweight access point forwards all the wireless frames to the wireless LAN controller (WLC) for processing and management, unlike the autonomous access points that handle everything locally.",['https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Mobility/emob41dg/emob41dg-wrapper/ch7_Architectures.html'],1,chapter10_wireless_networks,0.95,0.9999918197754584,1.0
181,Which of the following controller ports is used to connect to a peer controller for high availability (HA) operation?,"a. Service port
b. Distribution system port
c. Redundancy port
d. Console port
",,c,c,,The Redundancy port is used to connect to a peer controller for high availability (HA) operation. This port is specifically designed for redundancy and failover purposes between controllers in an HA setup.,['https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/sw/7-x/ha/configuration/guide/b_Cisco_Nexus_9000_Series_NX-OS_High_Availability_and_Redundancy_Guide_7x/b_Cisco_Nexus_9000_Series_NX-OS_High_Availability_and_Redundancy_Guide_7x_chapter_010.html'],1,chapter10_wireless_networks,0.95,0.9980074484717272,1.0
182,Which of the following wireless security tools is used to protect the integrity of data in a wireless frame?,"a. MIC
b. WIPS
c. WEP
d. EAP
",,a,a,,MIC (Message Integrity Check) is used to protect the integrity of data in a wireless frame. It is a security feature in Wi-Fi Protected Access (WPA) and WPA2 that helps ensure that the data within the frame has not been tampered with during transmission.,['https://www.geeksforgeeks.org/message-integrity-check-mic-in-wifi/'],1,chapter10_wireless_networks,0.9,0.9999984951481324,1.0
183,Wi-Fi is based on ________________ IEEE standards.,"a. 802.2
b. 802.1
c. 802.12
d. 802.11
",,d,d,,Wi-Fi is based on IEEE 802.11 standards. These standards define the operation of wireless LANs and are responsible for the technology behind Wi-Fi networks.,['https://en.wikipedia.org/wiki/IEEE_802.11'],1,chapter10_wireless_networks,1.0,0.9999951574563252,1.0
184,Which of the following bridges can be used to provide wireless connectivity to a non-wireless device?,"a. Wireless repeater
b. Workgroup bridge
c. Transparent bridge
d. Adaptive bridge
",,b,b,,"The correct option is b. A workgroup bridge is a type of bridge that can provide wireless connectivity to non-wireless devices. It connects multiple wired network devices to a wireless network, allowing them to communicate wirelessly. This bridge essentially acts as a translator between wired and wireless devices, enabling seamless integration.",['https://www.cisco.com/c/en/us/td/docs/wireless/access_point/12-2_15_JA/configuration/guide/i12215sc/s15work.html'],1,chapter10_wireless_networks,0.9,0.999994919049908,1.0
185,Which controller interface type maps a WLAN to a VLAN?,"a. Management interface
b. Redundancy management
c. Virtual interface
d. Service port interface
e. Dynamic interface
",,e,c,,"The correct option is c. Virtual interface. In Software Defined Networking (SDN), a virtual interface is used to map a WLAN (Wireless Local Area Network) to a VLAN (Virtual Local Area Network). This mapping allows for the segmentation and isolation of traffic between different wireless networks and VLANs.",['https://www.cisco.com/c/en/us/td/docs/wireless/controller/8-10/config-guide/b_cg810/wlan_and_vlan_mapping.html'],0,chapter10_wireless_networks,0.9,0.9987324756883952,0.1999999999999999
186,Which is the most preferred and secure way of connecting to a WLC GUI to configure a new WLAN?,"a. SSH
b. HTTP
c. HTTPS
d. FTP
e. None of the above
",,c,c,,"The most preferred and secure way of connecting to a Wireless LAN Controller (WLC) GUI to configure a new WLAN is using HTTPS (Hypertext Transfer Protocol Secure). HTTPS provides encryption and secure identification of the network device, ensuring that the communication between the client and the WLC is encrypted and secure, protecting sensitive information during configuration. SSH (Secure Shell) is more commonly used for accessing the command-line interface of network devices rather than GUI. HTTP (Hypertext Transfer Protocol) is not secure as it transmits data in plain text. FTP (File Transfer Protocol) is also not recommended for accessing the WLC GUI due to security concerns.",['https://www.cisco.com/c/en/us/td/docs/wireless/controller/8-10/config-guide/b_cg810/wlc_810_cg_chapter_0100011.html'],1,chapter10_wireless_networks,0.95,0.9999992103693116,1.0
187,The maximum configurable number of WLANs on a controller is __________________.,"a. 5
b. 152
c. 251
d. 512
",,d,c,,The correct answer is c. The maximum configurable number of WLANs on a controller is 251. This limit is based on the capacity of the controller and the software version running on it.,['https://www.cisco.com/c/en/us/td/docs/wireless/controller/8-10/config-guide/b_cg810/wireless_lan_config_guide_810/wlan_fundamentals.html'],0,chapter10_wireless_networks,0.9,0.9999964686909352,0.0
188,Which of the following IEEE 802.11 Wi-Fi standards use the 5 GHz band? (Choose all that apply),"a. 802.11
b. 802.11b
c. 802.11g
d. 802.11a
e. 802.11n
f. 802.11ac
g. 802.11ax
",,"d,e,f,g","d,e,f,g",,"The IEEE 802.11 standards that use the 5 GHz band are 802.11a, 802.11n, 802.11ac, and 802.11ax. These standards operate in the 5 GHz frequency range, providing higher data rates and less interference compared to the 2.4 GHz band.",['https://www.lifewire.com/5-ghz-wifi-818186'],1,chapter10_wireless_networks,1.0,0.9032993122427624,1.0
