Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
1,Which of the following terms describe Ethernet addresses that can send one frame and is delivered to multiple devices on the LAN? (Choose two answers.),"a. Broadcast address
b. Multicast address
c. IP address
d. MAC address
e. Unicast address
",,"a,b","a,b",,"A broadcast address is used to send one frame and is delivered to all devices on the LAN. It is used when a frame needs to be sent to all devices within the broadcast domain. A multicast address is used to send one frame and is delivered to a specific group of devices on the LAN. It is used when a frame needs to be sent to a select group of devices. IP addresses and MAC addresses are not specifically related to sending one frame to multiple devices. An IP address is used for network layer addressing, and a MAC address is a unique identifier for network interfaces. Unicast address refers to sending one frame to a single device.","['https://en.wikipedia.org/wiki/Broadcast_address', 'https://en.wikipedia.org/wiki/Multicast_address']",1,chapter1_intro_to_networking,0.9,0.9999677859148848,1.0
3,___________ is a set of rules determining how network devices respond when two devices attempt to use a data channel simultaneously and encounter a data collision.,"a. CSMA/CD
b. CSMA/CA
c. TCP/IP
d. TCP/UDP
",,a,a,,"The correct option is a. CSMA/CD (Carrier Sense Multiple Access with Collision Detection) is a set of rules used in Ethernet networks to manage how devices respond when they detect that two devices are trying to transmit data at the same time, causing a collision. CSMA/CD helps in detecting collisions and then taking appropriate actions to retransmit the data.",['https://en.wikipedia.org/wiki/Carrier_sense_multiple_access_with_collision_detection'],1,chapter1_intro_to_networking,1.0,0.9999961110815618,1.0
4,Ethernet standard ___________ BASE-T defines Gigabit Ethernet over UTP cabling.,"a. 100
b. 10
c. 1000
d. 1
",,c,c,,The Ethernet standard that defines Gigabit Ethernet over UTP cabling is 1000BASE-T. This standard specifies Gigabit Ethernet operation over Category 5e or better twisted-pair cable.,['https://en.wikipedia.org/wiki/1000BASE-T'],1,chapter1_intro_to_networking,1.0,0.9999978991308068,1.0
5,Which of the following IEEE 802.3 Ethernet Header and Trailer Fields allows devices on the network to easily synchronize their receiver clocks?,"a. Frame Check Sequence
b. Data and Pad
c. Start Frame Delimiter
d. Preamble
",,d,d,,"The Preamble field in the IEEE 802.3 Ethernet Header and Trailer is used to allow devices on the network to easily synchronize their receiver clocks. It consists of a 7-octet (56-bit) pattern of alternating 1s and 0s, which helps the receiving devices synchronize their clocks with the incoming data stream.",['https://en.wikipedia.org/wiki/Ethernet_frame#Preamble_and_start_frame_delimiter'],1,chapter1_intro_to_networking,1.0,0.9999947998470208,1.0
6,The host sends packets to its default gateway if the ____________ IP address is in a different subnet than the host.,"a. Source
b. Destination
c. Unicast
d. Broadcast
",,b,b,,The correct answer is b. The host sends packets to its default gateway if the destination IP address is in a different subnet than the host. The default gateway serves as the exit point from the host's subnet to reach destinations in other subnets.,['https://www.geeksforgeeks.org/difference-between-gateway-and-router/'],1,chapter1_intro_to_networking,0.95,0.9999989719621284,1.0
9,Which of the following protocols resides in the Application TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,a,a,,SMTP (Simple Mail Transfer Protocol) resides in the Application layer of the TCP/IP model. It is responsible for sending and receiving email.,['https://en.wikipedia.org/wiki/Simple_Mail_Transfer_Protocol'],1,chapter1_intro_to_networking,1.0,0.9999962302846054,1.0
10,Which of the following protocols resides in the Transport TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,b,b,,"TCP (Transmission Control Protocol) resides in the Transport layer of the TCP/IP model. It provides reliable, connection-oriented communication between devices.",['https://en.wikipedia.org/wiki/Transmission_Control_Protocol'],1,chapter1_intro_to_networking,1.0,0.9999944422379444,1.0
11,Which of the following protocols resides in the Internet TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,d,"b,d",,"TCP (Transmission Control Protocol) and IP (Internet Protocol) both reside in the Internet TCP/IP Architecture layer. TCP provides reliable, ordered, and error-checked delivery of a stream of packets on the internet, while IP is responsible for routing packets across network boundaries.",['https://en.wikipedia.org/wiki/Internet_protocol_suite'],0,chapter1_intro_to_networking,1.0,0.9905893040354232,0.5
12,Which of the following protocols resides in the Data Link & Physical TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,c,c,,Ethernet resides in the Data Link layer of the TCP/IP Architecture. It is responsible for the physical transmission of data between network devices.,['https://en.wikipedia.org/wiki/Ethernet'],1,chapter1_intro_to_networking,0.9,0.999997541520822,1.0
13,Which of the following protocols is used from PC1 to learn information from some other device on the same network?,"a. ping
b. ARP
c. DHCP
d. DNS
",,b,b,,"The correct protocol used from PC1 to learn information from another device on the same network is ARP (Address Resolution Protocol). ARP is used to map a known IP address to a MAC address on a local network. When a device needs to communicate with another device on the same network, it uses ARP to discover the MAC address associated with the IP address of the destination device.",['https://en.wikipedia.org/wiki/Address_Resolution_Protocol'],1,chapter1_intro_to_networking,0.95,0.999998733555102,1.0
