Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
137,"In a spoofing attack, which of the following parameters are commonly spoofed? (Choose two answers)","a. Source IP address
b. MAC address
c. ARP address
d. Routing table
e. Destination IP address
f. ARP table
",,"a,b","a,b",,"In a spoofing attack, the two commonly spoofed parameters are the Source IP address and MAC address. By spoofing the source IP address, attackers can deceive the recipient into thinking the packet came from a trusted source. Spoofing the MAC address allows attackers to impersonate another device on the network.",['https://www.cloudflare.com/learning/ddos/ddos-attacks/'],1,chapter8_security_fundamentals,0.9,0.986956142660842,1.0
138,AAA servers usually support the protocol TACACS+ and ____________________ to communicate with enterprise resources.,"a. DHCP
b. ARP
c. RADIUS
d. HTTP
",,c,c,,"AAA servers usually support the protocols TACACS+ and RADIUS to communicate with enterprise resources. While DHCP is used for dynamic IP address assignment, ARP is used for resolving IP addresses to MAC addresses, and HTTP is a protocol for web communication, they are not typically used for AAA server communication with enterprise resources.","['https://en.wikipedia.org/wiki/RADIUS_(network_protocol)', 'https://en.wikipedia.org/wiki/TACACS']",1,chapter8_security_fundamentals,0.95,0.9999980183344636,1.0
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
",,d,d,,"Option d is the correct choice. To configure the FastEthernet0/1 interface on SW-examsD to accept frames only from the MAC address 0200.1111.2222, the correct sequence of commands includes configuring the interface as an access port, enabling port security, and defining the allowed MAC address as 0200.1111.2222.",[],1,chapter8_security_fundamentals,1.0,0.7273598678517624,1.0
140,"_____________________ attacks typically function by overwhelming or flooding a targeted machine with requests until normal traffic is unable to be processed, resulting in denial- of-service to additional users.","a. Spoofing
b. Phishing
c. DoS
d. SQL injection
",,c,c,,"The correct answer is c. DoS (Denial of Service) attacks aim to flood a targeted machine with requests to the point where legitimate traffic cannot be processed, causing a denial of service to other users. This type of attack disrupts the normal functioning of a network or system by overwhelming it with a flood of illegitimate requests.",['https://www.cloudflare.com/learning/ddos/what-is-a-ddos-attack/'],1,chapter8_security_fundamentals,1.0,0.9999962302846054,1.0
141,A _________________ is malicious software that is hidden and packaged inside other software that looks normal and legitimate.,"a. Worm
b. Virus
c. Spyware
d. Trojan
",,d,d,,"A Trojan is malicious software that is disguised as or hidden within legitimate software to deceive users and gain access to their systems. Unlike viruses, worms, and spyware, Trojans do not self-replicate.",['https://us.norton.com/internetsecurity-malware-what-is-a-trojan.html'],1,chapter8_security_fundamentals,0.9,0.9999989719621284,1.0
142,What devices can be used to implement DHCP Snooping? (Choose two answers),"a. Hub
b. Layer 2 switches
c. Routers
d. Layer 3 switches
e. Access Points
f. End users
",,"b,d","b,d",,"Layer 2 switches and Layer 3 switches can be used to implement DHCP Snooping. DHCP Snooping is a security feature that can be enabled on switches to prevent unauthorized or rogue DHCP servers on the network. Routers, access points, hubs, and end users do not directly implement DHCP Snooping functionality.",['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst4500/12-2/25ew/configuration/guide/conf/dhcp.pdf'],1,chapter8_security_fundamentals,1.0,0.999927735579799,1.0
143,"Which of the following Cisco Firepower NGIPS’s features provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility?","a. Security automation
b. Granular application visibility and control
c. Contextual awareness
d. Superior effectiveness
",,c,c,,"Contextual awareness is the feature that provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility. It allows for a deeper understanding of the context in which network traffic occurs, enabling more informed security decisions.",['https://www.cisco.com/c/en/us/products/security/firepower-ngips/index.html'],1,chapter8_security_fundamentals,0.9,0.9999900317366834,1.0
144,What can be accomplished with a brute-force attack?,"a. Guess a user’s password
b. Make a server unavailable
c. Spoof every possible IP address
d. Alter a routing table
",,a,a,,A brute-force attack is a trial-and-error method used to obtain information such as a user's password by systematically checking all possible combinations until the correct one is found. It is commonly used in password cracking.,['https://en.wikipedia.org/wiki/Brute-force_attack'],1,chapter8_security_fundamentals,0.9,0.999980257181892,1.0
145,Social engineering attack is accomplished through human interactions. It uses psychological manipulation to trick users into making security mistakes or giving away sensitive information.,"a. TRUE
b. FALSE
",,a,a,,The statement is TRUE. Social engineering attacks rely on human interaction and manipulation to deceive individuals into divulging confidential information or performing actions that compromise security.,['https://www.veracode.com/security/social-engineering'],1,chapter8_security_fundamentals,1.0,0.999999448776502,1.0
146,"Which of the following human security vulnerabilities attacks is a type of attack that targets high-profile employees, such as the CEO or CFO, in order to steal sensitive information from a company?","a. Social engineering
b. Phishing
c. Whaling
d. Pharming
",,c,c,,"The correct answer is c. Whaling is a type of cyber attack that specifically targets high-profile employees within an organization, such as executives like the CEO or CFO, to steal sensitive information. It is a form of phishing that focuses on individuals with access to valuable company data.",['https://www.imperva.com/learn/application-security/whaling-phishing/'],1,chapter8_security_fundamentals,1.0,0.999998733555102,1.0
