Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
154,"Given the following URI https://courses.examsdigest.com/ccna, which part is the hostname?","a. https
b. courses
c. courses.examsdigest.com
d. examsdigest.com
e. examsdigest.com/ccna
",,c,c,,"In the given URI 'https://courses.examsdigest.com/ccna', the hostname part is 'courses.examsdigest.com'. The hostname is the part of a URI that identifies the domain to which the resource is hosted.",[],1,chapter9_ip_acl,1.0,0.9999974223173222,1.0
155,Which of the following protocols uses the port 443?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,a,a,,"HTTPS (Hypertext Transfer Protocol Secure) uses port 443 for secure communication over a computer network. It is the secure version of HTTP, providing encrypted communication.",['https://en.wikipedia.org/wiki/HTTPS'],1,chapter9_ip_acl,1.0,0.9999981375378344,1.0
156,Which of the following protocols uses the port 80?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,b,b,,HTTP (Hypertext Transfer Protocol) uses port 80 for communication. It is the protocol used for transferring hypertext requests and information on the World Wide Web.,['https://tools.ietf.org/html/rfc2616'],1,chapter9_ip_acl,1.0,0.999997541520822,1.0
157,Which of the following protocols uses the port 25?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,c,c,,SMTP (Simple Mail Transfer Protocol) uses port 25 for communication. It is the standard protocol for sending emails between servers.,['https://tools.ietf.org/html/rfc5321'],1,chapter9_ip_acl,1.0,0.999997660724136,1.0
158,Which of the following protocols uses the port 22?,"a. HTTPS
b. HTTP
c. SMTP
d. SSH
",,d,d,,SSH (Secure Shell) uses port 22 for secure remote access to devices. It provides a secure channel over an unsecured network by using encryption. Port 22 is the default port for SSH traffic.,['https://www.ssh.com/ssh/port'],1,chapter9_ip_acl,1.0,0.9999995679800934,1.0
159,Which of the following port numbers the SNMP protocol uses?,"a. 20
b. 25
c. 160
d. 161
",,d,d,,The SNMP (Simple Network Management Protocol) primarily uses UDP port 161 for communication between the manager and the agent. This port is used for sending requests from the manager to the agent and receiving responses from the agent to the manager.,['https://en.wikipedia.org/wiki/Simple_Network_Management_Protocol'],1,chapter9_ip_acl,1.0,0.9999983759447189,1.0
160,Which of the following port numbers the POP3 protocol uses?,"a. 100
b. 110
c. 120
d. 130
",,b,b,,The correct port number for the POP3 protocol is 110. POP3 (Post Office Protocol version 3) is used for receiving emails from a remote server to a local email client. It operates over TCP port 110.,['https://tools.ietf.org/html/rfc1939'],1,chapter9_ip_acl,1.0,0.9999971839107652,1.0
161,Which of the following port numbers the DNS protocol uses?,"a. 50
b. 51
c. 52
d. 53
",,d,d,,DNS (Domain Name System) protocol uses port number 53 for both TCP and UDP communications. Port 53 is the well-known port assigned for DNS.,['https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers'],1,chapter9_ip_acl,1.0,0.9999992103693116,1.0
163,Which of the following options are things that a standard IP ACL could be configured to do? (Choose two answers.),"a. Match the exact source IP address
b. Match all IP addresses in a subnet with one access-list command without matching other IP addresses
c. Match IP addresses 20.2.2.2 through 20.2.2.22 with one access-list command without matching other IP addresses
d. Match only the packet’s destination IP address
",,"a,b","a,b",,A standard IP ACL can be configured to match the exact source IP address (option a) by specifying the specific IP address to permit or deny. It can also match all IP addresses in a subnet with one access-list command without matching other IP addresses (option b) by using the subnet mask to define the range of IP addresses to permit or deny.,['https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html'],1,chapter9_ip_acl,1.0,0.8804219827793991,1.0
164,"One of the differences between named and numbered ACLs is that named ACLS using ACL subcommands, not global commands, to define the action and matching parameters.","a. TRUE
b. FALSE
",,a,a,,"The statement is TRUE. Named ACLs use ACL subcommands to define the action and matching parameters, unlike numbered ACLs that use global commands. Named ACLs provide more flexibility and ease of management compared to numbered ACLs.",['https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html'],1,chapter9_ip_acl,1.0,0.9995733481817832,1.0
165,"Given the following fields, which of those cannot be compared on an extended IP ACL?","a. Application protocol
b. Destination IP address
c. Source IP address
d. URL
e. TOS Byte
",,d,"a,d",,"The fields that cannot be compared on an extended IP ACL are Application protocol (a) and URL (d). Extended IP ACLs operate at the network layer (Layer 3) of the OSI model and can filter traffic based on criteria such as source and destination IP addresses, TOS Byte, and sometimes port numbers. Application protocols and URLs are typically filtered using higher-layer protocols like Layer 4 (transport layer) or Layer 7 (application layer) protocols, not by IP ACLs.",['https://www.cisco.com/c/en/us/support/docs/security/ios-firewall/23602-confaccesslists.html'],0,chapter9_ip_acl,0.9,0.999741588583983,0.6000000000000001
166,"Your task is to type a one-line standard ACL that matches the following criteria. All access-list commands use the number 1 in the command.
Criteria #1: Permit packets from 186.33.2.3
ACL command #1: ______________________","a. access-list 1 permit 186.33.2.3
b. access-list 1 deny 186.33.2.3
c. access-list 1 permit 186.33.2.0
d. access-list 1 deny 186.33.0.0
",,a,a,,The correct ACL command to permit packets from the specific IP address 186.33.2.3 is 'access-list 1 permit 186.33.2.3'. This command allows traffic from that exact IP address.,[],1,chapter9_ip_acl,1.0,0.9999917005724404,1.0
167,"Your task is to type a one-line standard ACL that matches the following criteria. All access-list commands use the number 1 in the command.
Criteria #2: Permit packets from hosts with 56.57.2 as the first three octets
ACL command #2: ______________________","a. access-list 1 permit 56.57.2.0 0.0.0.255
b. access-list 1 permit 57.57.2.0 0.0.0.255
c. access-list 1 permit 56.57.2.0 0.0.255.255
d. access-list 1 deny 56.57.2.0 0.0.0.255
",,a,a,,The correct ACL command to permit packets from hosts with 56.57.2 as the first three octets is 'access-list 1 permit 56.57.2.0 0.0.0.255'. This command matches the specified criteria by allowing any IP address where the first three octets are 56.57.2.,[],1,chapter9_ip_acl,1.0,0.9998722739576656,1.0
168,"Your task is to type a one-line standard ACL that matches the following criteria. All access-list commands use the number 1 in the command.
Criteria #3: Permit packets from hosts with 56.57 as the first two octets
ACL command #3: ______________________","a. access-list 1 permit 56.57.0.0 0.255.255.255
b. access-list 1 permit 56.57.0.0 0.0.255.255
c. access-list 1 permit 56.58.0.0 0.0.255.255
d. access-list 1 permit 56.57.0.0 0.0.0.0
",,b,a,,The correct ACL command to permit packets from hosts with 56.57 as the first two octets is 'access-list 1 permit 56.57.0.0 0.255.255.255'. This command allows any IP address where the first two octets are 56.57.,[],0,chapter9_ip_acl,1.0,0.9999974223173222,0.0
169,"Your task is to type a one-line extended ACL that matches the following criteria. All access-list commands use the number 101 in the command.
Criteria #4: Permit packets from web client 65.5.5.5, sent to a web server in subnet 65.5.6.0/24
ACL command #4: ______________________","a. access-list 101 permit tcp host 65.5.5.5 65.5.6.0 0.0.0.255 eq 23
b. access-list 101 permit any any
c. access-list 101 permit tcp host 65.5.5.5 65.5.6.0 0.0.0.255 eq www
d. access-list 101 deny tcp host 65.5.5.5 65.5.6.0 0.0.0.255 eq www
",,c,c,,The correct ACL command to permit packets from web client 65.5.5.5 to a web server in subnet 65.5.6.0/24 is 'access-list 101 permit tcp host 65.5.5.5 65.5.6.0 0.0.0.255 eq www'. This command allows TCP traffic from the specified source IP to the destination subnet with the destination port set to 'www' (port 80 for HTTP).,[],1,chapter9_ip_acl,1.0,0.999994323034814,1.0
