Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
46,What transport layer protocol does DNS normally use?,"a. TCP
b. IP
c. UDP
d. ICMP
",,c,c,,DNS (Domain Name System) normally uses UDP (User Datagram Protocol) as its transport layer protocol. UDP is preferred for DNS due to its lower overhead and faster transmission compared to TCP.,['https://www.cloudflare.com/learning/dns/what-is-dns/'],1,4_networking_serices,1.0,0.9999900317366834,1.0
47,A DNS TTL determines what?,"a. How far away a DNS can be from you.
b. How many DNS resolutions can take place before the IP has to change.
c. How many steps there are in the resolution process.
d. How long a DNS entry is allowed to be cached.
",,d,d,,A DNS TTL (Time To Live) determines how long a DNS entry is allowed to be cached by resolvers or DNS servers before it should be discarded or refreshed.,['https://www.cloudflare.com/learning/dns/dns-records/dns-time-to-live-ttl/'],1,4_networking_serices,1.0,0.9999908661547138,1.0
48,How many root servers are there?,"a. 16
b. 8
c. 13
d. 17
",,c,c,,There are a total of 13 root DNS servers worldwide (labeled A through M). These servers are a crucial part of the Domain Name System (DNS) infrastructure.,['https://www.iana.org/domains/root/servers'],1,4_networking_serices,1.0,0.9987260541588406,1.0
49,Which of the following are benefits of using Domain Name Resolution (DNS)? (Select all that apply.),"a. Easier for humans to remember website names.
b. Easy for the node to find the network ID.
c. Allows administrative changes to happen seamlessly.
d. Small routing tables.
",,"a,c","a,c",,"Using Domain Name Resolution (DNS) makes it easier for humans to remember website names as domain names are more user-friendly than IP addresses. Additionally, DNS allows administrative changes to happen seamlessly by updating records in the DNS server without affecting end-users.",['https://www.cloudflare.com/learning/dns/what-is-dns/'],1,4_networking_serices,0.95,0.999294414448989,1.0
50,The process of using DNS to turn a domain name into an IP address is known as_________.,"a. IP addresses
b. DNS server
c. name resolution
d. ARP table lookup
",,c,c,,The process of using DNS to translate a domain name into an IP address is called name resolution. It involves querying DNS servers to obtain the corresponding IP address for a given domain name.,['https://www.cloudflare.com/learning/dns/what-is-dns/'],1,4_networking_serices,0.95,0.9999877668918252,1.0
51,An A Record contains what?,"a. An SOA
b. An IPv4 address
c. An IPv6 address
d. A CNAME
",,b,b,,An A Record in DNS (Domain Name System) contains an IPv4 address. A Records are used to map domain names to their corresponding IPv4 addresses.,['https://www.cloudflare.com/learning/dns/dns-records/dns-a-record/'],1,4_networking_serices,1.0,0.9999957534720164,1.0
52,MX stands for ________.,"a. Mail exchange
b. Meta exchange
c. Micro exchange
d. Micro extreme
",,a,a,,MX stands for Mail Exchange. It is a type of DNS record that specifies the mail server responsible for receiving email on behalf of a domain.,['https://en.wikipedia.org/wiki/MX_record'],1,4_networking_serices,1.0,0.9999983759447189,1.0
53,A fully qualified domain name can contain how many characters?,"a. 255
b. 127
c. 64
d. 63
",,a,a,,"A fully qualified domain name (FQDN) can contain up to 255 characters, including dots as separators between labels.",['https://www.ietf.org/rfc/rfc1035.txt'],1,4_networking_serices,1.0,0.9999947998470208,1.0
54,What technique is used to balance traffic across multiple IPs for the same domain?,"a. Quad A record
b. CNAME
c. Cycling records
d. Round robin
",,d,d,,"The technique used to balance traffic across multiple IPs for the same domain is Round Robin. It works by cycling through a list of IP addresses associated with a domain name, distributing the traffic evenly among the servers.",['https://www.cloudflare.com/learning/dns/glossary/round-robin-dns/'],1,4_networking_serices,0.95,0.9999958726752174,1.0
55,Which of the following are part of a Zone File? (select all that apply),"a. A Record
b. NS record
c. FQDN
d. SOA
",,"a,b,d","a,b,d",,"A Zone File typically includes: A Records (mapping hostnames to IP addresses), NS Records (identifying the name servers for the zone), and SOA (Start of Authority) record (containing important information about the zone such as the primary name server, the email of the domain administrator, the domain serial number, etc.). FQDN (Fully Qualified Domain Name) is not part of a Zone File.",['https://www.cloudflare.com/learning/dns/dns-records/what-is-a-zone-file/'],1,4_networking_serices,1.0,0.99999722870524,1.0
