Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
71,"Another term for POTS, or Plain Old Telephone Service, is _______________.","a. Public Available Telephone Network
b. Public Switched Telephone Exchange
c. Phone Switched Transport Network
d. Public Switched Telephone Network
e. Public Available Telephone Exchange
",,d,d,,"The term POTS, or Plain Old Telephone Service, is commonly referred to as the Public Switched Telephone Network (PSTN). It is the traditional landline telephone system that carries analog voice data.",['https://en.wikipedia.org/wiki/Plain_old_telephone_service'],1,5_connecting_to_the_internet,1.0,0.9999926541946804,1.0
72,A baud rate is a measurement of the number of ______________________.,"a. bits that can be sent across a telephone line every minute
b. bytes that can be sent across a telephone line every second
c. bits that can be sent across a telephone line every second
d. bytes that can be sent across a telephone line every minute
",,c,c,,"A baud rate is a measurement of the number of signal or symbol changes that occur per second in a communication channel. It is not directly related to the number of bits or bytes transmitted, but rather the rate of signaling transitions.",['https://www.lifewire.com/baud-definition-817888'],1,5_connecting_to_the_internet,0.9,0.9999810915907662,1.0
73,What system did Duke grads build that is still in use today?,"a. POTS
b. PSTN
c. USENET
d. DSL
",,c,c,,"Duke University graduates built USENET, which is a worldwide distributed discussion system that is still in use today for sharing information and files.",['https://www.livinginternet.com/i/ii_usenet.htm'],1,5_connecting_to_the_internet,0.9,0.9999900317366834,1.0
74,Which device is used to transfer data across a dial-up connection?,"a. ATM
b. Modem
c. Ethernet cables
d. USENET
",,b,b,,The device used to transfer data across a dial-up connection is a modem (modulator-demodulator). Modems modulate digital data from a computer into analog signals for transmission over telephone lines and demodulate incoming analog signals back into digital data.,['https://www.investopedia.com/terms/m/modem.asp'],1,5_connecting_to_the_internet,1.0,0.9999973031140366,1.0
75,Modems take data that computers can understand and turn them into _____ that can be transmitted over POTS.,"a. Audible wavelengths
b. Baud rates
c. Modulating electrical charges
d. PSTN
",,a,a,,Modems convert digital data from computers into audible frequencies that can be transmitted over Plain Old Telephone Service (POTS) lines.,['https://www.techopedia.com/definition/5339/modem'],1,5_connecting_to_the_internet,0.9,0.9999950382530096,1.0
76,T1 is short for __________.,"a. Transmission 1
b. Transportation 1
c. Transmission System 1
d. Transportation System 1
",,c,a,,"T1 is short for Transmission 1, which refers to a digital carrier facility used to transmit a DS1-formatted digital signal at 1.544 Mbps.",['https://en.wikipedia.org/wiki/T-carrier'],0,5_connecting_to_the_internet,0.95,0.9999989719621284,0.0
77,How fast is a T1 line?,"a. 128 Mb/sec
b. 1.544 Mb/sec
c. 1 Mb/sec
d. 44.763 Mb/sec
",,b,b,,A T1 line operates at a speed of 1.544 Mb/sec (megabits per second). It is a common dedicated line used for data transmission.,['https://www.lifewire.com/what-is-a-t1-line-3426739'],1,5_connecting_to_the_internet,1.0,0.9999742971333244,1.0
78,Select all statements that are true of cable internet connections.,"a. They're wireless connections
b. They're broadband connections
c. They're dial-up connections
d. They're shared bandwidth connections
",,"b,d","b,d",,"The statements that are true of cable internet connections are: 
 b. They're broadband connections: Cable internet connections are a type of broadband connection that uses a cable modem to provide high-speed internet access. 
 d. They're shared bandwidth connections: Cable internet connections typically share bandwidth among multiple users in the same neighborhood, which can lead to slower speeds during peak usage times.","['https://www.lifewire.com/definition-of-cable-modem-817770', 'https://www.highspeedinternet.com/resources/are-cable-and-dsl-internet-the-same']",1,5_connecting_to_the_internet,0.9,1.0,1.0
79,What are the subprotocols for PPP (Point to Point Protocol)? Select all that apply.,"a. FCS
b. LCP
c. Compression
d. NCP
",,"b,d","b,c,d",,"The subprotocols for PPP (Point to Point Protocol) include: LCP (Link Control Protocol) for establishing, configuring, and testing the data link connection; Compression for reducing the size of the data being transmitted over the connection to improve efficiency; NCP (Network Control Protocol) for establishing and configuring different network layer protocols like IP, IPX, etc.","['https://www.geeksforgeeks.org/point-to-point-protocol-ppp/', 'https://www.cisco.com/c/en/us/support/docs/wan/point-to-point-protocol-ppp/10227-14.html']",0,5_connecting_to_the_internet,1.0,0.7863690973144638,0.5
80,What do you call the demarcation point for fiber technologies?,"a. ONT
b. FTTN
c. FTTX
d. DSLAM
",,a,a,,"The demarcation point for fiber technologies is typically referred to as ONT (Optical Network Terminal), which is the device that terminates the fiber optic line in the customer's premises and converts the optical signal into electrical signals for the customer's use.",['https://www.lifewire.com/what-is-an-ont-817883'],1,5_connecting_to_the_internet,0.95,0.9999896741293122,1.0
81,What does WAN stand for?,"a. Wireless Local Area Network
b. Wireless Area Network
c. Wired Area Network
d. Wide Area Network
",,d,d,,"WAN stands for Wide Area Network, which is a network that covers a broad area, such as multiple buildings, cities, or even countries.",['https://www.cloudflare.com/learning/network-layer/what-is-a-wide-area-network/'],1,5_connecting_to_the_internet,1.0,0.9999992103693116,1.0
82,"In a WAN, what is the area between a demarcation point and the ISP's core network known as?","a. a local loop
b. a Local Area Network
c. A local link
d. An access point
",,a,c,,The area between a demarcation point and the ISP's core network is known as a local link. It is the connection between the customer's network and the service provider's network.,['https://www.cloudflare.com/learning/network-layer/what-is-a-wan/'],0,5_connecting_to_the_internet,0.95,0.999996945503965,0.0
83,A point-to-point VPN is also known as a ______________.,"a. port forwarding VPN
b. one-to-many VPN
c. data link VPN
d. site-to-site VPN
",,d,d,,"A point-to-point VPN is commonly referred to as a site-to-site VPN. In this type of VPN, multiple sites (or networks) are connected securely over the internet, creating a virtual network between them.",['https://www.cloudflare.com/learning/security/glossary/what-is-site-to-site-vpn/'],1,5_connecting_to_the_internet,1.0,0.9352457687083894,1.0
84,Who handles sending data from one site to another?,"a. T-carrier line
b. CTO
c. ISP
d. VPN
",,c,c,,The Internet Service Provider (ISP) is responsible for handling the transmission of data from one site to another over the internet. ISPs provide the network infrastructure and connectivity that enables data to travel between different locations.,['https://www.cloudflare.com/learning/network-layer/what-is-an-isp/'],1,5_connecting_to_the_internet,0.95,0.999945093413422,1.0
85,How many address fields does an 802.11 header contain?,"a. 1
b. 4
c. 2
d. 3
",,b,c,,An 802.11 header contains 2 address fields: one for the destination address and one for the source address.,"['https://www.geeksforgeeks.org/wireless-lan-ieee-802-11', 'https://www.tutorialspoint.com/ieee_802.11.htm']",0,5_connecting_to_the_internet,1.0,0.9999922965856716,0.0
86,What are wireless channels?,"a. a collision domain
b. a point-to-point wireless connection
c. an example of an ad-hoc network
d. Individual, smaller sections of the overall frequency band used by a wireless network
",,d,d,,"Wireless channels refer to individual, smaller sections of the overall frequency band used by a wireless network. These channels help in reducing interference and enabling multiple devices to communicate simultaneously.",['https://www.geeksforgeeks.org/wireless-communication-set-1/'],1,5_connecting_to_the_internet,0.95,0.9999964686909352,1.0
87,Which of the following frequencies do wireless networks typically operate on? Select all that apply.,"a. 2.4Ghz
b. 1.544Ghz
c. 5Ghz
d. 88Mhz
",,"a,c","a,c",,Wireless networks typically operate on frequencies of 2.4GHz and 5GHz. These frequencies are commonly used for Wi-Fi networks due to their ability to provide good coverage and bandwidth.,['https://www.lifewire.com/2-4-ghz-and-5-ghz-wi-fi-frequencies-818278'],1,5_connecting_to_the_internet,0.95,0.9999964686909352,1.0
88,WPA3 was built with the intention of replacing which protocol?,"a. WPA2
b. WLAN
c. WEP
d. IEEE 802.11
",,a,a,,"WPA3 was designed to replace its predecessor WPA2 as the standard for securing Wi-Fi networks, offering enhanced security features and protocols.",['https://www.wi-fi.org/discover-wi-fi/security'],1,5_connecting_to_the_internet,1.0,0.9999868132749457,1.0
89,An 802.11 frame contains a number of fields. Which field describes the version of 802.11 that is being used?,"a. Sequence control
b. Frame control
c. Address
d. Duration
",,b,b,,"The field that describes the version of 802.11 being used is the Frame Control field. This field includes information about the frame type, subtype, and version of the 802.11 protocol.",['https://www.geeksforgeeks.org/frame-control-field-802-11-wireless-lan/'],1,5_connecting_to_the_internet,0.95,0.9999591587700256,1.0
