Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
179,"When APs are placed at different geographic locations, they can all be interconnected by a switched infrastructure. The 802.11 standard calls this an extended service set (ESS).","a. FALSE
b. TRUE
",,b,b,,"The statement is TRUE. When Access Points (APs) are placed at different geographic locations, they can indeed be interconnected by a switched infrastructure. This interconnection forms what is known in the 802.11 standard as an extended service set (ESS), allowing wireless clients to roam seamlessly between different APs within the same ESS.",['https://en.wikipedia.org/wiki/Extended_Service_Set'],1,chapter10_wireless_networks,0.95,0.9999957534720164,1.0
180,A lightweight access point in which one of the following architectures participate?,"a. Tunnel-MAC
b. Split-MAC
c. Big-MAC
d. Light-MAC
",,b,b,,"The correct architecture where a lightweight access point participates is Split-MAC. In this architecture, the lightweight access point offloads the processing of the wireless frames to a centralized controller, which handles the MAC functions, hence the term 'Split-MAC.'",['https://www.cisco.com/c/en/us/td/docs/wireless/controller/technotes/8-3/b_Cisco_Wireless_LAN_Controller_Configuration_Guide/b_Cisco_Wireless_LAN_Controller_Configuration_Guide_chapter_010010.html'],1,chapter10_wireless_networks,0.9,0.9948835070693574,1.0
181,Which of the following controller ports is used to connect to a peer controller for high availability (HA) operation?,"a. Service port
b. Distribution system port
c. Console port
d. Redundancy port
",,d,d,,The Redundancy port is used to connect to a peer controller for high availability (HA) operation. This port is specifically designed for redundancy and failover purposes between controllers in an HA setup.,['https://www.cisco.com/c/en/us/td/docs/wireless/controller/technotes/8-3/b_High_Availability_Dual_5500_WLC_Deployment_Guide/b_High_Availability_Dual_5500_WLC_Deployment_Guide_chapter_010.html'],1,chapter10_wireless_networks,0.9,0.999994561441089,1.0
182,Which of the following wireless security tools is used to protect the integrity of data in a wireless frame?,"a. EAP
b. MIC
c. WEP
d. WIPS
",,b,b,,"The correct option is b. MIC stands for Message Integrity Check, which is a security feature used to protect the integrity of data within a wireless frame. It ensures that the data has not been tampered with during transmission.",['https://www.geeksforgeeks.org/message-integrity-check-mic-in-wireless-network-security/'],1,chapter10_wireless_networks,1.0,0.9999993295729248,1.0
183,Wi-Fi is based on ________________ IEEE standards.,"a. 802.12
b. 802.11
c. 802.1
d. 802.2
",,b,b,,Wi-Fi is based on IEEE 802.11 standards. These standards define the technology behind wireless LANs (Local Area Networks).,['https://en.wikipedia.org/wiki/IEEE_802.11'],1,chapter10_wireless_networks,1.0,0.9999995679800934,1.0
184,Which of the following bridges can be used to provide wireless connectivity to a non-wireless device?,"a. Transparent bridge
b. Workgroup bridge
c. Wireless repeater
d. Adaptive bridge
",,b,b,,"A Workgroup bridge is a type of bridge that can provide wireless connectivity to non-wireless devices by connecting them to a wireless network. It acts as a client bridge, allowing non-wireless devices to communicate over the wireless network.",['https://www.cisco.com/c/en/us/td/docs/wireless/access_point/12-4_10b_JA/configuration/guide/scg12410b-chap7-workgroup-bridge.html'],1,chapter10_wireless_networks,0.9,0.9999660723255566,1.0
185,Which controller interface type maps a WLAN to a VLAN?,"a. Virtual interface
b. Redundancy management
c. Management interface
d. Service port interface
e. Dynamic interface
",,e,a,,The correct option is 'a'. A virtual interface is used to map a WLAN (Wireless Local Area Network) to a VLAN (Virtual Local Area Network) in a wireless controller. It allows the wireless network to be associated with a specific VLAN for traffic segregation and management purposes.,['https://www.cisco.com/c/en/us/td/docs/wireless/controller/technotes/8-3/b_cisco_wlc_and_vlans_tech_note.html'],0,chapter10_wireless_networks,0.95,0.999997660724136,0.1999999999999999
186,Which is the most preferred and secure way of connecting to a WLC GUI to configure a new WLAN?,"a. FTP
b. SSH
c. HTTP
d. None of the above
e. HTTPS
",,e,e,,"The most preferred and secure way of connecting to a Wireless LAN Controller (WLC) GUI to configure a new WLAN is using HTTPS (Hypertext Transfer Protocol Secure). HTTPS provides encryption and secure identification of the network device, ensuring data confidentiality and integrity during the configuration process. Using HTTP, FTP, or SSH for WLC configuration can pose security risks due to lack of encryption and secure authentication mechanisms.",['https://www.cisco.com/c/en/us/td/docs/wireless/controller/8-10/config-guide/b_cg810/wlc_software_configuration_guide_chapter_010010.html'],1,chapter10_wireless_networks,1.0,0.999994919049908,1.0
187,The maximum configurable number of WLANs on a controller is __________________.,"a. 251
b. 5
c. 512
d. 152
",,c,a,,"The correct answer is A. The maximum configurable number of WLANs on a controller is 251. This limit is based on the IEEE 802.11 standard, which allows for up to 16.7 million possible WLANs, but practical limitations in controller implementations often restrict this number to a much lower value like 251.",['https://www.cisco.com/c/en/us/td/docs/wireless/controller/8-10/config-guide/b_cg810/wireless_lan_config_guide_chapter_010010.html'],0,chapter10_wireless_networks,0.9,0.9999978991308068,0.0
188,Which of the following IEEE 802.11 Wi-Fi standards use the 5 GHz band? (Choose all that apply),"a. 802.11ax
b. 802.11ac
c. 802.11n
d. 802.11a
e. 802.11g
f. 802.11b
g. 802.11
",,"a,b,c,d","a,b,d",,"The IEEE 802.11 Wi-Fi standards that use the 5 GHz band are 802.11ax, 802.11ac, and 802.11a. These standards operate in the 5 GHz frequency range, providing higher data rates and less interference compared to the 2.4 GHz band. 802.11n, 802.11g, and 802.11b operate in the 2.4 GHz band.","['https://www.lifewire.com/5-ghz-wifi-818186', 'https://www.ubnt.com/blog/802-11-standards-explained/']",0,chapter10_wireless_networks,1.0,0.999633466892678,0.7142857142857142
189,Wi-Fi commonly uses the 2.5GHz and __________________ GHz bands.,"a. 5
b. 4
c. 3
d. 1
",,a,a,,Wi-Fi commonly uses the 2.4GHz and 5GHz bands for wireless communication. The 5GHz band provides faster data rates and less interference compared to the 2.4GHz band.,['https://www.lifewire.com/2-4-ghz-and-5-ghz-wi-fi-understanding-dual-band-wi-fi-816383'],1,chapter10_wireless_networks,1.0,0.999994919049908,1.0
190,"Choose the term that best describes a Cisco wireless access point that operates in a standalone, independent manner.","a. Standalone Access point (AP)
b. Cisco Access Point (AP)
c. Autonomous Access Point (AP)
d. Independent Access Point (AP)
",,c,c,,"The term that best describes a Cisco wireless access point that operates in a standalone, independent manner is an Autonomous Access Point (AP). Autonomous APs are standalone devices that operate independently without the need for a centralized controller. They are configured and managed individually.",['https://www.cisco.com/c/en/us/td/docs/wireless/access_point/12-4_10b_JA/configuration/guide/scg12410b-chap7-auton.html'],1,chapter10_wireless_networks,0.9,0.9999978991308068,1.0
191,"You are creating a new WLAN with the controller GUI, which of the following parameters are necessary? (Choose two)","a. IP subnet
b. SSID
c. Interface
d. BSSID
e. VLAN number
",,"b,c","b,e",,"The correct parameters necessary when creating a new WLAN with the controller GUI are SSID (Service Set Identifier) and VLAN number. SSID is the name of the wireless network that clients see and connect to, while the VLAN number is essential for segregating and managing traffic on the network.",['https://www.cisco.com/c/en/us/td/docs/wireless/controller/8-10/config-guide/b_cg810/wlan_configuration.html'],0,chapter10_wireless_networks,0.9,0.999914505008575,0.1999999999999999
192,Which one of the following is a wireless encryption method that is not recommended for use due to vulnerability issues?,"a. Advanced Encryption Standard (AES)
b. Extensible Authentication Protocol (EAP)
c. Wired Equivalent Privacy (WEP)
d. Wi-Fi Protected Access (WPA)
",,c,c,,"The correct answer is C. Wired Equivalent Privacy (WEP) is a wireless encryption method that is not recommended for use due to significant vulnerability issues. WEP has well-known security weaknesses and can be easily compromised, making it an insecure choice for protecting wireless networks.",['https://www.lifewire.com/why-is-wep-not-secure-2487473'],1,chapter10_wireless_networks,1.0,0.9999983759447189,1.0
193,Which of the following IEEE 802.11 Wi-Fi standards use the 2.4 GHz band? (Choose all that apply),"a. 802.11g
b. 802.11b
c. 802.11n
d. 802.11
e. 802.11ac
f. 802.11ax
g. 802.11a
",,"a,b,c,d,f","b,g",,The IEEE 802.11 Wi-Fi standards that use the 2.4 GHz band are 802.11b and 802.11g. Both of these standards operate in the 2.4 GHz frequency range. 802.11b was one of the earliest standards and operates in the 2.4 GHz band. 802.11g also operates in the 2.4 GHz band but provides higher data rates compared to 802.11b.,['https://www.lifewire.com/wifi-standards-explained-818278'],0,chapter10_wireless_networks,1.0,0.7888284018025097,0.0
