Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
204,"The customer edge device is typically a router, that sits at a customer site on MPLS networks and connects to a provider edge router (PE router) to take communications from a customer site to a provider side.","a. FALSE
b. TRUE
",,b,b,,TRUE. The customer edge (CE) device is indeed a router that resides at the customer's site in MPLS networks. It connects to the provider edge (PE) router to establish communication between the customer site and the service provider network.,['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/mp_l3_vpns/configuration/15-mt/mp-l3-vpns-15-mt-book/mp-overview.html'],1,chapter12_network_design_architecture,1.0,0.9999924157887604,1.0
205,____________________ is a network design that connects a link between each pair of nodes.,"a. Partial Mesh
b. Hybrid
c. Full Mesh
d. Star
",,c,c,,"Full Mesh is a network design where every node has a direct connection to every other node, creating a fully interconnected network. This means there is a direct link between each pair of nodes in the network.",['https://www.geeksforgeeks.org/types-of-network-topology/'],1,chapter12_network_design_architecture,1.0,0.9999958726752174,1.0
206,"With PoE, a LAN switch can act as the Power Sourcing Equipment (PSE).","a. FALSE
b. TRUE
",,b,b,,"Option b is correct. Power over Ethernet (PoE) allows a switch to act as the Power Sourcing Equipment (PSE), providing power to other devices such as IP phones, wireless access points, or cameras over the Ethernet cable.",['https://en.wikipedia.org/wiki/Power_over_Ethernet'],1,chapter12_network_design_architecture,1.0,0.9999963494876632,1.0
208,Which of the following roles of campus switches provides a connection point for end-user devices?,"a. Core
b. Campus
c. Access
d. Distribution
",,c,c,,"The role of campus switches that provides a connection point for end-user devices is the Access layer. Access switches connect end-user devices like computers, printers, phones, etc., to the network. They typically operate at Layer 2 and provide network access to end devices.",['https://www.cisco.com/c/en/us/solutions/enterprise/design-zone-campus/design/campus_lan_design.html'],1,chapter12_network_design_architecture,1.0,0.9999978991308068,1.0
209,Which of the following roles of campus switches provides an aggregation point for access switches?,"a. Access
b. Core
c. Distribution
d. Campus
",,c,c,,"The role of the distribution switches in a campus network is to provide aggregation for the access layer switches. They aggregate the traffic from multiple access switches before forwarding it towards the core layer. Therefore, the distribution switches serve as an aggregation point for access switches in a campus network.",['https://www.cisco.com/c/en/us/td/docs/solutions/CVD/Campus/CVD-Campus-LAN-WLAN-DesignGuide-2018JAN/cvd-campus-lan-wlan-design-jan2018-chap4.html'],1,chapter12_network_design_architecture,1.0,0.9999973031140366,1.0
210,Which of the following roles of campus switches aggregates distribution switches in very large campus LANs?,"a. Access
b. Distribution
c. Core
d. Campus
",,c,b,,"The role of distribution switches is to aggregate the connectivity from access switches in large campus LANs before connecting to the core layer. In very large campus LANs, distribution switches play a crucial role in aggregating the traffic from access switches and then forwarding it towards the core layer.",['https://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Campus/campover.html'],0,chapter12_network_design_architecture,0.9,0.9999981375378344,0.0
211,Your company plans to start using public cloud service and now you are considering different WAN options. Your main concern is security by keeping the data private while also providing good QoS services. Which of the following options are under consideration? (Choose two answers.),"a. Using an intercloud exchange
b. Using an Internet connection without VPN
c. Using private WAN connections directly to the cloud provider
d. Using an Internet connection with VPN
",,"a,c","a,c",,"Options A and C are under consideration for maintaining data privacy and providing good QoS services. Intercloud exchanges allow secure and direct connections between different cloud providers and users, ensuring data privacy and potentially better QoS. Private WAN connections directly to the cloud provider offer dedicated and secure links, ensuring data privacy and enabling better control over QoS compared to public Internet connections.","['https://www.cisco.com/c/en/us/solutions/cloud/what-is-intercloud.html', 'https://www.cloudflare.com/learning/network-layer/what-is-a-wan/']",1,chapter12_network_design_architecture,0.9,0.9998316763060228,1.0
212,"One of the differences between Public Cloud and Private Cloud (On-Premise) is that on the Public Cloud solution you are responsible for all management, maintenance, and updating of data centers.","a. FALSE
b. TRUE
",,a,a,,"Option a is correct. In a Public Cloud solution, the cloud service provider (CSP) is responsible for managing, maintaining, and updating the data centers where the services are hosted. Users of Public Cloud services do not have to worry about the physical infrastructure aspects as they are abstracted away by the CSP. On the other hand, in a Private Cloud or On-Premise solution, the organization itself is responsible for managing, maintaining, and updating the data centers where the private cloud infrastructure is deployed.",['https://azure.microsoft.com/en-us/overview/what-is-cloud-computing/'],1,chapter12_network_design_architecture,1.0,0.999731309643721,1.0
213,"A company uses a Metro Ethernet WAN with an Ethernet LAN (E-LAN) service, with the company headquarters plus 20 remote sites connected to the service. The enterprise uses OSPF at all sites, with one router connected to the service from each site. Which of the following are true about the Layer 3 details most likely used with this service and design? (Choose all that apply)","a. The WAN uses 20 or more IP subnets
b. A remote site router would have 20 OSPF neighbors
c. A remote site router would have one OSPF neighbor
d. The WAN uses one IP subnet
",,"b,d","c,d",,"The correct options are C and D. In this scenario, with OSPF being used at all sites, each router at a remote site would typically have one OSPF neighbor, which is the router connected to the service. This neighbor relationship is established over the WAN link. Additionally, since the WAN is a Metro Ethernet WAN with an Ethernet LAN (E-LAN) service, it is likely that the WAN uses one IP subnet for all the connected sites, providing a single broadcast domain for all sites.",['https://www.cisco.com/c/en/us/support/docs/ip/open-shortest-path-first-ospf/7039-1.html'],0,chapter12_network_design_architecture,0.9,0.7342696770447382,0.0
214,The process of dividing a physical server into multiple unique and isolated virtual servers by means of a software application is called server _________________.,"a. Integration
b. Segmentation
c. Isolation
d. Virtualization
",,d,d,,"The correct term for dividing a physical server into multiple unique and isolated virtual servers using a software application is server virtualization. This process allows multiple virtual servers to run on a single physical server, each with its own operating system and applications, providing isolation and flexibility.",['https://www.redhat.com/en/topics/virtualization/what-is-server-virtualization'],1,chapter12_network_design_architecture,1.0,0.9999958726752174,1.0
215,"Which cloud “As a Service” model is a form of cloud computing that delivers fundamental compute, network, and storage resources to consumers on-demand, over the internet, and on a pay-as-you-go basis?","a. Software as a Service
b. Infrastructure as a Service
c. Platform as a Service
d. Database as a Service
",,b,b,,"Infrastructure as a Service (IaaS) is the cloud computing model that provides fundamental compute, network, and storage resources to consumers over the internet on a pay-as-you-go basis. It allows users to rent virtualized hardware resources like servers, storage, and networking components.",['https://www.redhat.com/en/topics/cloud-computing/what-is-iaas'],1,chapter12_network_design_architecture,1.0,0.9999996871837188,1.0
