Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
1,Which of the following terms describe Ethernet addresses that can send one frame and is delivered to multiple devices on the LAN? (Choose two answers.),"a. Multicast address
b. Broadcast address
c. Unicast address
d. IP address
e. MAC address
",,"a,b","a,b",,The correct answers are A and B. A multicast address is used to send one frame and is delivered to multiple devices on the LAN. It is a group communication where information is addressed to a group of destination computers simultaneously. A broadcast address is also used to send one frame and is delivered to all devices on the LAN. It is a one-to-all communication where information is addressed to all devices on the network. Unicast addresses are used to send one frame and are delivered to a specific device. IP addresses are used for network layer communication and are not specific to Ethernet frames. MAC addresses uniquely identify devices on a network at the data link layer.,"['https://en.wikipedia.org/wiki/Multicast_address', 'https://en.wikipedia.org/wiki/Broadcast_address']",1,chapter1_intro_to_networking,0.95,0.997665419458305,1.0
3,___________ is a set of rules determining how network devices respond when two devices attempt to use a data channel simultaneously and encounter a data collision.,"a. CSMA/CA
b. TCP/UDP
c. TCP/IP
d. CSMA/CD
",,d,d,,"CSMA/CD (Carrier Sense Multiple Access with Collision Detection) is the set of rules used to govern how network devices behave when they detect that two devices are trying to transmit data at the same time, leading to a collision. It is commonly used in Ethernet networks to manage access to the network medium.",['https://en.wikipedia.org/wiki/Carrier_sense_multiple_access_with_collision_detection'],1,chapter1_intro_to_networking,1.0,0.999994919049908,1.0
4,Ethernet standard ___________ BASE-T defines Gigabit Ethernet over UTP cabling.,"a. 1
b. 10
c. 100
d. 1000
",,d,d,,"Option d is correct. The Ethernet standard that defines Gigabit Ethernet over UTP cabling is 1000BASE-T, where 1000 represents Gigabit speed.",['https://en.wikipedia.org/wiki/Gigabit_Ethernet'],1,chapter1_intro_to_networking,1.0,0.9999981375378344,1.0
5,Which of the following IEEE 802.3 Ethernet Header and Trailer Fields allows devices on the network to easily synchronize their receiver clocks?,"a. Frame Check Sequence
b. Data and Pad
c. Start Frame Delimiter
d. Preamble
",,d,d,,"The Preamble field in the IEEE 802.3 Ethernet Header and Trailer is used to allow devices on the network to easily synchronize their receiver clocks. It consists of a 7-octet (56-bit) pattern of alternating 1s and 0s, which helps the receiving devices synchronize their clocks with the incoming data stream.",['https://en.wikipedia.org/wiki/Ethernet_frame#Preamble_and_start_frame_delimiter'],1,chapter1_intro_to_networking,1.0,0.9999978991308068,1.0
6,The host sends packets to its default gateway if the ____________ IP address is in a different subnet than the host.,"a. Destination
b. Unicast
c. Broadcast
d. Source
",,a,a,,"The host sends packets to its default gateway if the Destination IP address is in a different subnet than the host. The default gateway is used when the destination IP address is not within the same subnet as the host, allowing the packets to be forwarded to the correct destination.",['https://www.geeksforgeeks.org/difference-between-unicast-broadcast-and-multicast/'],1,chapter1_intro_to_networking,0.95,0.999997541520822,1.0
9,Which of the following protocols resides in the Application TCP/IP Architecture layer?,"a. SMTP
b. Ethernet
c. TCP
d. IP
",,a,a,,SMTP (Simple Mail Transfer Protocol) resides in the Application layer of the TCP/IP model. It is responsible for sending and receiving email.,['https://en.wikipedia.org/wiki/Simple_Mail_Transfer_Protocol'],1,chapter1_intro_to_networking,0.9,0.9999962302846054,1.0
10,Which of the following protocols resides in the Transport TCP/IP Architecture layer?,"a. TCP
b. IP
c. Ethernet
d. SMTP
",,a,a,,"TCP (Transmission Control Protocol) resides in the Transport layer of the TCP/IP model. It provides reliable, connection-oriented communication between devices over an IP network.",['https://en.wikipedia.org/wiki/Transmission_Control_Protocol'],1,chapter1_intro_to_networking,1.0,0.9999984951481324,1.0
11,Which of the following protocols resides in the Internet TCP/IP Architecture layer?,"a. IP
b. Ethernet
c. TCP
d. SMTP
",,a,"a,c",,"The Internet TCP/IP Architecture layer consists of four layers: Application, Transport, Internet, and Link. In this context, IP (Internet Protocol) resides in the Internet layer, handling the addressing and routing of packets between hosts. TCP (Transmission Control Protocol) resides in the Transport layer, providing reliable, ordered, and error-checked delivery of a stream of packets on the network. Ethernet is a Layer 2 protocol, and SMTP (Simple Mail Transfer Protocol) is an application layer protocol.",['https://en.wikipedia.org/wiki/Internet_protocol_suite'],0,chapter1_intro_to_networking,1.0,0.6323416976886257,0.5
12,Which of the following protocols resides in the Data Link & Physical TCP/IP Architecture layer?,"a. SMTP
b. TCP
c. Ethernet
d. IP
",,c,c,,Ethernet protocol operates at the Data Link layer (Layer 2) of the TCP/IP model. It provides the means to transfer data frames between devices on the same local network. The Physical layer (Layer 1) deals with the physical medium and signaling for data transmission.,['https://en.wikipedia.org/wiki/Ethernet'],1,chapter1_intro_to_networking,1.0,0.9999868132749457,1.0
13,Which of the following protocols is used from PC1 to learn information from some other device on the same network?,"a. DNS
b. ARP
c. DHCP
d. ping
",,b,b,,The correct protocol used from PC1 to learn information from another device on the same network is ARP (Address Resolution Protocol). ARP is used to map a known IP address to a MAC address on the local network. It resolves the IP address to the MAC address for communication within the same network segment.,['https://en.wikipedia.org/wiki/Address_Resolution_Protocol'],1,chapter1_intro_to_networking,0.95,0.999999091165773,1.0
14,"If the devices below were connected with UTP Ethernet cables, which pairs of devices would require a straight-through cable? (Choose two answers.)","a. Router and hub
b. Hub and switch
c. Switch and PC
d. Router and PC
",,"a,c","a,c",,"A straight-through cable is used to connect devices that operate at different layers of the OSI model, such as a router and a PC or a switch and a PC. In these cases, the transmit pins on one end need to connect to the receive pins on the other end. Connecting a router to a hub or a switch to a PC requires a straight-through cable.",['https://www.lanshack.com/straight-through-crossover-and-rollover-wiring.aspx'],1,chapter1_intro_to_networking,1.0,0.7046580624855618,1.0
15,Which of the following protocols are examples of TCP/IP data-link layer protocols? (Choose two answers.),"a. HTTP
b. SMTP
c. PPP
d. TCP
e. HTTPS
f. Ethernet
",,"c,f","c,f",,"PPP (Point-to-Point Protocol) and Ethernet are examples of TCP/IP data-link layer protocols. PPP is commonly used for establishing a direct connection between two nodes, while Ethernet is widely used for local area networks (LANs) to connect devices within the same network segment.","['https://en.wikipedia.org/wiki/Point-to-Point_Protocol', 'https://en.wikipedia.org/wiki/Ethernet']",1,chapter1_intro_to_networking,0.9,0.9999297618911116,1.0
16,Which of the following statements are functions of a routing protocol? (Choose two answers.),"a. Learning routes and putting those routes into the routing table for routes advertised to the router by its neighboring routers
b. Forwarding IP packets based on a packet’s destination IP address
c. Advertising known routes to neighboring routers
d. Learning routes for subnets directly connected to the router
",,"a,c","a,c",,"A and C are correct. Routing protocols are responsible for learning routes from neighboring routers and populating the routing table with this information (statement A). Additionally, routing protocols advertise these learned routes to neighboring routers to ensure proper network reachability (statement C). Forwarding IP packets based on destination IP address (statement B) is a function of the routing table and the forwarding process, not the routing protocol itself. Learning routes for directly connected subnets (statement D) is a basic function of routing but not specific to routing protocols.",['https://www.cisco.com/c/en/us/support/docs/ip/border-gateway-protocol-bgp/13753-25.html'],1,chapter1_intro_to_networking,0.95,0.9999153393700134,1.0
17,"When you open a web browser and type in the hostname www.examsdigest.com, your computer does not send an IP packet with a destination IP address www.examsdigest.com; it sends an IP packet to an IP address used by the web server for Examsdigest. TCP/IP needs a way to let a computer find the IP address used by the listed hostname. That method uses the Domain Name System (DNS).","a. FALSE
b. TRUE
",,b,b,,"The statement is TRUE. When a user types a hostname like www.examsdigest.com into a web browser, the computer needs to resolve this hostname to an IP address to communicate with the web server. This resolution is done through the Domain Name System (DNS), which translates domain names to IP addresses.",['https://www.cloudflare.com/learning/dns/what-is-dns/'],1,chapter1_intro_to_networking,1.0,0.9999967070975216,1.0
18,A __________________ address is an address that enables transmission to every node in a local network.,"a. MAC
b. Broadcast
c. Unicast
d. Multicast
",,b,b,,"A broadcast address is used to transmit data to all nodes in a local network. When a device sends data to the broadcast address, it is delivered to all devices on the same network segment.",['https://en.wikipedia.org/wiki/Broadcast_address'],1,chapter1_intro_to_networking,1.0,0.999998733555102,1.0
