Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
21,Which of the following commands checks the status of the interfaces?,"a. show status
b. show interface
c. show status interface
d. show interface status
",,d,b,,The correct command to check the status of the interfaces is 'show interface'. This command provides detailed information about the status of all interfaces on the device.,['https://www.cisco.com/c/en/us/support/docs/ip/interface/13689-1.html'],0,chapter2_ethernet_lans,0.95,0.9997706223910672,0.0
22,You are in console line configuration mode. Which of the following commands would place you in enable mode?,"a. back
b. enable
c. change
d. end
",,d,b,,"The correct command to move from console line configuration mode to enable mode is 'enable'. This command allows users to access privileged EXEC mode, which provides access to all router commands.",['https://www.cisco.com/c/en/us/support/docs/dial-access/asynchronous-connections/9329-async-ios.html'],0,chapter2_ethernet_lans,1.0,0.9986059729596494,0.0
23,Which of the following commands copies the configuration from RAM into NVRAM,"a. copy running-config startup-config
b. copy nvram ram
c. copy ram nvram
d. copy startup-config running-config
",,a,a,,"The command 'copy running-config startup-config' is used to copy the configuration from RAM (running-config) into NVRAM (startup-config). This command saves the current running configuration to the startup configuration, which is stored in NVRAM and will be used for the next reboot.",['https://www.cisco.com/c/en/us/support/docs/smb/switches/cisco-300-series-managed-switches/smb5126-copy-and-paste-configuration-on-cisco-300-500-series-managed-switches.html'],1,chapter2_ethernet_lans,1.0,0.9999310282486606,1.0
24,"The command that configures the switch as a DHCP client to discover its IPv4 address, mask, and default gateway is ip address dhcp.","a. FALSE
b. TRUE
",,b,a,,"The statement is FALSE. The correct command to configure a switch as a DHCP client to discover its IPv4 address, mask, and default gateway is 'ip address dhcp' in interface configuration mode.",['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst3750/software/release/12-2_25_see/configuration/guide/scg/swdhcp82.html'],0,chapter2_ethernet_lans,1.0,0.7549002331407536,0.0
25,In which of the following modes of the CLI could you configure the duplex setting for interface Fast Ethernet 0/2?,"a. Enable mode
b. Global configuration mode
c. VLAN mode
d. Interface configuration mode
",,d,d,,"The correct mode to configure the duplex setting for a specific interface like Fast Ethernet 0/2 is the interface configuration mode. This mode allows you to make configurations specific to individual interfaces, including settings like duplex and speed.",['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/interface/configuration/xe-16-6/ir-xe-16-6-book/ir-interface-access.html'],1,chapter2_ethernet_lans,1.0,0.9999980183344636,1.0
26,Which of the following commands administratively enables an interface,"a. enable interface
b. shutdown
c. no shutdown
d. interface enable
",,c,c,,"The correct command to administratively enable an interface in Cisco IOS is 'no shutdown'. This command brings the interface up and allows it to forward traffic. The 'shutdown' command disables the interface, while the other options provided are not valid commands for enabling an interface.",['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/interface/command/ir-cr-book/ir-s1.html'],1,chapter2_ethernet_lans,1.0,0.9999863364673468,1.0
27,"Switches use STP to prevent loops by causing some interfaces to block, meaning that they do not send or receive frames.","a. TRUE
b. FALSE
",,a,a,,The statement is TRUE. Switches use Spanning Tree Protocol (STP) to prevent loops in the network by blocking certain interfaces to avoid broadcast storms and loops. These blocked interfaces do not forward frames to prevent network issues.,['https://www.cisco.com/c/en/us/support/docs/lan-switching/spanning-tree-protocol/5234-5.html'],1,chapter2_ethernet_lans,1.0,0.9350335107138792,1.0
28,A Layer 2 switch configuration places all its physical ports into VLAN 2. The IP addressing plan shows that address 175.28.1.150 (with mask 255.255.255.0) is reserved for use by this new LAN switch and that 175.28.1.254 is already configured on the router connected to that same VLAN. The switch needs to support SSH connections into the switch from any subnet in the network. Which of the following commands are part of the required configuration in this case? (Choose two answers.),"a. The ip default-gateway 175.28.1.254 command in global configuration mode.
b. The ip address 175.28.1.150 255.255.255.0 command in interface vlan 2 configuration mode.
c. The ip address 172.16.2.250 255.255.255.0 command in interface vlan 1 configuration mode.
d. The ip default-gateway 175.28.1.150 command in global configuration mode.
e. The switch cannot support SSH because all its ports connect to VLAN 2, and the IP address must be configured on interface VLAN 1.
",,"a,b","a,b",,"Option a is correct because the 'ip default-gateway' command in global configuration mode is used to set the default gateway for the switch, allowing it to reach networks outside its own. In this case, the default gateway should be set to the router's IP address (175.28.1.254). Option b is also correct as the 'ip address' command in interface VLAN 2 configuration mode is used to assign the IP address (175.28.1.150) and subnet mask to the switch for management purposes, enabling SSH connections into the switch from any subnet in the network.",['https://www.cisco.com/c/en/us/support/docs/ip/simple-network-management-protocol-snmp/13598-21.html'],1,chapter2_ethernet_lans,0.9,0.964317222750252,1.0
29,Which of the following commands lists the content of the startup-config (initial config) file.,"a. show startup-config
b. show file-config
c. show content-config
d. show initial-config
",,a,a,,"The correct command to display the content of the startup-config file is 'show startup-config'. This command is used to view the configuration that is saved in the startup configuration file, which is the configuration that will be loaded when the device is restarted.",['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/fundamentals/command/Cisco_IOS_CLI_Master_Command_List.html'],1,chapter2_ethernet_lans,0.95,0.9999925349918634,1.0
30,You want to configure the console password with password examsdigest. Which of the following commands will you type to meet the requirement?,"a. Examsdigest#(config)# enable secret examsdigest
b. Examsdigest#(config)# live vty 0 15
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# end
c. Examsdigest#(config)# enable console examsdigest
d. Examsdigest#(config)# line console 0
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# exit
",,d,d,,"The correct command to configure the console password is by going into line console configuration mode using the 'line console 0' command and then setting the password with 'password examsdigest'. This configuration will set the console password to 'examsdigest'. Options a, b, and c do not correctly configure the console password.",[],1,chapter2_ethernet_lans,1.0,0.9997433423922004,1.0
