Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
137,"In a spoofing attack, which of the following parameters are commonly spoofed? (Choose two answers)","a. Routing table
b. MAC address
c. Source IP address
d. ARP address
e. ARP table
f. Destination IP address
",,"b,c","c,b",,"In a spoofing attack, the two commonly spoofed parameters are the Source IP address and the MAC address. By spoofing the source IP address, attackers can deceive the recipient into thinking the packet came from a trusted source. Spoofing the MAC address allows attackers to impersonate another device on the network, potentially bypassing security measures.",['https://www.cloudflare.com/learning/ddos/what-is-ip-spoofing/'],1,chapter8_security_fundamentals,0.9,0.8195859607520397,1.0
138,AAA servers usually support the protocol TACACS+ and ____________________ to communicate with enterprise resources.,"a. HTTP
b. DHCP
c. RADIUS
d. ARP
",,c,c,,"The correct protocol that AAA servers usually support along with TACACS+ to communicate with enterprise resources is RADIUS. RADIUS (Remote Authentication Dial-In User Service) is commonly used for authentication, authorization, and accounting in network access control.",['https://en.wikipedia.org/wiki/RADIUS'],1,chapter8_security_fundamentals,1.0,0.9999983759447189,1.0
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
",,c,a,,"Option A is the correct choice. It correctly configures the FastEthernet0/1 interface as an access port and enables port security on that interface. The command 'switchport port-security' enables port security on the interface, and no specific MAC address is defined in this step, which aligns with the requirement to accept frames only from the MAC 0200.1111.2222.",['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst2950/software/release/12-1_9_ea1/configuration/guide/scg/swtrafc.html'],0,chapter8_security_fundamentals,0.9,0.5625524245760672,0.0
140,"_____________________ attacks typically function by overwhelming or flooding a targeted machine with requests until normal traffic is unable to be processed, resulting in denial- of-service to additional users.","a. Phishing
b. DoS
c. Spoofing
d. SQL injection
",,b,b,,"The correct answer is b. DoS (Denial of Service) attacks overwhelm a targeted machine with requests, making it unable to process normal traffic and denying service to legitimate users.",['https://www.cloudflare.com/learning/ddos/what-is-a-ddos-attack/'],1,chapter8_security_fundamentals,1.0,0.9999984951481324,1.0
141,A _________________ is malicious software that is hidden and packaged inside other software that looks normal and legitimate.,"a. Trojan
b. Virus
c. Spyware
d. Worm
",,a,a,,"A Trojan is malicious software that disguises itself as legitimate software to trick users into downloading and installing it. It does not replicate itself like viruses or worms, and it is not necessarily designed to spy on users like spyware.",['https://www.kaspersky.com/resource-center/threats/trojans'],1,chapter8_security_fundamentals,1.0,0.9999977799274644,1.0
142,What devices can be used to implement DHCP Snooping? (Choose two answers),"a. End users
b. Layer 3 switches
c. Hub
d. Access Points
e. Routers
f. Layer 2 switches
",,"b,f","b,f",,Layer 3 switches and Layer 2 switches can be used to implement DHCP Snooping. Layer 3 switches can perform DHCP Snooping to prevent unauthorized DHCP servers from offering IP addresses to clients. Layer 2 switches can also implement DHCP Snooping to mitigate DHCP-related attacks by filtering DHCP messages between untrusted sources and trusted clients.,['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst3750x_3560x/software/release/12-2_55_se/configuration/guide/3750xscg/swdhcp82.html'],1,chapter8_security_fundamentals,1.0,0.9999595611616718,1.0
143,"Which of the following Cisco Firepower NGIPS’s features provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility?","a. Security automation
b. Superior effectiveness
c. Granular application visibility and control
d. Contextual awareness
",,d,c,,"Granular application visibility and control provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility. This feature allows detailed monitoring and management of applications running on the network, enhancing security and control.",['https://www.cisco.com/c/en/us/products/security/firepower-ngips/index.html'],0,chapter8_security_fundamentals,0.95,0.9999924157887604,0.0
144,What can be accomplished with a brute-force attack?,"a. Guess a user’s password
b. Spoof every possible IP address
c. Alter a routing table
d. Make a server unavailable
",,a,a,,A brute-force attack is a trial-and-error method used to obtain information such as a user's password by systematically checking all possible combinations until the correct one is found. It is commonly used in password cracking.,['https://en.wikipedia.org/wiki/Brute-force_attack'],1,chapter8_security_fundamentals,1.0,0.9999981375378344,1.0
145,Social engineering attack is accomplished through human interactions. It uses psychological manipulation to trick users into making security mistakes or giving away sensitive information.,"a. FALSE
b. TRUE
",,b,b,,The statement is TRUE. Social engineering attacks rely on psychological manipulation to deceive individuals into divulging confidential information or performing actions that compromise security. These attacks exploit human behavior rather than technical vulnerabilities.,['https://www.veracode.com/security/social-engineering'],1,chapter8_security_fundamentals,1.0,0.9999974223173222,1.0
146,"Which of the following human security vulnerabilities attacks is a type of attack that targets high-profile employees, such as the CEO or CFO, in order to steal sensitive information from a company?","a. Whaling
b. Pharming
c. Phishing
d. Social engineering
",,a,a,,"A is the correct answer. Whaling is a type of phishing attack that specifically targets high-profile individuals within an organization, such as CEOs or CFOs, to steal sensitive information or gain access to valuable data.",['https://www.imperva.com/learn/application-security/whaling-phishing/'],1,chapter8_security_fundamentals,1.0,0.9999971839107652,1.0
