Question Number,Question Text,Choices,Correct Answer,Old LLM Answer,New LLM Answer,Old LLM Explanation,New LLM Explanation,Old Answer Correct?,New Correct,Topic,Score-right-minus-wrong
137,"In a spoofing attack, which of the following parameters are commonly spoofed? (Choose two answers)","a. Source IP address
b. MAC address
c. ARP address
d. Routing table
e. Destination IP address
f. ARP table
","a,b","a,b","a,b","In a spoofing attack, the two most commonly spoofed parameters are:a. Source IP address: Attackers can forge the source IP address in the packet header to make it appear as if the packets are coming from a trusted or legitimate source. This is known as IP spoofing.b. MAC address: Attackers can change the MAC address of their device to impersonate another device on the network. This is called MAC spoofing.The other choices, such as ARP address, routing table, destination IP address, and ARP table, are not typically spoofed in a spoofing attack.","Evaluation of original answer: The original answer is correct and provides a clear explanation of why the selected options are the most commonly spoofed parameters in a spoofing attack. The answer correctly identifies that attackers can forge the source IP address to make packets appear to come from a trusted source (IP spoofing) and change the MAC address to impersonate another device (MAC spoofing). It also correctly points out that the other choices are not typically spoofed in such attacks.

Correct Answer: a, b",1,1,chapter8_security_fundamentals,1.0
138,AAA servers usually support the protocol TACACS+ and ____________________ to communicate with enterprise resources.,"a. DHCP
b. ARP
c. RADIUS
d. HTTP
",c,c,c,"RADIUS (Remote Authentication Dial-In User Service) is the other protocol commonly supported by AAA servers alongside TACACS+ for communicating with enterprise resources. RADIUS is an IETF standard protocol used for secure authentication, authorization, and accounting.","Evaluation of original answer: The original answer is correct. AAA (Authentication, Authorization, and Accounting) servers typically support both TACACS+ and RADIUS protocols for communicating with enterprise resources to handle user authentication, authorization of access, and accounting of user activities.

- TACACS+ is a Cisco proprietary protocol that separates authentication, authorization, and accounting.
- RADIUS is an IETF standard protocol that combines authentication and authorization into a single step, with accounting being handled separately.

The other options are incorrect:
- DHCP (Dynamic Host Configuration Protocol) is used for automatically assigning IP addresses to devices.
- ARP (Address Resolution Protocol) is used for mapping IP addresses to MAC addresses.
- HTTP (Hypertext Transfer Protocol) is used for transferring web pages and other content over the internet.

Therefore, RADIUS is the correct answer to complement TACACS+ as the protocols commonly supported by AAA servers.

Correct Answer: c",1,1,chapter8_security_fundamentals,1.0
139,"The senior network engineer assigns you a task related to port security. He needs your help to configure the fa0/1 from the SW-examsD to accept frames only from the MAC 0200.1111.2222.
Type the commands that need to be configured on the SW-examsD following the requirements below:
1. configure the FastEthernet0/1 to be an access port
2. enable port security on that interface
3. define the allowed MAC address","a. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/2
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222
b. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
c. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.2222.2222
d. SW-examsD#configure terminal
SW-examsD(config)#interface FastEthernet0/1
SW-examsD(config-if)#switchport mode access
SW-examsD(config-if)#switchport port-security
SW-examsD(config-if)#switchport port-security macaddress 0200.1111.2222",d,d,d,"Option d is the correct set of commands to configure port security on interface FastEthernet0/1 of SW-examsD to only accept frames from the MAC address 0200.1111.2222. The commands enter configuration mode, select the correct interface fa0/1, set it as an access port, enable port security, and define the specific allowed MAC address.","Evaluation of original answer: The original answer is correct. Option d provides the proper sequence of commands to configure port security on interface FastEthernet0/1 of SW-examsD according to the given requirements. It enters global configuration mode, selects the correct interface (fa0/1), sets the interface as an access port, enables port security, and defines the specific allowed MAC address (0200.1111.2222).

The other options have issues:
a) Configures the wrong interface (fa0/2 instead of fa0/1)
b) Omits the command to define the allowed MAC address
c) Defines the wrong allowed MAC address (0200.2222.2222 instead of 0200.1111.2222)

Therefore, option d is the only fully correct choice.

Correct Answer: d",1,1,chapter8_security_fundamentals,1.0
140,"_____________________ attacks typically function by overwhelming or flooding a targeted machine with requests until normal traffic is unable to be processed, resulting in denial- of-service to additional users.","a. Spoofing
b. Phishing
c. DoS
d. SQL injection
",c,c,c,"Denial-of-Service (DoS) attacks aim to make a system or network resource unavailable to its intended users by overwhelming it with a flood of traffic or requests. The attack consumes the target's available bandwidth or other resources, disrupting normal traffic and preventing legitimate requests from being fulfilled. Spoofing, phishing, and SQL injection are different types of attacks not directly related to flooding a system with requests.","Evaluation of original answer: The original answer is correct. A Denial-of-Service (DoS) attack is designed to overwhelm a targeted system or network with a flood of requests, preventing it from processing legitimate traffic and resulting in denial of service to normal users. The explanation provided accurately describes how a typical DoS attack functions.

The other attack types mentioned:
- Spoofing involves disguising the source of malicious traffic to hide the attacker's identity. 
- Phishing is a social engineering attack that attempts to trick victims into revealing sensitive information.
- SQL injection exploits vulnerabilities in application databases to alter backend SQL queries.

While serious, these attacks do not directly relate to overwhelming a system with requests like a DoS attack does.

Correct Answer: c",1,1,chapter8_security_fundamentals,1.0
141,A _________________ is malicious software that is hidden and packaged inside other software that looks normal and legitimate.,"a. Worm
b. Virus
c. Spyware
d. Trojan
",d,d,d,"A Trojan, short for Trojan horse, is a type of malware that disguises itself as legitimate software. It tricks users into installing it on their systems, and once activated, it can carry out various malicious activities, such as deleting files, stealing data, or creating a backdoor for attackers to access the system. Unlike viruses and worms, Trojans do not typically self-replicate.","Evaluation of original answer: The original answer is correct. A Trojan, also known as a Trojan horse, is a type of malware that is hidden inside seemingly legitimate software. It tricks users into installing it, and once activated, it can perform various malicious activities on the infected system. The answer correctly identifies the key characteristics of a Trojan, such as its ability to disguise itself as normal software and its malicious intent.

Correct Answer: d",1,1,chapter8_security_fundamentals,1.0
142,What devices can be used to implement DHCP Snooping? (Choose two answers),"a. Hub
b. Layer 2 switches
c. Routers
d. Layer 3 switches
e. Access Points
f. End users","b,d","b,d","b,d","DHCP snooping is a security feature that can be implemented on Layer 2 switches and Layer 3 switches. It monitors DHCP messages between DHCP clients and DHCP servers to filter out forged DHCP messages and builds a DHCP snooping binding table to track the IP addresses assigned to each port. Routers, hubs, access points, and end-user devices cannot implement DHCP snooping.","Evaluation of original answer: The original answer is correct and provides a good explanation. DHCP snooping is indeed a security feature that can be implemented on Layer 2 and Layer 3 switches to monitor DHCP messages and build a binding table to track IP address assignments. The answer correctly points out that other devices like routers, hubs, access points, and end-user devices cannot implement DHCP snooping.

Correct Answer: b, d",1,1,chapter8_security_fundamentals,1.0
143,"Which of the following Cisco Firepower NGIPS’s features provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in your network with real-time visibility?","a. Security automation
b. Granular application visibility and control
c. Contextual awareness
d. Superior effectiveness
",c,c,c,"Contextual awareness provides more insights into and control over the users, applications, devices, threats, and vulnerabilities in the network with real-time visibility. It allows the Cisco Firepower NGIPS to understand the context of network traffic, including user identity, device type, application, and potential threats, enabling more granular and effective security policies.","Evaluation of original answer: The original answer is correct. Contextual awareness is the feature of Cisco Firepower NGIPS that provides more insights and control over users, applications, devices, threats, and vulnerabilities in the network with real-time visibility. It allows the system to understand the context of network traffic, enabling more granular and effective security policies.

While the other options mentioned are also features of Cisco Firepower NGIPS, they do not directly relate to providing more insights and control over network elements with real-time visibility:

a. Security automation helps streamline and accelerate security operations but does not directly provide insights and control.
b. Granular application visibility and control allows for fine-grained control over applications but does not encompass all the elements mentioned in the question.
d. Superior effectiveness refers to the overall performance of the system but does not specifically address the feature that provides insights and control.

Correct Answer: c",1,1,chapter8_security_fundamentals,1.0
144,What can be accomplished with a brute-force attack?,"a. Guess a user’s password
b. Make a server unavailable
c. Spoof every possible IP address
d. Alter a routing table
",a,a,a,"A brute-force attack is a method of guessing a user's password by systematically trying every possible combination of letters, numbers, and symbols until the correct password is found. It does not directly make a server unavailable, spoof IP addresses, or alter routing tables.","Evaluation of original answer: The original answer is correct. A brute-force attack is indeed a method used to guess a user's password by systematically trying all possible combinations until the correct one is found. The other options listed are not directly accomplished by a brute-force attack:

b. Making a server unavailable is typically done through a Denial-of-Service (DoS) or Distributed Denial-of-Service (DDoS) attack, not a brute-force attack.

c. Spoofing IP addresses is a separate technique used to impersonate another device or hide the attacker's identity, and is not part of a brute-force attack.

d. Altering a routing table involves modifying the table that routers use to determine the best path for forwarding packets, which is not related to guessing passwords through brute-force.

Correct Answer: a",1,1,chapter8_security_fundamentals,1.0
145,Social engineering attack is accomplished through human interactions. It uses psychological manipulation to trick users into making security mistakes or giving away sensitive information.,"a. TRUE
b. FALSE
",a,a,a,"The statement is true. Social engineering attacks exploit human psychology and interactions to manipulate individuals into revealing sensitive information or making security mistakes. These attacks rely on deception, persuasion, and taking advantage of human trust rather than technical hacking methods. Examples include phishing emails that trick users into revealing passwords, or impersonation to gain unauthorized access.","Evaluation of original answer: The original answer is correct. The provided explanation accurately describes how social engineering attacks work by exploiting human psychology and interactions to manipulate individuals into revealing sensitive information or making security mistakes. The answer correctly identifies that these attacks rely on deception, persuasion, and taking advantage of human trust rather than technical hacking methods. It also provides relevant examples of social engineering techniques, such as phishing emails and impersonation.

Correct Answer: a",1,1,chapter8_security_fundamentals,1.0
146,"Which of the following human security vulnerabilities attacks is a type of attack that targets high-profile employees, such as the CEO or CFO, in order to steal sensitive information from a company?","a. Social engineering
b. Phishing
c. Whaling
d. Pharming
",c,c,c,"Whaling is a type of spear phishing attack that specifically targets high-profile employees, such as C-level executives (CEO, CFO, etc.), in order to steal sensitive information from a company. The attacker crafts a highly customized phishing email or message, often impersonating a trusted entity, to trick the high-value target into revealing confidential data or transferring funds.","Evaluation of original answer: The original answer is correct. Whaling is indeed a specific type of phishing attack that targets high-profile employees, such as C-level executives (CEO, CFO, etc.), in order to steal sensitive information or gain unauthorized access to a company's resources. The attacker crafts highly customized and convincing phishing emails or messages, often impersonating trusted entities or individuals, to deceive the high-value target into revealing sensitive data, transferring funds, or granting access to restricted systems.

The other options mentioned in the question are related but have different meanings:
a. Social engineering: A broader term that encompasses various techniques used to manipulate individuals into divulging sensitive information or performing actions that compromise security.
b. Phishing: A more general form of social engineering attack that involves sending fraudulent emails or messages to trick individuals into revealing sensitive information or clicking on malicious links.
d. Pharming: A type of attack that redirects users from legitimate websites to fake ones in order to steal sensitive information, often by compromising DNS servers or the user's host file.

Correct Answer: c",1,1,chapter8_security_fundamentals,1.0
